wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
joyylobt,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,5.973064545776295e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.9888702540218137,0.987573688489822,0.7330845202244791,0.5652296073666779,144187430,latent+prefusion+distill+ce,addition,73.25,59.86,69.43,64.66,81.45,64.53,77.08,64.67,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
3wseywhy,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.00010962407929565144,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,3.370150563799166,0.6469474523281212,0.7330845202244791,0.5652296073666779,144187430,latent+prefusion+distill+ce,addition,75.10,60.80,70.05,64.94,82.25,64.75,78.33,64.77,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
m6y34t2l,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,3.6007896490908346e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.599450225591606,0.4433950770501112,0.7330845202244791,0.5652296073666779,144187430,latent+prefusion+distill+ce,addition,69.95,59.40,69.14,64.36,81.85,63.66,75.00,64.55,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
ykgqjruh,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,1.161960977054426e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,0.1595446134766021,0.45767725885223287,0.7330845202244791,0.5652296073666779,144187430,latent+prefusion+distill+ce,addition,58.00,51.58,69.54,64.48,79.60,63.00,68.55,63.94,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
lgrrrd9n,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.0002412840353975623,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.5781783759400763,0.1733324807339215,0.7330845202244791,0.5652296073666779,144187430,latent+prefusion+distill+ce,addition,76.60,61.67,70.70,64.89,83.75,63.60,79.38,64.64,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
11f4chmn,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,1.801410464011997e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,1.56400655119836,0.41594624675122305,0.7330845202244791,0.5652296073666779,144187430,latent+prefusion+distill+ce,addition,65.55,56.08,69.50,65.05,81.60,62.43,72.08,64.07,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
xic8j0tz,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,1.4845930424989516e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.6791643952976973,0.04999918076369525,0.7330845202244791,0.5652296073666779,144187430,latent+prefusion+distill+ce,addition,66.60,57.07,68.93,64.54,79.40,62.36,72.47,63.80,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
don78c82,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.00020849577325703517,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,0.5889744033284872,0.02995903171543124,0.7330845202244791,0.5652296073666779,144187430,latent+prefusion+distill+ce,addition,75.10,61.08,71.09,65.97,82.95,64.24,77.20,64.64,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
9l6onakc,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.0008172038823598002,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,4.26903817371042,0.29088546760456624,0.7330845202244791,0.5652296073666779,144187430,latent+prefusion+distill+ce,addition,74.95,60.84,68.39,63.12,80.90,62.66,77.00,63.19,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
5kzi4in1,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,1.5762264209893905e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,3.7805416887077774,0.4497991320848096,0.7330845202244791,0.5652296073666779,144187430,latent+prefusion+distill+ce,addition,63.90,53.88,68.66,64.73,81.80,63.93,72.85,63.97,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
n4e9htev,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.00012085132045765592,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,3.880712492711583,0.8004296735169749,0.7330845202244791,0.5652296073666779,144187430,latent+prefusion+distill+ce,addition,75.85,60.96,70.06,64.92,83.05,64.59,78.83,64.56,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
b1s76lbb,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,1.6208328893551734e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,4.0822648745692645,0.9429096783084862,0.7330845202244791,0.5652296073666779,144187430,latent+prefusion+distill+ce,addition,61.50,56.12,68.66,64.89,82.20,63.02,71.33,63.72,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
