wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
er4btl9d,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,2.6587523481979276e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,2.027501833394219,0.32983288917304576,0.23428736523557417,0.5441254268098721,144187430,latent+prefusion+distill+ce,peeking,69.40,57.79,69.18,64.71,82.00,62.92,74.88,64.04,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
e3651nk6,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,3.885119853910913e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.6939523084822166,0.08327248869806192,0.23428736523557417,0.5441254268098721,144187430,latent+prefusion+distill+ce,peeking,73.25,60.14,69.39,64.73,80.85,62.24,76.38,64.67,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
ubuftmuh,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,8.266969991334258e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,4.504396142932706,0.027951364914212466,0.23428736523557417,0.5441254268098721,144187430,latent+prefusion+distill+ce,peeking,75.30,61.04,69.83,64.61,81.75,64.53,78.25,64.73,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
dbdxnnc9,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.0006932905160147606,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.7924563152476536,0.5985357303069818,0.23428736523557417,0.5441254268098721,144187430,latent+prefusion+distill+ce,peeking,72.10,58.86,69.21,63.81,82.40,62.95,73.00,63.44,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
uo59hhgl,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,2.3456087776220984e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.5863080404036651,0.9121546200377648,0.23428736523557417,0.5441254268098721,144187430,latent+prefusion+distill+ce,peeking,66.60,56.56,68.83,64.80,82.95,63.29,73.78,64.24,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
ejb0jc07,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,2.3325293180314567e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.3273468611248609,0.24593058130101075,0.23428736523557417,0.5441254268098721,144187430,latent+prefusion+distill+ce,peeking,69.20,57.87,69.21,65.04,81.55,62.50,74.75,64.50,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
xfnmfcys,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,6.956298749197684e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,0.7176953572442663,0.7447201309774697,0.23428736523557417,0.5441254268098721,144187430,latent+prefusion+distill+ce,peeking,73.20,60.60,69.94,64.31,81.60,61.65,74.30,64.85,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
c5skjyl9,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.0001122767880545559,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,0.6544598225473447,0.5129137747140907,0.23428736523557417,0.5441254268098721,144187430,latent+prefusion+distill+ce,peeking,74.70,59.79,70.86,65.18,81.40,65.17,75.93,65.36,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
nalvx14e,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,1.194041156654284e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,0.13958728403358267,0.4743999522655492,0.23428736523557417,0.5441254268098721,144187430,latent+prefusion+distill+ce,peeking,61.95,52.60,69.87,64.79,80.75,63.16,69.05,64.38,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
m3kqbsk2,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,2.6552915333345007e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,4.750915074455549,0.31049803191174896,0.23428736523557417,0.5441254268098721,144187430,latent+prefusion+distill+ce,peeking,70.90,58.16,68.81,64.77,81.15,62.36,74.80,63.74,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
hxmlr4q8,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,7.713841726448381e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,2.9230735426434946,0.41801445953064575,0.23428736523557417,0.5441254268098721,144187430,latent+prefusion+distill+ce,peeking,73.80,60.64,69.81,64.52,82.40,63.62,77.25,64.65,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
cp2mzaar,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.00022140334329795173,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,0.40565400642765703,0.16000897904381328,0.23428736523557417,0.5441254268098721,144187430,latent+prefusion+distill+ce,peeking,75.25,61.48,71.02,65.58,82.90,64.11,75.83,65.82,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
