wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
z23v48io,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.0002425006577359962,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,0.6786516003107185,0.04146478812155541,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,77.10,62.10,71.25,64.69,82.15,63.69,78.25,64.71,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
nquh2kew,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,4.1932325947787754e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.6673627092369991,0.24946034785661497,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,73.90,60.35,69.82,64.73,81.65,63.11,76.80,64.74,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
9ew5vrd9,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,5.378610388718011e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.7733142208995352,0.7181883807754736,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,74.40,60.89,70.03,65.16,80.85,65.01,77.32,64.64,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
g695rar9,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.0006892420674861501,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.9089732706535232,0.014419975103698857,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,77.50,62.87,69.55,63.12,79.55,63.09,78.40,64.04,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
uxtt6ox7,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.0006735013030683766,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.276442787173666,0.8504950887733446,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,76.25,61.33,67.89,62.25,79.60,63.14,77.40,63.25,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
325ywitw,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.00025338944168582205,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,4.832347010809982,0.8527964406699826,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,77.10,62.08,70.29,64.67,81.90,64.69,79.50,64.27,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
dvku5jo4,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.000511922016014624,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,0.6005022683581712,0.8607518179672728,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,76.25,61.37,69.28,63.08,80.35,62.82,77.70,63.78,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
by7hpspd,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,0.00017014587444612696,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,4.950567037752121,0.753248618276651,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,77.65,62.68,70.40,64.73,82.55,64.67,79.95,64.56,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
3ztxuw5a,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,3.60957119115015e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,2.143848002960007,0.6081719571944977,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,74.20,59.23,69.72,64.59,82.15,63.16,76.85,64.31,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
lg6yacac,delulu-paperlw,benv2,s2_rgb,s2_norgb,63.43,4.7610804538519566e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,0.2944167136411324,0.922671875042296,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,72.55,59.74,71.05,65.79,79.30,63.45,74.43,64.51,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
