wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
p25ywgzf,delulu-paperlw,dfc2020,s2,s1,66.96,7.507074702633457e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.5951438874901473,0.277744429586849,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,78.44,44.06,65.43,65.05,92.81,63.73,85.51,60.76,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
5vqo9iye,delulu-paperlw,dfc2020,s2,s1,66.96,0.0008704956770324583,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,3.6369397552084064,0.19659982035738632,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,70.83,34.49,62.24,61.75,91.20,62.51,81.02,56.19,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
a1j2tljz,delulu-paperlw,dfc2020,s2,s1,66.96,0.0001378618939552768,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,1.923002169780147,0.9353346327379184,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,79.29,45.01,65.91,65.10,93.84,65.33,86.56,60.89,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
igl5gymg,delulu-paperlw,dfc2020,s2,s1,66.96,7.163140856081125e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,4.179501018930358,0.7890160213769684,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,77.47,41.86,65.46,64.95,92.69,63.89,85.07,60.40,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
0aejy0l4,delulu-paperlw,dfc2020,s2,s1,66.96,0.0005046022798735545,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.318144617267169,0.338977181035763,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,76.23,40.57,64.63,64.19,92.93,64.66,84.58,59.23,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
cdvb7me3,delulu-paperlw,dfc2020,s2,s1,66.96,0.0007902150192682186,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.379895796385254,0.7545193087862235,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,73.29,36.21,62.97,62.09,91.50,63.00,82.40,56.94,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
qfkmefco,delulu-paperlw,dfc2020,s2,s1,66.96,2.3313597555056352e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,4.906105641646523,0.8285366957062945,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,76.13,40.79,64.73,64.45,90.40,59.50,83.24,60.44,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
bb8xcoig,delulu-paperlw,dfc2020,s2,s1,66.96,0.00031383092463654454,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.740061519551849,0.5143353019416356,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,78.45,43.66,65.30,64.90,93.52,64.95,85.98,60.48,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
qsrre1tm,delulu-paperlw,dfc2020,s2,s1,66.96,0.0007133013489546324,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.4641330448644743,0.9075969150332872,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,75.14,39.47,63.30,62.89,92.06,63.58,83.60,57.81,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
m5go2n8c,delulu-paperlw,dfc2020,s2,s1,66.96,2.3414391593461972e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,0.2669834442099195,0.007471263946017936,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,76.23,41.69,64.87,64.34,90.56,60.08,83.16,61.13,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
b9k3gimd,delulu-paperlw,dfc2020,s2,s1,66.96,3.8015142992755746e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,0.12398624359139632,0.9974293945567668,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,79.39,46.10,65.54,64.94,92.63,63.62,85.99,61.57,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
zxi2edae,delulu-paperlw,dfc2020,s2,s1,66.96,0.00019418663100570616,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,1.7800136325989335,0.4250521187899442,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,79.19,44.67,66.08,65.31,93.94,65.39,86.57,61.07,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
