wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
bauerga7,delulu-paperlw,dfc2020,s2,s1,66.96,1.737608462336207e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,0.5745053871700312,0.675834903065444,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,76.24,39.61,64.36,64.07,90.98,60.84,83.52,60.03,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
wse2kxln,delulu-paperlw,dfc2020,s2,s1,66.96,0.0008701248683537374,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.6624075946467802,0.9976151693681772,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,70.86,33.84,60.40,60.11,89.89,60.92,80.37,54.85,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
vlvqufwh,delulu-paperlw,dfc2020,s2,s1,66.96,1.3851046416403088e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,0.3601900243276579,0.01758094784499098,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,74.07,38.73,63.83,63.42,90.33,60.19,82.20,59.70,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
5o1zoa1z,delulu-paperlw,dfc2020,s2,s1,66.96,2.8480248636055255e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,2.889349988397556,0.44935577559427,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,75.07,39.27,64.75,64.55,90.60,60.63,82.75,59.66,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
53kmgtj7,delulu-paperlw,dfc2020,s2,s1,66.96,0.00014716537839400335,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.2172369978822128,0.6483920916782907,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,77.69,44.09,65.31,64.94,93.17,64.68,85.43,60.88,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
d0dorzg9,delulu-paperlw,dfc2020,s2,s1,66.96,0.00014953307711040149,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,3.96358468218065,0.5590447458213126,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,77.42,42.28,64.59,64.21,92.45,63.67,84.93,59.20,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
z4756bcj,delulu-paperlw,dfc2020,s2,s1,66.96,1.7073908178280057e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.60695057228532,0.3837258863383183,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,75.63,39.63,64.15,63.80,90.55,60.35,82.82,59.42,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
4czeu6rz,delulu-paperlw,dfc2020,s2,s1,66.96,0.00031505819382671163,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,2.281890509048198,0.8496377877822741,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,76.95,42.80,64.31,63.74,92.67,64.13,84.81,59.70,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
0xwa6ibb,delulu-paperlw,dfc2020,s2,s1,66.96,0.00019623447374378876,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,0.6947187914073155,0.6016850976215095,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,78.99,44.61,65.30,64.98,93.13,64.56,86.04,61.17,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
9thb0b53,delulu-paperlw,dfc2020,s2,s1,66.96,1.1858281194374186e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.3109394481477754,0.7293989524650819,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,72.94,37.41,63.79,63.29,90.53,60.13,81.47,59.29,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,,teacher,none
