wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
75lye7db,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,1.3799489669281922e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,3.251651882910127,0.21405861937520945,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,61.37,24.79,60.69,59.93,95.67,58.88,78.45,53.47,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
8ajf3hjh,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,0.00033402132658239307,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.7336894282001523,0.0002887784081110345,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,82.02,47.22,61.02,60.36,93.97,60.31,88.00,56.98,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
4p2bfbdg,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,0.0002772828195502154,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.0271439991537443,0.36262855916849,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,82.10,47.24,61.14,60.33,94.22,60.33,88.16,57.18,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
dn7zc4b1,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,0.00015908263959887157,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,4.98920031371214,0.6016205466632653,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,81.63,46.28,60.82,59.78,94.94,60.29,88.29,56.65,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
87bjk02d,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,0.0007582200479217769,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,3.2813794858940453,0.18770418502817657,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,82.20,47.31,59.95,59.70,93.03,59.76,87.61,56.86,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
s8hkdwy7,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,0.0006427012905165032,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,3.754358422975628,6.065680173295007e-05,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,81.57,47.08,60.37,59.53,93.49,59.76,87.53,56.69,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
lf6pw94a,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,4.7777453256563216e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,4.736852251565765,0.35115443311262573,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,80.05,42.99,60.81,60.27,95.54,60.28,87.79,56.23,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
u9mhqlne,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,1.26512307737505e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,0.43970893102239617,0.5332958609548621,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,50.80,18.26,60.67,60.17,95.24,59.28,72.88,56.97,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
9sb59hny,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,0.00023036939056816997,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,1.5699602476714132,0.1745697629338414,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,81.56,46.01,61.15,60.36,94.49,60.35,88.02,56.98,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
2lih001c,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,1.5534665207057326e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.278983775195112,0.4844834939823939,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,56.98,20.55,60.68,59.92,95.58,59.15,76.28,50.49,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
r9svyfbr,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,0.00023871897990435984,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,0.861235836537384,0.5045925789976123,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,80.88,44.66,61.02,60.45,94.20,60.43,87.52,56.66,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
gwjt6vvg,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,6.0840842028919904e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,0.8787714774056288,0.910766982448312,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,79.23,41.30,61.01,60.40,94.88,60.44,87.04,56.22,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
