wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
c23dtsev,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,8.359515212457486e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,2.5709105316747887,0.9477664307377636,0.8369287246181186,0.6448170007324399,221465616,latent+prefusion+distill+ce,transfer,81.34,46.25,60.96,60.18,94.44,60.45,87.89,57.11,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
kpkeu5lr,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,3.7044882824704765e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,4.100172073481593,0.713363610800987,0.8369287246181186,0.6448170007324399,221465616,latent+prefusion+distill+ce,transfer,79.33,43.80,60.83,60.23,94.87,60.25,87.10,56.01,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
t640fp5i,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,2.2886474442244583e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,3.452184390691577,0.521691814849437,0.8369287246181186,0.6448170007324399,221465616,latent+prefusion+distill+ce,transfer,79.46,42.75,60.65,60.02,94.91,60.06,87.18,55.68,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
h77vq97b,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,0.0008686384435027894,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,2.8814361362729373,0.6281545687422463,0.8369287246181186,0.6448170007324399,221465616,latent+prefusion+distill+ce,transfer,82.68,48.40,56.41,56.05,90.59,58.15,86.63,54.61,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
qf78bln9,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,1.455058537531812e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,4.885832175903143,0.8757762413295928,0.8369287246181186,0.6448170007324399,221465616,latent+prefusion+distill+ce,transfer,77.74,40.02,60.47,59.80,94.77,58.84,86.24,55.27,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
ul2ljap4,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,0.0008850439011669447,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.3837025507555667,0.7838040682301726,0.8369287246181186,0.6448170007324399,221465616,latent+prefusion+distill+ce,transfer,81.50,47.28,52.06,52.73,87.96,55.76,84.71,52.42,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
kxesecw7,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,0.00027607838563856185,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,3.783581881909413,0.3877973859396752,0.8369287246181186,0.6448170007324399,221465616,latent+prefusion+distill+ce,transfer,82.67,48.39,60.86,59.66,93.75,59.86,88.20,57.02,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
r1awdzsm,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,5.275959014892418e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,3.01690606495867,0.32386096996624325,0.8369287246181186,0.6448170007324399,221465616,latent+prefusion+distill+ce,transfer,81.33,45.90,60.95,60.26,94.92,60.27,88.13,56.97,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
m6oiylix,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,0.0005455888124630939,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.1778416278931136,0.3766420912044057,0.8369287246181186,0.6448170007324399,221465616,latent+prefusion+distill+ce,transfer,82.99,48.14,58.90,59.16,92.26,59.62,87.62,56.62,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
rtflmoer,delulu-paperlw,dfc2020,s2_rgb,s1,59.80,0.00033182845555428976,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.485490977817174,0.28344736341490895,0.8369287246181186,0.6448170007324399,221465616,latent+prefusion+distill+ce,transfer,83.36,48.47,60.86,59.55,93.41,59.82,88.38,57.15,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
