wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
2drpljoy,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.000562223834855214,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,0.4209681870243476,0.3041976039653267,0.7330845202244791,0.5652296073666779,223038480,latent+prefusion+distill+ce,addition,91.05,58.31,59.72,59.62,92.24,59.40,91.64,59.56,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
zirz4t49,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,1.5545541676594923e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,4.3141445564324155,0.9474198998213856,0.7330845202244791,0.5652296073666779,223038480,latent+prefusion+distill+ce,addition,86.99,50.58,60.99,60.42,95.82,59.24,91.21,57.64,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
nmuk8b9x,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.0001577737456276412,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.3542849419493073,0.46845223319261786,0.7330845202244791,0.5652296073666779,223038480,latent+prefusion+distill+ce,addition,92.26,58.39,61.33,60.75,94.69,60.55,93.48,60.03,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
uyekq26e,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.0004600668608298464,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,1.7370326643230576,0.22637076707038228,0.7330845202244791,0.5652296073666779,223038480,latent+prefusion+distill+ce,addition,92.14,58.80,60.82,60.20,93.53,59.98,92.84,59.85,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
5ee33ljl,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.0001529142233000744,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,3.0814620260851204,0.976316066717098,0.7330845202244791,0.5652296073666779,223038480,latent+prefusion+distill+ce,addition,92.05,57.79,61.18,60.63,94.74,60.38,93.39,59.69,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
fe4nep5l,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,4.997916393932559e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,1.53220988094628,0.7757029487023245,0.7330845202244791,0.5652296073666779,223038480,latent+prefusion+distill+ce,addition,91.11,56.52,61.26,60.66,95.27,59.38,93.13,59.45,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
7os229bv,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,4.996885193776761e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,0.788587225277953,0.6265645019453608,0.7330845202244791,0.5652296073666779,223038480,latent+prefusion+distill+ce,addition,91.28,57.00,61.32,60.53,95.20,59.23,93.13,59.64,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
pyz120w3,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.00010718227530869314,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.0147909081870203,0.009175413497478524,0.7330845202244791,0.5652296073666779,223038480,latent+prefusion+distill+ce,addition,92.02,59.18,61.32,60.84,95.28,60.63,93.65,60.37,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
xu72bs5z,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,5.6173299639016973e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.8150907332385335,0.5389636035977284,0.7330845202244791,0.5652296073666779,223038480,latent+prefusion+distill+ce,addition,91.70,57.21,61.15,60.59,95.36,59.52,93.53,59.63,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
0jfoiy1j,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.0003868224946663983,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.78824935535171,0.9358802665968508,0.7330845202244791,0.5652296073666779,223038480,latent+prefusion+distill+ce,addition,92.13,58.13,60.92,60.03,93.67,59.95,92.89,59.72,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
5tyt9i90,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,5.002060610659784e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,4.422513825794555,0.7514388778524288,0.7330845202244791,0.5652296073666779,223038480,latent+prefusion+distill+ce,addition,91.45,56.76,61.05,60.50,95.47,60.28,93.46,59.41,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
6uzw8fb1,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.000627406760067896,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.1664269304758275,0.09426923098347906,0.7330845202244791,0.5652296073666779,223038480,latent+prefusion+distill+ce,addition,92.29,59.14,60.45,59.89,93.12,59.90,92.70,59.80,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
