wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
zie9ttjg,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.00024718918153146855,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,2.092248496076325,0.7078263822793196,0.8369287246181186,0.6448170007324399,223038480,latent+prefusion+distill+ce,transfer,92.48,59.28,60.98,60.37,93.67,60.18,93.08,59.99,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
rw3pgw14,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,2.3996516210171148e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,4.936325996804078,0.632708024587145,0.8369287246181186,0.6448170007324399,223038480,latent+prefusion+distill+ce,transfer,91.41,57.81,60.97,60.46,95.15,58.95,93.23,59.88,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
ot5nl4s7,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.0005115289853685982,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,2.1286254497543275,0.016104347072825265,0.8369287246181186,0.6448170007324399,223038480,latent+prefusion+distill+ce,transfer,92.15,59.44,60.11,59.74,93.18,60.09,92.66,60.04,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
zbfgudg5,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.00028870616380152644,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,3.7389937425141606,0.4236318144218389,0.8369287246181186,0.6448170007324399,223038480,latent+prefusion+distill+ce,transfer,92.70,59.11,60.92,60.14,93.73,59.62,93.21,59.94,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
3yf0bdp1,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,7.269269134961182e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,3.5101727994693,0.4484384102337041,0.8369287246181186,0.6448170007324399,223038480,latent+prefusion+distill+ce,transfer,92.65,59.21,61.14,60.68,94.84,60.38,93.74,60.27,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
j7lxhx99,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.0004911370702773628,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,4.77693527883332,0.12624969736011182,0.8369287246181186,0.6448170007324399,223038480,latent+prefusion+distill+ce,transfer,92.60,59.26,60.20,59.63,93.13,59.94,92.87,59.70,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
oh9afg4l,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.0007314487557709853,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.2150263359737874,0.500522072042538,0.8369287246181186,0.6448170007324399,223038480,latent+prefusion+distill+ce,transfer,90.46,58.11,55.56,55.67,90.62,58.22,90.54,57.53,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
gcv7m196,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,5.06019001448112e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,2.3331948515609,0.8590009971749691,0.8369287246181186,0.6448170007324399,223038480,latent+prefusion+distill+ce,transfer,92.38,58.79,61.18,60.62,94.83,60.27,93.60,60.11,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
gxxijy7n,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,1.0481281296299156e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,4.011111944319174,0.75582261294824,0.8369287246181186,0.6448170007324399,223038480,latent+prefusion+distill+ce,transfer,88.54,54.36,60.87,60.27,94.95,59.14,91.65,58.97,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
gotdp0b5,delulu-paperlw,dfc2020,s2_rgb,s2_norgb,59.80,0.0002259410020465956,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,4.597039533767732,0.018608800681911397,0.8369287246181186,0.6448170007324399,223038480,latent+prefusion+distill+ce,transfer,92.55,59.50,61.11,60.48,94.25,60.45,93.40,60.33,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,,teacher,none
