wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
vuvn5190,delulu-paperlw,eurosat,rgb,vre,98.57,6.543468837380331e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.1950510389247353,0.37897398739802857,0.7330845202244791,0.5652296073666779,142993940,latent+prefusion+distill+ce,addition,87.52,88.11,98.89,98.91,99.00,98.96,93.22,98.61,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
zp6klrv5,delulu-paperlw,eurosat,rgb,vre,98.57,4.267445248585797e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.281222265693365,0.2418731507812958,0.7330845202244791,0.5652296073666779,142993940,latent+prefusion+distill+ce,addition,86.33,87.26,98.85,98.96,99.19,98.98,92.74,98.83,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
41e8tb0p,delulu-paperlw,eurosat,rgb,vre,98.57,0.00026059523162759435,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,3.6404104916998343,0.049204136086587136,0.7330845202244791,0.5652296073666779,142993940,latent+prefusion+distill+ce,addition,89.44,89.72,98.44,98.50,98.52,98.74,93.98,98.31,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
s1gbh9j7,delulu-paperlw,eurosat,rgb,vre,98.57,9.080529687376211e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,4.006578043831806,0.6767210547921748,0.7330845202244791,0.5652296073666779,142993940,latent+prefusion+distill+ce,addition,90.26,90.61,98.93,99.00,99.04,99.06,94.54,98.98,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
w40sv366,delulu-paperlw,eurosat,rgb,vre,98.57,0.00011825675294741278,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.6616586944112393,0.9637125587561456,0.7330845202244791,0.5652296073666779,142993940,latent+prefusion+distill+ce,addition,89.96,90.24,98.78,98.80,99.00,99.04,94.48,98.76,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
yg7sgn7k,delulu-paperlw,eurosat,rgb,vre,98.57,0.0001859078608087968,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,1.388903833300399,0.5013698919357139,0.7330845202244791,0.5652296073666779,142993940,latent+prefusion+distill+ce,addition,89.37,90.44,96.04,96.39,91.37,91.33,90.37,97.33,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
l05jihsu,delulu-paperlw,eurosat,rgb,vre,98.57,0.0001863962797015534,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.439013711122711,0.20154696040263131,0.7330845202244791,0.5652296073666779,142993940,latent+prefusion+distill+ce,addition,87.56,88.28,98.52,98.52,98.70,98.69,93.13,98.48,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
l9pil987,delulu-paperlw,eurosat,rgb,vre,98.57,0.0003008454943631834,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,2.319984595026845,0.3797363815208318,0.7330845202244791,0.5652296073666779,142993940,latent+prefusion+distill+ce,addition,89.85,89.76,97.52,97.46,98.04,97.94,93.94,97.59,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
qxtbvjw4,delulu-paperlw,eurosat,rgb,vre,98.57,0.0006784159393332946,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,3.88645982957915,0.011832272269998724,0.7330845202244791,0.5652296073666779,142993940,latent+prefusion+distill+ce,addition,89.67,89.72,96.30,96.30,97.07,97.00,93.37,96.74,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
wm88cx7h,delulu-paperlw,eurosat,rgb,vre,98.57,0.0008107543543580381,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.5,0.0,False,True,False,1.560933581579523,0.04960419647635983,0.7330845202244791,0.5652296073666779,142993940,latent+prefusion+distill+ce,addition,90.70,90.59,96.15,95.72,97.26,96.89,93.94,96.30,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
