wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
6wtiesif,delulu-paperlw,eurosat,rgb,vre,98.57,4.063803738869009e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.8326604032876177,0.3265861569969797,0.23428736523557417,0.5441254268098721,142993940,latent+prefusion+distill+ce,peeking,86.59,87.70,98.85,98.98,99.19,98.91,92.89,98.93,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
2aabwodq,delulu-paperlw,eurosat,rgb,vre,98.57,2.014586308983042e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,3.1134074003237244,0.39165438826893806,0.23428736523557417,0.5441254268098721,142993940,latent+prefusion+distill+ce,peeking,80.70,82.17,98.70,98.85,99.41,98.87,90.06,98.78,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
vqp18ipn,delulu-paperlw,eurosat,rgb,vre,98.57,0.0002848882713145166,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,4.8716138159232,0.5338964931760581,0.23428736523557417,0.5441254268098721,142993940,latent+prefusion+distill+ce,peeking,93.96,94.46,98.37,98.74,98.70,98.78,96.33,98.43,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
85fc778u,delulu-paperlw,eurosat,rgb,vre,98.57,9.567004020922096e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,0.0605095958755536,0.96368090651408,0.23428736523557417,0.5441254268098721,142993940,latent+prefusion+distill+ce,peeking,89.41,89.04,95.74,96.09,82.41,81.07,84.57,97.07,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
inl7dxv1,delulu-paperlw,eurosat,rgb,vre,98.57,6.059214729748021e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,4.806509539132454,0.4429462663570449,0.23428736523557417,0.5441254268098721,142993940,latent+prefusion+distill+ce,peeking,94.93,94.54,98.93,99.00,99.26,98.83,97.00,98.83,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
4u1h8n96,delulu-paperlw,eurosat,rgb,vre,98.57,0.0003048659433669782,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,3.2454860032593964,0.09426151959840134,0.23428736523557417,0.5441254268098721,142993940,latent+prefusion+distill+ce,peeking,88.85,89.57,98.37,98.33,98.44,98.31,93.63,98.20,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
yqezy4o9,delulu-paperlw,eurosat,rgb,vre,98.57,0.0007625109827695449,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,0.4409281475197657,0.4952766405055383,0.23428736523557417,0.5441254268098721,142993940,latent+prefusion+distill+ce,peeking,88.15,88.63,94.48,94.33,96.19,96.17,92.17,95.85,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
my0r7ewf,delulu-paperlw,eurosat,rgb,vre,98.57,9.505020816098528e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.8008328303563932,0.09435576182626382,0.23428736523557417,0.5441254268098721,142993940,latent+prefusion+distill+ce,peeking,86.15,86.91,98.78,98.96,99.07,98.89,92.59,98.76,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
s840eqmu,delulu-paperlw,eurosat,rgb,vre,98.57,2.9069503806327513e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.818079565002464,0.8633832880669857,0.23428736523557417,0.5441254268098721,142993940,latent+prefusion+distill+ce,peeking,86.41,86.78,98.85,98.91,99.22,98.98,92.81,98.87,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
g5y233rd,delulu-paperlw,eurosat,rgb,vre,98.57,6.530719864751021e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,3.731972958631528,0.6855513784492958,0.23428736523557417,0.5441254268098721,142993940,latent+prefusion+distill+ce,peeking,94.30,94.19,98.81,99.07,99.22,99.04,96.74,98.85,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260913_195452.pt,0,,teacher,none
