wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
teeaz0y9,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,0.00032318411812936617,,0.0006192861883509336,100,0.34892012813701534,0.4339035205940064,0.0,False,False,True,0.2925501100763461,0.8913026781071001,0.9911941236227384,144580646,latent+prefusion+distill+ce,65.55,51.80,52.38,48.08,73.55,50.50,69.35,48.35,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
zercvju9,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,2.269615140597537e-05,,3.1603948243895e-05,100,0.25090941734588745,0.3918152377235026,0.0,False,False,True,0.1176132433458532,0.07591499862699491,0.7692027036811694,144580646,latent+prefusion+distill+ce,61.90,48.07,52.04,49.22,75.20,48.57,68.08,48.10,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
jitqy20j,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,1.4107583831632117e-05,,0.016056081934023175,100,0.1579195393291816,0.42020598419943944,0.0,False,False,True,0.13400497224624577,0.36962297911590314,0.7919930454894312,144580646,latent+prefusion+distill+ce,45.85,45.61,51.60,47.94,74.45,48.30,57.98,47.06,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
jn79h572,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,1.1069080681726894e-05,,0.0031517801800904303,100,0.4950946475534571,0.40080849656652495,0.0,False,False,True,0.05741228389129455,0.9249677578800308,0.5350226007840958,144580646,latent+prefusion+distill+ce,64.40,47.63,51.73,48.35,73.90,48.37,67.53,48.90,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
hovtbze3,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,0.000730110870542927,,0.03614767914015174,100,0.33627342853331516,0.3781498768446293,0.0,False,False,True,0.15923204106906474,0.6399623566482355,0.7280190699369375,144580646,latent+prefusion+distill+ce,66.55,51.97,51.82,48.25,79.75,49.87,72.70,47.53,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
24s4kf1k,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,0.00024317188407830227,,0.0006867494854010769,100,0.3896216184188625,0.460930622877644,0.0,False,False,True,0.2674834067912184,0.8660862089733434,0.3663967489266466,144580646,latent+prefusion+distill+ce,63.50,50.17,52.09,49.46,73.95,50.82,68.47,47.52,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
5p7o9xed,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,0.00024960122982755235,,0.000752406546006701,100,0.1320114612566776,0.4296902892854172,0.0,False,False,True,0.38527211896363733,0.4472457151756783,0.761507490123416,144580646,latent+prefusion+distill+ce,66.25,50.22,52.38,48.50,80.50,49.60,73.28,48.94,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
8pprfsff,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,6.781046839242838e-05,,3.701923743607085e-05,100,0.18245816277134713,0.3946663741478702,0.0,False,False,True,0.1763327368805927,0.7535959053745498,0.13186952536919028,144580646,latent+prefusion+distill+ce,66.00,49.66,52.80,47.31,73.75,48.42,64.25,49.83,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
f0kqpsy7,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,0.0002372863595183563,,0.029345803649743978,100,0.1100822390722973,0.4591149465099624,0.0,False,False,True,0.3379956920268785,0.9000893680648031,0.1343205296862785,144580646,latent+prefusion+distill+ce,66.65,50.80,51.60,48.99,72.20,49.65,68.97,50.54,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
7v39oti2,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,1.1643776946991911e-05,,2.370357992306526e-05,100,0.35583088286188624,0.40163534234923903,0.0,False,False,True,0.0003501097841837053,0.06864414760118698,0.7686439971925753,144580646,latent+prefusion+distill+ce,61.20,48.60,50.71,47.81,70.35,48.74,65.25,49.63,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
so1yi4z5,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,0.0005909293837466105,,8.667479865377265e-05,100,0.22052176931086548,0.33524431878322,0.0,False,False,True,0.3577746848514494,0.4672410672963015,0.8966133562213112,144580646,latent+prefusion+distill+ce,67.15,51.77,52.17,49.10,77.05,51.46,71.70,47.68,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
g89xoght,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,5.945392060203269e-05,,8.224522927240175e-05,100,0.42817124745248847,0.3117016754347077,0.0,False,False,True,0.29799905065252585,0.30360868042389366,0.49477848184746265,144580646,latent+prefusion+distill+ce,64.10,49.81,51.75,48.37,73.35,50.12,67.38,51.18,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
sh1oubwr,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,1.804171738538769e-05,,0.07495464594415954,100,0.4438007017322443,0.3043477556174301,0.0,False,False,True,0.15616497591001433,0.6947205331214985,0.725278263123145,144580646,latent+prefusion+distill+ce,62.60,48.20,52.24,48.46,73.05,50.10,66.53,51.03,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
o9nbffn4,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,0.0008383067404873246,,6.104536838106866e-05,100,0.4528001006633732,0.3106546280451469,0.0,False,False,True,0.3621825239872653,0.41402772486164785,0.13049623157555834,144580646,latent+prefusion+distill+ce,66.15,51.87,51.84,47.85,76.00,50.51,70.82,48.64,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
li8q7mlz,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,0.0004374177811525469,,0.0003745740430814994,100,0.15326941106267256,0.4718080367125297,0.0,False,False,True,0.4113998236055448,0.4155349989235656,0.8792057150381387,144580646,latent+prefusion+distill+ce,65.85,51.43,52.33,48.94,75.70,48.74,70.78,47.70,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
bd0u6pkr,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,0.0001922730856575772,,0.01841032891347861,100,0.2574311639888187,0.45107080940991817,0.0,False,False,True,0.00363413593278189,0.6252587617218381,0.3012501187547979,144580646,latent+prefusion+distill+ce,65.75,51.01,52.34,48.45,79.05,49.21,72.12,48.12,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
5a5kv58n,delulu-benv2-final-delulu-s1s2,benv2,s1,s2,49.23,0.00046097373610158425,,0.002506390834952154,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.12670199205261573,0.36988551100941947,0.7303287368278879,144580646,latent+prefusion+distill+ce,68.10,53.31,53.04,49.99,81.90,51.88,75.00,53.45,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
