wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
aceyburu,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,2.3924783891494976e-05,,0.0009085828185056327,64,0.3,0.24419920769788372,0.42802055834911246,0.38441380322353613,0.0,0.0,False,True,True,0.1710160432946704,0.8980442582313923,0.3495697589215893,0.6226171726600096,144580646,latent+prefusion+distill+ce,,59.45,49.39,52.40,48.18,75.70,48.35,61.53,50.44,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
skllo5tb,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0008144055657297019,,0.08830223294123604,64,0.3,0.1291734864554922,0.311100314791955,0.4199777472972861,0.0,0.5,False,True,True,0.2804736066097333,0.9962908888579456,0.7235120152736222,0.4801753190317584,144580646,latent+prefusion+distill+ce,,52.30,42.93,53.30,48.91,74.75,49.10,61.65,49.87,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
jgfczp8w,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,3.3177904782795545e-05,,0.0005022537684771733,64,0.3,0.21343008907357863,0.3973730306389688,0.2570380956060603,0.0,1.0,False,True,True,0.22617803047836463,0.6879125966419677,0.42531700730802624,0.45026503851109145,144580646,latent+prefusion+distill+ce,,60.20,49.58,52.29,48.28,78.50,49.16,64.58,51.51,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
84ot53kc,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,2.60810258174927e-05,,0.0011142106984248555,64,0.3,0.364112411867647,0.4315260874747956,0.22296652193544816,0.0,0.0,False,True,False,0.25832777987033706,0.4549258785628438,0.6837854144553219,0.5910424693071668,144580646,latent+prefusion+distill+ce,,65.20,49.58,52.06,48.44,75.50,47.05,69.38,51.35,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
aqhjyuob,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0004992849354837597,,2.261414436410145e-05,64,0.3,0.4218808609210297,0.43019350422205815,0.2406589886388813,0.0,1.0,False,True,False,0.2427237887892797,0.42714109246591214,0.31261534348454595,0.2946822368379901,144580646,latent+prefusion+distill+ce,,64.15,51.73,51.96,47.60,75.45,48.56,66.80,49.91,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
qtnnf282,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,2.4690974583984128e-05,,0.00015429614267276686,64,0.3,0.18548316338044568,0.47505128423797827,0.22895563107252817,0.0,0.5,False,True,False,0.237455108351099,0.5328928316406328,0.8922703613628362,0.6909464485354463,144580646,latent+prefusion+distill+ce,,64.55,49.79,52.01,48.17,75.00,47.19,67.65,51.37,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
2ftcd26q,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,1.0241848089501356e-05,,0.0379496873483853,64,0.3,0.4357720366926138,0.3840686376974821,0.31776763463355806,0.0,1.0,False,True,True,0.1262864569862892,0.6911775213766405,0.5934711266162469,0.3732361975047458,144580646,latent+prefusion+distill+ce,,60.15,48.19,53.00,48.84,76.60,49.68,65.50,50.60,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
29opurx0,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,4.5877659189344285e-05,,7.41562658221516e-05,64,0.3,0.264079578412483,0.2683562400103088,0.1925003285639989,0.0,0.5,False,True,False,0.06710173569163251,0.9317735142905292,0.7842181959887321,0.5188806291600213,144580646,latent+prefusion+distill+ce,,66.10,49.93,52.87,48.50,76.35,48.51,68.42,50.45,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
7tnysefb,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0003925879611332379,,0.01358337947595588,64,0.3,0.12643085960393952,0.1485959397161154,0.13771206987579176,0.0,1.0,False,True,True,0.2798390596731879,0.4333684360703473,0.8923420733214282,0.43487207792791416,144580646,latent+prefusion+distill+ce,,67.70,50.86,52.96,49.61,81.30,49.71,74.15,52.35,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
1etv02p6,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0008120483615585903,,0.00019984754600315416,64,0.3,0.10980715459321444,0.28863507270824607,0.3493011045711587,0.0,1.0,False,True,True,0.270668848329772,0.6940398875580263,0.927253938038794,0.3233913901271075,144580646,latent+prefusion+distill+ce,,56.05,43.02,53.21,49.55,74.80,47.59,64.80,50.38,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
