wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
g5moe2b1,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,5.979461759717666e-05,,0.0003960796113044816,64,0.3,0.19942119088500188,0.462500069891666,0.47391737918489407,0.0,0.0,False,True,True,0.005154090503145803,0.2732714214206662,0.20484258152799473,0.6888473536483335,223227906,latent+prefusion+distill+ce,,-44.27,-60.77,-44.45,-45.43,-18.78,-47.08,-32.29,-49.93,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
11mcjemc,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,2.5683213087322816e-05,,4.0776606512430215e-05,64,0.3,0.3003061324419004,0.42147178169921806,0.49524785620377776,0.0,0.0,False,True,True,0.2747878026759472,0.6676690451957795,0.3753166702952821,0.6505649021942961,223227906,latent+prefusion+distill+ce,,-62.03,-75.74,-65.64,-66.44,-54.28,-70.16,-58.15,-70.52,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
we18slxv,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,4.805073238811701e-05,,3.686988123753181e-05,64,0.3,0.2612997021794957,0.2691321847521947,0.3308405986767067,0.0,0.0,False,True,True,0.4027211463944618,0.8065791816491652,0.5232961828627939,0.44239149645014064,223227906,latent+prefusion+distill+ce,,-40.95,-57.23,-47.47,-48.44,-30.98,-53.36,-35.96,-50.33,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
fpnlbpel,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,2.248897262443621e-05,,0.0006633722205317711,64,0.3,0.24209547298795897,0.14818505223279532,0.42334509967042944,0.0,0.0,False,True,True,0.15755507771302724,0.0727954396629783,0.247097550595355,0.4677775523336411,223227906,latent+prefusion+distill+ce,,-64.97,-78.14,-69.64,-70.57,-60.02,-75.00,-63.11,-74.46,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
w1h18yfj,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0001416487621220816,,1.3245875891956008e-05,64,0.3,0.3689892146836491,0.10472262996514572,0.30668131051528247,0.0,0.0,False,True,True,0.1395149262388497,0.21357013144341663,0.0732041808701871,0.6246261271015681,223227906,latent+prefusion+distill+ce,,-32.32,-50.33,-42.76,-43.62,-11.40,-43.52,-21.87,-43.56,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
ekmgxdc8,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0007779598308610761,,6.691638649886531e-05,64,0.3,0.3414290908604348,0.3467312695476486,0.42691642929418594,0.0,0.0,False,True,True,0.1079164374370412,0.39265574148611526,0.8552825432594002,0.18031037129053423,223227906,latent+prefusion+distill+ce,,-38.33,-53.97,-43.48,-44.34,-13.30,-44.21,-25.84,-46.10,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
9vwgs153,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,1.455770351257259e-05,,9.158800506410604e-05,64,0.3,0.21040936284990577,0.3931107018848009,0.4753997688483302,0.0,0.0,False,True,True,0.4938635603940479,0.22405608821203504,0.2376649325081852,0.7136696768907622,223227906,latent+prefusion+distill+ce,,-70.44,-83.43,-78.13,-78.90,-67.94,-81.43,-69.58,-81.35,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
xhaa1c27,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,7.424558853114282e-05,,2.011849563197411e-05,64,0.3,0.41031915751222914,0.3860654349688969,0.4369904831642584,0.0,0.0,False,True,True,0.04038674227336986,0.7878635788119003,0.9038613782622744,0.5600527495124037,223227906,latent+prefusion+distill+ce,,-35.12,-52.63,-42.87,-43.82,-10.37,-43.86,-23.89,-45.27,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
ty1xx56h,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,6.290075766685524e-05,,0.0007436445019130065,64,0.3,0.2885143718854385,0.16439125660615175,0.4665324990005897,0.0,0.0,False,True,True,0.4038915694004467,0.21097796319333872,0.699139601036917,0.7043503062489144,223227906,latent+prefusion+distill+ce,,-42.09,-58.56,-43.09,-44.07,-17.28,-46.06,-29.90,-47.83,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
vx59ewak,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,3.638559760241005e-05,,7.116566556153435e-05,64,0.3,0.3285619194161602,0.18946572767668296,0.3837239461157883,0.0,0.0,False,True,True,0.1645670379508704,0.23317300463321455,0.4506952474865962,0.5596881839302875,223227906,latent+prefusion+distill+ce,,-57.31,-71.49,-58.10,-58.95,-44.98,-63.04,-51.42,-64.97,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
jyy98vn5,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0009605730153071408,,5.6378927735487386e-05,64,0.3,0.3886915108078638,0.36692212070361574,0.4657290488902204,0.0,0.0,False,True,True,0.4296877533113,0.002560102536135145,0.794489563497963,0.27399301273739585,223227906,latent+prefusion+distill+ce,,-44.27,-59.85,-44.94,-45.83,-16.27,-45.54,-31.25,-49.23,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
pk159hz0,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,1.850544342527638e-05,,4.322195378535273e-05,64,0.3,0.4032476206499266,0.2580327931358468,0.30603568745653786,0.0,0.0,False,True,True,0.32289200828547976,0.9519695792920742,0.9162988645841212,0.18118122006844217,223227906,latent+prefusion+distill+ce,,-61.18,-74.95,-74.52,-75.25,-63.35,-77.64,-62.26,-74.67,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
0rwleps1,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.00017896549055493256,,8.200804357577482e-05,64,0.3,0.3884053913539369,0.4048562158133895,0.29303605087956097,0.0,0.0,False,True,True,0.4353847217840032,0.8602262706264288,0.9478168184314144,0.4074846310182114,223227906,latent+prefusion+distill+ce,,-33.48,-51.03,-42.66,-43.62,-10.12,-43.59,-21.80,-44.60,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
ann8etot,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.00019407145020034904,,0.00015437932676327522,64,0.3,0.14164662460865643,0.42501872588910194,0.38779481002623006,0.0,0.0,False,True,True,0.2567621996203485,0.41388914072414074,0.9259591582504038,0.20701461669690036,223227906,latent+prefusion+distill+ce,,-39.31,-55.10,-42.65,-43.53,-10.64,-43.65,-24.97,-45.37,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
s8t26f3r,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0005330615687619045,,0.0009285672074034756,64,0.3,0.3531300303279026,0.24438488299407887,0.2811338090699874,0.0,0.0,False,True,True,0.14482540967964486,0.5809700582713823,0.5009945435164724,0.650437961682954,223227906,latent+prefusion+distill+ce,,-35.99,-52.67,-43.65,-44.57,-14.77,-44.86,-26.07,-46.39,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
rc6o0mi8,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,4.371144993965963e-05,,0.00012937200313748777,64,0.3,0.3397979691535101,0.11016338721346948,0.3038995012436436,0.0,0.0,False,True,True,0.22848539719704325,0.8402473450580943,0.7032575417400317,0.519664499444589,223227906,latent+prefusion+distill+ce,,-50.25,-65.30,-50.51,-51.39,-30.07,-53.08,-40.16,-56.90,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
ljw5s7u7,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0006183029225345155,,8.024386742726104e-05,64,0.3,0.49232817316036737,0.40475957986636846,0.24185054028342565,0.0,0.0,False,True,True,0.2050116069360032,0.6718547996900955,0.8351779198913386,0.4200445307228709,223227906,latent+prefusion+distill+ce,,-35.72,-53.04,-44.75,-45.63,-14.89,-45.06,-25.83,-46.90,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
ehdk4fjc,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.000627721663587115,,1.064002989476554e-05,64,0.3,0.25824305437202055,0.373549107653133,0.3559413333712882,0.0,0.0,False,True,True,0.05845908970073821,0.129667774243168,0.3236476318606537,0.3776491331181804,223227906,latent+prefusion+distill+ce,,-38.43,-54.49,-42.95,-43.84,-11.14,-43.81,-25.82,-46.76,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
wwjx9ulh,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.00018774605388929117,,0.00059776328868199,64,0.3,0.17086998759561012,0.4337013897884122,0.48969438325026193,0.0,0.0,False,True,True,0.25848175519194694,0.6868241907695132,0.07219505216725253,0.18903965391616237,223227906,latent+prefusion+distill+ce,,-36.79,-52.59,-42.46,-43.40,-10.80,-43.73,-24.02,-45.16,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
txinilrq,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,3.639680456549103e-05,,0.0005321911503876938,64,0.3,0.4255308138066348,0.3298956993703832,0.2854821990331558,0.0,0.0,False,True,True,0.2765518444991479,0.7218844599444398,0.2745808470316926,0.6935020614062958,223227906,latent+prefusion+distill+ce,,-55.18,-69.70,-57.78,-58.68,-39.76,-59.15,-47.47,-63.73,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
bc8dcfwb,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.00015494464407114124,,6.222376033353564e-05,64,0.3,0.13034930353982294,0.31389269764148875,0.26375462414023154,0.0,0.0,False,True,True,0.22783855230928873,0.8734243440772472,0.8665662489923551,0.7042976237175583,223227906,latent+prefusion+distill+ce,,-34.84,-52.20,-42.74,-43.64,-12.52,-44.29,-24.56,-44.53,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
4xaxndty,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0008276802281943611,,0.00024105401967145355,64,0.3,0.18243564130067524,0.1457997503698441,0.47776989589758945,0.0,0.0,False,True,True,0.3956589448002704,0.2803570295751625,0.1132065515866707,0.29980899267346794,223227906,latent+prefusion+distill+ce,,-38.60,-55.60,-42.79,-43.65,-12.27,-43.90,-27.23,-46.35,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
usroyrh3,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,2.000913625674021e-05,,0.0001071230546293452,64,0.3,0.41429386157186654,0.1475786658266074,0.27412392197661695,0.0,0.0,False,True,True,0.22406524050389295,0.21096618929954203,0.8493696127090063,0.7101005679642146,223227906,latent+prefusion+distill+ce,,-75.02,-87.34,-66.91,-67.85,-56.56,-71.79,-65.80,-77.54,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
v62mn8ym,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.0003604759465208879,,0.00011835814218813694,64,0.3,0.4004130763168091,0.4827621527926214,0.4985355285878812,0.0,0.0,False,True,True,0.2566990611795522,0.5494151177346057,0.7522548887856876,0.5114711969492762,223227906,latent+prefusion+distill+ce,,-37.58,-55.03,-43.04,-44.03,-12.85,-44.34,-26.16,-46.68,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
pfz6bbf6,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,0.000265150958472252,,5.784454322623156e-05,64,0.3,0.4294746180363541,0.3860510472955039,0.20573008457940856,0.0,0.0,False,True,True,0.40275893632029286,0.567852108811394,0.8726965057394889,0.7586440609298796,223227906,latent+prefusion+distill+ce,,-35.26,-52.50,-43.19,-44.08,-15.86,-45.42,-27.12,-46.17,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
nhpweno6,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,1.6136677456869722e-05,,1.5157711963817407e-05,64,0.3,0.3552495002261301,0.3857273940808989,0.3085124774138124,0.0,0.0,False,True,True,0.003194057173258935,0.4624761059224866,0.16503529124127536,0.3535068466329403,223227906,latent+prefusion+distill+ce,,-71.21,-83.95,-76.73,-77.46,-64.52,-78.62,-68.91,-81.39,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
g5nfol76,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,7.213660575662276e-05,,0.00017912838729529045,64,0.3,0.4183298692290931,0.2347675740458111,0.2803505031233303,0.0,0.0,False,True,True,0.08901296180346496,0.2946499489383728,0.9197686525681814,0.5958824366127972,223227906,latent+prefusion+distill+ce,,-39.06,-55.95,-43.04,-44.01,-13.34,-44.92,-27.12,-47.70,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
zu0h2gk7,delulu-biomassters-delulu-s2s1,biomassters,s2,s1,43.59,1.5662935196579238e-05,,4.6919305602599856e-05,64,0.3,0.2277411941856629,0.2416158427575042,0.22323166688318047,0.0,0.0,False,True,True,0.3692216195168267,0.2674704853242037,0.14960273774795751,0.19343424446415652,223227906,latent+prefusion+distill+ce,,-75.13,-87.52,-74.18,-74.98,-63.18,-77.58,-69.46,-81.27,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260725_075836.pt
