wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
svp7xa6b,delulu-biomassters-tpooled-delulu-s2_norgbtos2_rgb,biomassters,s2_norgb,s2_rgb,44.15,4.6943987427608125e-05,,6.902602789444023e-05,128,0.3,0.4187216920750988,0.3339307163809194,0.4925993358962995,0.0,0.0,False,True,True,0.34928628827999125,0.23287754427127072,0.2051579215687469,0.5231412456929855,222441474,latent+prefusion+distill+ce,,-42.71,-59.34,-58.22,-58.67,-41.64,-58.35,-42.18,-57.87,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,,teacher,none
wtdw62zs,delulu-biomassters-tpooled-delulu-s2_norgbtos2_rgb,biomassters,s2_norgb,s2_rgb,44.15,0.00011829976358858596,,0.00012247268502444848,128,0.3,0.1527741099077817,0.27086536350277646,0.40263572134372005,0.0,0.0,False,True,True,0.092284919207772,0.383804145481478,0.08398841140599167,0.7371701337870893,222441474,latent+prefusion+distill+ce,,-30.36,-51.19,-44.68,-45.05,-20.86,-46.02,-25.92,-46.46,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,,teacher,none
n5o5t7ub,delulu-biomassters-tpooled-delulu-s2_norgbtos2_rgb,biomassters,s2_norgb,s2_rgb,44.15,0.0003479121393473172,,8.337962061978961e-05,128,0.3,0.4133154076698814,0.4762093774592112,0.4549267379138652,0.0,0.0,False,True,True,0.2883995444364842,0.2878232867918873,0.4125908382739949,0.4335974245375869,222441474,latent+prefusion+distill+ce,,-27.28,-48.94,-43.79,-44.15,-19.27,-44.93,-23.49,-45.28,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,,teacher,none
vbd2we5e,delulu-biomassters-tpooled-delulu-s2_norgbtos2_rgb,biomassters,s2_norgb,s2_rgb,44.15,2.5333993313661134e-05,,2.261553421364994e-05,128,0.3,0.3760847300060869,0.3969932814894061,0.373663071079448,0.0,0.0,False,True,True,0.11377576345976388,0.6636814888964713,0.019467148266043788,0.26543478786618335,222441474,latent+prefusion+distill+ce,,-68.34,-79.81,-75.66,-76.35,-64.88,-77.00,-66.67,-78.87,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,,teacher,none
aw4p1a7w,delulu-biomassters-tpooled-delulu-s2_norgbtos2_rgb,biomassters,s2_norgb,s2_rgb,44.15,0.0005897883016607873,,0.0009655325162254176,128,0.3,0.24445185496893423,0.337479770622811,0.38574129653718,0.0,0.0,False,True,True,0.22452837143425625,0.3986055899058577,0.8476489608389576,0.39543653486404173,222441474,latent+prefusion+distill+ce,,-25.23,-47.84,-43.40,-43.82,-16.86,-44.12,-21.09,-44.68,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,,teacher,none
2zmxtudt,delulu-biomassters-tpooled-delulu-s2_norgbtos2_rgb,biomassters,s2_norgb,s2_rgb,44.15,0.0001306380761250147,,9.216954860708164e-05,128,0.3,0.2653132159227014,0.3364168305330989,0.4453670412946189,0.0,0.0,False,True,True,0.34037632662734346,0.8112625998833359,0.481940808777665,0.2503389870339631,222441474,latent+prefusion+distill+ce,,-26.39,-48.43,-43.46,-43.90,-17.17,-44.54,-21.93,-45.07,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,,teacher,none
6u8mvbla,delulu-biomassters-tpooled-delulu-s2_norgbtos2_rgb,biomassters,s2_norgb,s2_rgb,44.15,0.00012630609907068194,,3.804114806477358e-05,128,0.3,0.24294467453583848,0.32819890316113975,0.49596323024623246,0.0,0.0,False,True,True,0.3370168963285104,0.871764442359006,0.5585299194824381,0.3817689700061999,222441474,latent+prefusion+distill+ce,,-26.79,-48.91,-43.47,-43.84,-17.41,-44.66,-22.18,-45.07,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,,teacher,none
ac1d404t,delulu-biomassters-tpooled-delulu-s2_norgbtos2_rgb,biomassters,s2_norgb,s2_rgb,44.15,0.0006999382311236341,,0.0006680651590088162,128,0.3,0.42239183324429186,0.17745956952260122,0.3667985851740855,0.0,0.0,False,True,True,0.06466674846557463,0.8569716117837917,0.2741445776721926,0.2918270010361244,222441474,latent+prefusion+distill+ce,,-25.72,-47.80,-43.91,-44.31,-17.70,-44.26,-21.73,-44.99,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,,teacher,none
d1nb107a,delulu-biomassters-tpooled-delulu-s2_norgbtos2_rgb,biomassters,s2_norgb,s2_rgb,44.15,3.41358799343868e-05,,0.00027165035241387273,128,0.3,0.33968103165011476,0.3392113636512343,0.3654629582759875,0.0,0.0,False,True,True,0.48659270880180694,0.9406496172674116,0.6097203235070191,0.20958730019797644,222441474,latent+prefusion+distill+ce,,-51.72,-65.73,-64.05,-64.60,-51.88,-66.31,-51.80,-65.07,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,,teacher,none
diw7l98s,delulu-biomassters-tpooled-delulu-s2_norgbtos2_rgb,biomassters,s2_norgb,s2_rgb,44.15,1.510894310546031e-05,,1.63631304477029e-05,128,0.3,0.2066059603481772,0.4927382959301355,0.3002617856923091,0.0,0.0,False,True,True,0.3017449753122338,0.5922096701661433,0.7603445314189671,0.4081829839599096,222441474,latent+prefusion+distill+ce,,-73.30,-84.78,-77.06,-77.75,-67.44,-79.37,-71.09,-81.74,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,,teacher,none
