wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
0tu76vmx,delulu-biomassters-tpooled-delulu-s2_rgbtos2_norgb,biomassters,s2_rgb,s2_norgb,45.31,3.6776716574220745e-05,,0.00023192320928559453,128,0.3,0.15557427158982864,0.3103009587196315,0.44292443497036194,0.0,0.0,False,True,True,0.02655012502195303,0.6471444883047792,0.2672245867094075,0.3173912758714258,222441474,latent+prefusion+distill+ce,,-51.36,-67.36,-62.78,-63.36,-45.88,-62.70,-49.30,-65.67,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,,teacher,none
j760cuh7,delulu-biomassters-tpooled-delulu-s2_rgbtos2_norgb,biomassters,s2_rgb,s2_norgb,45.31,1.185521216323346e-05,,0.00013277181295687262,128,0.3,0.2382527660980557,0.16638054211011288,0.4933142324733458,0.0,0.0,False,True,True,0.3627019043539146,0.2347536775221174,0.7039377982724881,0.4161398189750263,222441474,latent+prefusion+distill+ce,,-70.27,-83.44,-79.54,-80.21,-65.97,-79.82,-68.31,-81.80,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,,teacher,none
kjje7h7h,delulu-biomassters-tpooled-delulu-s2_rgbtos2_norgb,biomassters,s2_rgb,s2_norgb,45.31,1.1844359109332644e-05,,1.529403052775664e-05,128,0.3,0.3193537898210239,0.4679853710116376,0.3999798244352511,0.0,0.0,False,True,True,0.2690006701086806,0.37903848522406614,0.34755696590508145,0.2561317601016223,222441474,latent+prefusion+distill+ce,,-74.17,-86.93,-80.90,-81.55,-67.88,-81.48,-71.33,-84.37,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,,teacher,none
oj179wfc,delulu-biomassters-tpooled-delulu-s2_rgbtos2_norgb,biomassters,s2_rgb,s2_norgb,45.31,0.00044754101452755193,,3.252881160802234e-05,128,0.3,0.2582093134779594,0.37611090182703744,0.4709220155152885,0.0,0.0,False,True,True,0.2725180473333319,0.7021510687458667,0.9218343914495476,0.4544775431028324,222441474,latent+prefusion+distill+ce,,-22.69,-46.06,-46.49,-46.49,-21.21,-45.72,-21.96,-45.68,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,,teacher,none
zjkqwnbc,delulu-biomassters-tpooled-delulu-s2_rgbtos2_norgb,biomassters,s2_rgb,s2_norgb,45.31,0.00018578556259579864,,3.310427318503993e-05,128,0.3,0.198039670091068,0.2979926030268605,0.411986637395921,0.0,0.0,False,True,True,0.2509070751631294,0.19551718877777413,0.5780251688499872,0.6795280220318299,222441474,latent+prefusion+distill+ce,,-23.36,-46.87,-44.14,-44.61,-15.76,-44.86,-19.62,-44.62,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,,teacher,none
mf8yb4f0,delulu-biomassters-tpooled-delulu-s2_rgbtos2_norgb,biomassters,s2_rgb,s2_norgb,45.31,0.0007902117906707155,,5.0031390592395784e-05,128,0.3,0.12639497550386225,0.31781896380584596,0.3347515211364174,0.0,0.0,False,True,True,0.04600640439173287,0.9856458558129504,0.2703188900261013,0.1164827299256784,222441474,latent+prefusion+distill+ce,,-25.90,-47.54,-49.39,-49.38,-24.52,-47.03,-25.22,-47.29,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,,teacher,none
wqnnkdx5,delulu-biomassters-tpooled-delulu-s2_rgbtos2_norgb,biomassters,s2_rgb,s2_norgb,45.31,9.999642998623056e-05,,0.00043740226928124627,128,0.3,0.4953150557853272,0.21973668034224067,0.348533903862817,0.0,0.0,False,True,True,0.2802293535983049,0.955812743590526,0.25878087309170617,0.7094417342417021,222441474,latent+prefusion+distill+ce,,-23.17,-46.64,-46.34,-46.53,-23.10,-47.60,-23.16,-45.90,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,,teacher,none
5nytda0y,delulu-biomassters-tpooled-delulu-s2_rgbtos2_norgb,biomassters,s2_rgb,s2_norgb,45.31,1.4337703408369442e-05,,0.00017027607116977528,128,0.3,0.194183813571145,0.209062556914848,0.49079339611779627,0.0,0.0,False,True,True,0.12057494065111446,0.1561385800176203,0.3109957064666867,0.15007708106164272,222441474,latent+prefusion+distill+ce,,-70.84,-83.90,-79.62,-80.54,-66.32,-80.21,-68.73,-82.28,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,,teacher,none
54a84imy,delulu-biomassters-tpooled-delulu-s2_rgbtos2_norgb,biomassters,s2_rgb,s2_norgb,45.31,0.0005505847412747834,,1.8245009309037616e-05,128,0.3,0.1869371007001008,0.3774558031334988,0.43709877533853503,0.0,0.0,False,True,True,0.28528614683607306,0.4965793834491328,0.8832719136582203,0.1817263691396111,222441474,latent+prefusion+distill+ce,,-22.94,-46.37,-46.11,-46.14,-20.97,-45.85,-22.03,-45.61,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,,teacher,none
u9jscccv,delulu-biomassters-tpooled-delulu-s2_rgbtos2_norgb,biomassters,s2_rgb,s2_norgb,45.31,0.0006189036522879547,,0.00010896638160294884,128,0.3,0.3993229811038713,0.414296104120785,0.3477042307229733,0.0,0.0,False,True,True,0.052326872723364115,0.8119194666905253,0.3427618597938966,0.27156338058004537,222441474,latent+prefusion+distill+ce,,-25.58,-47.75,-49.45,-49.34,-24.90,-47.52,-25.24,-47.70,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,,teacher,none
