wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
1y9zn4oy,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,5.5009469919275145e-05,,6.896937144723946e-05,128,0.3,0.297635579821745,0.4093912723655424,0.3713166413886474,0.0,0.0,False,True,True,0.15902585585756918,0.5479776671135619,0.5762345383419014,0.3322527635822745,223227906,latent+prefusion+distill+ce,,-40.85,-57.28,-46.78,-47.15,-23.62,-47.54,-32.42,-50.93,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
umsonwpq,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,0.00040987191355393207,,8.688617949747459e-05,128,0.3,0.3422970156852668,0.383044427010207,0.44714337026739615,0.0,0.0,False,True,True,0.4399170667431498,0.11771924176235549,0.9331346851501944,0.3652212459819878,223227906,latent+prefusion+distill+ce,,-33.40,-50.48,-43.23,-43.63,-19.44,-44.09,-26.45,-44.68,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
62gk5ho1,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,7.010544389879327e-05,,0.0006598338223197597,128,0.3,0.4219632431855432,0.24667488545580535,0.33761874312783713,0.0,0.0,False,True,True,0.26877818861705294,0.06399524916497612,0.29089216467277157,0.19493300222190696,223227906,latent+prefusion+distill+ce,,-39.92,-56.31,-44.81,-45.29,-21.75,-45.79,-31.28,-48.64,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
1scta6va,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,4.905529203067487e-05,,1.9087587919061896e-05,128,0.3,0.21390792427950991,0.32577917873095386,0.35731689656904053,0.0,0.0,False,True,True,0.18444644006657376,0.3681211225114091,0.5376965151908073,0.10260692124532488,223227906,latent+prefusion+distill+ce,,-44.20,-60.17,-51.12,-51.50,-32.88,-53.74,-38.85,-55.46,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
o17cf4lb,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,1.1378188628458614e-05,,1.4763277698940277e-05,128,0.3,0.1901867215165083,0.22643804314932475,0.43195454403872136,0.0,0.0,False,True,True,0.464359220737455,0.5778100851934749,0.6789887000206616,0.6175282074611396,223227906,latent+prefusion+distill+ce,,-76.34,-89.27,-79.06,-79.97,-67.66,-81.47,-72.00,-85.71,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
ds2tlgm5,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,0.0007269083649391458,,2.8304629839850104e-05,128,0.3,0.49027170411234167,0.4742992690899255,0.3516079611282129,0.0,0.0,False,True,True,0.007240216911955921,0.9030357134963756,0.20419202898980127,0.3944168598801766,223227906,latent+prefusion+distill+ce,,-42.09,-59.24,-46.23,-46.57,-24.58,-46.46,-33.55,-49.78,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
chevpzvx,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,0.0006053797956300603,,0.0004049194934327563,128,0.3,0.11911231535475549,0.3835357298623012,0.4193580341052541,0.0,0.0,False,True,True,0.4347136905880816,0.24966483110511883,0.9691919598904012,0.2842048681838566,223227906,latent+prefusion+distill+ce,,-35.55,-52.52,-43.12,-43.49,-17.37,-43.32,-26.58,-45.35,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
rnsydrii,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,2.876350147949126e-05,,0.0007159570188662193,128,0.3,0.3010346371333786,0.34766578189430974,0.4496310806674635,0.0,0.0,False,True,True,0.29701431667421363,0.836864249722591,0.3322222289461184,0.23203155581775312,223227906,latent+prefusion+distill+ce,,-66.42,-79.83,-67.46,-68.04,-55.41,-71.05,-61.00,-74.61,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
1e3ytykl,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,1.1576333936642714e-05,,0.0007476436076175521,128,0.3,0.38957926822599953,0.1826528365701817,0.4444175990482073,0.0,0.0,False,True,True,0.49099402104039863,0.6379826146867701,0.9049271623452771,0.6332694048068849,223227906,latent+prefusion+distill+ce,,-76.20,-89.21,-78.69,-79.66,-66.83,-80.67,-71.80,-85.38,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
yu0377ks,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,0.00011243342056339644,,4.608973986514738e-05,128,0.3,0.1323421254161634,0.4446009291491144,0.4992545401719607,0.0,0.0,False,True,True,0.13389236191398762,0.937659952927256,0.535797619061767,0.5646071615659471,223227906,latent+prefusion+distill+ce,,-37.25,-55.01,-43.18,-43.63,-17.35,-43.83,-27.32,-46.46,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
slyz1k5x,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,1.6198174999383843e-05,,7.818004263313689e-05,128,0.3,0.4982613476608791,0.2707305882740415,0.35772720890457865,0.0,0.0,False,True,True,0.24802129204083811,0.13351546377367374,0.9885571137836798,0.6827307299883993,223227906,latent+prefusion+distill+ce,,-73.11,-86.13,-76.04,-76.59,-64.24,-78.38,-69.44,-82.19,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
7nci31wn,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,3.006550240643354e-05,,1.276309336401949e-05,128,0.3,0.4460263808512608,0.137211384571386,0.3312208712158049,0.0,0.0,False,True,True,0.0255211817361346,0.25340437024968965,0.3849987664260669,0.4861263232483507,223227906,latent+prefusion+distill+ce,,-61.51,-75.36,-64.36,-64.83,-49.23,-65.86,-55.37,-69.72,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
rr8r3b6v,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,1.977888140924172e-05,,1.915879626554253e-05,128,0.3,0.31600068528704717,0.3547072497178685,0.4022267460158634,0.0,0.0,False,True,True,0.3650605382177107,0.5814891709225629,0.12940528508476246,0.7618705410778507,223227906,latent+prefusion+distill+ce,,-74.91,-88.02,-73.64,-74.16,-61.97,-76.25,-69.66,-81.83,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
2e3ku4dk,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,0.0002219272551325252,,1.891771000916105e-05,128,0.3,0.29449208293475004,0.41955987389654625,0.3117920708690566,0.0,0.0,False,True,True,0.3897083015958443,0.9165220218954804,0.15107193201348057,0.27953947226896236,223227906,latent+prefusion+distill+ce,,-34.33,-51.39,-43.85,-44.27,-21.40,-44.64,-27.98,-45.42,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
vzd8otc4,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,1.4464735350123276e-05,,1.938056673395632e-05,128,0.3,0.344008056257507,0.347837253592797,0.1843101475570503,0.0,0.0,False,True,True,0.3243247976939771,0.605404708686268,0.4462694177416696,0.14431703986604366,223227906,latent+prefusion+distill+ce,,-74.51,-87.50,-79.71,-80.37,-66.77,-80.64,-70.99,-86.90,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
c58xbzp7,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,9.655537332292028e-05,,0.00030157616130029844,128,0.3,0.2186024527218086,0.35185162913826173,0.421755315368627,0.0,0.0,False,True,True,0.471144107792344,0.2502334515682675,0.25181179677408505,0.4105739039033096,223227906,latent+prefusion+distill+ce,,-35.56,-53.11,-43.56,-43.99,-19.91,-44.59,-28.41,-45.05,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
viuigzwl,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,0.0004182584807727363,,6.744972672747842e-05,128,0.3,0.3571863896844706,0.35072476674331243,0.4494508257162976,0.0,0.0,False,True,True,0.31436679700267645,0.24811175929226925,0.4287994711912402,0.6842765109666227,223227906,latent+prefusion+distill+ce,,-35.05,-52.43,-43.81,-44.24,-20.46,-44.53,-28.03,-46.01,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
qthyplgy,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,7.975462382834722e-05,,4.075222208401141e-05,128,0.3,0.2369640450301581,0.1618264767671005,0.3227084986829372,0.0,0.0,False,True,True,0.021258564452972528,0.25757364553315965,0.39794051956493615,0.1500216509648604,223227906,latent+prefusion+distill+ce,,-35.46,-52.79,-43.81,-44.21,-15.66,-43.80,-25.60,-45.57,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
nxjndopu,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,0.0006047106642305967,,0.0005391709881874012,128,0.3,0.13315861687204503,0.4945042717417888,0.2556647398540227,0.0,0.0,False,True,True,0.04248219932093772,0.8681589185738778,0.997152065107526,0.6767629073830979,223227906,latent+prefusion+distill+ce,,-34.45,-51.47,-43.25,-43.59,-17.64,-43.95,-26.98,-45.90,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
59fup5z4,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,0.000240751387654549,,0.0001985977370260373,128,0.3,0.4506635420152362,0.2706060604557415,0.2453755978800191,0.0,0.0,False,True,True,0.05267404116046753,0.5253838093032359,0.08630368049961179,0.7557336690461324,223227906,latent+prefusion+distill+ce,,-35.13,-52.36,-44.55,-44.90,-22.42,-45.28,-29.21,-45.91,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
nzbsb3gg,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,0.0005041220357791388,,1.1291267788162094e-05,128,0.3,0.3946325094129236,0.3066879839527482,0.18077267818258663,0.0,0.0,False,True,True,0.16953008539442993,0.1747748914512598,0.23212563758219207,0.43449722294223214,223227906,latent+prefusion+distill+ce,,-34.85,-52.14,-45.45,-45.80,-22.96,-45.53,-29.03,-46.62,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
bllahnpj,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,1.4380888202963276e-05,,0.0008220005189434669,128,0.3,0.1630673715714568,0.4282537056310668,0.415961688343872,0.0,0.0,False,True,True,0.04571438851308296,0.5334637133503305,0.22351997239166344,0.6483380850208545,223227906,latent+prefusion+distill+ce,,-73.90,-87.18,-80.09,-80.84,-66.96,-80.93,-71.30,-85.64,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
wq9cgzj1,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,2.754609470488011e-05,,7.31859710297526e-05,128,0.3,0.12245406669108916,0.448692639624652,0.2471556667111775,0.0,0.0,False,True,True,0.23740723053769647,0.8945810973040239,0.715709780051036,0.10208906730878135,223227906,latent+prefusion+distill+ce,,-61.84,-75.90,-67.05,-67.67,-51.93,-68.05,-57.62,-72.28,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
4soot46u,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,0.00010311019921227876,,0.0009934852364680835,128,0.3,0.3527733901871931,0.35222046301671495,0.11775794638255342,0.0,0.0,False,True,True,0.0229273201950862,0.3283483066760794,0.3855338418834766,0.4954401315837717,223227906,latent+prefusion+distill+ce,,-33.56,-51.13,-43.72,-44.11,-17.49,-43.51,-26.56,-44.79,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
g0f8kt9r,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,3.867596415591756e-05,,0.0005567814177888042,128,0.3,0.23441006626044025,0.2242669828193034,0.4056712673876729,0.0,0.0,False,True,True,0.3913341324840182,0.6596581392747778,0.20717606667788335,0.5278118074811348,223227906,latent+prefusion+distill+ce,,-61.01,-75.08,-60.41,-60.91,-47.27,-64.09,-54.14,-67.83,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
jum8iyio,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,9.477399063879685e-05,,1.819383218069492e-05,128,0.3,0.25954649071929625,0.2387528312171865,0.1741044006700601,0.0,0.0,False,True,True,0.34079719544913223,0.5925533029809967,0.1011305361631224,0.7053485707471524,223227906,latent+prefusion+distill+ce,,-36.70,-53.93,-46.47,-46.71,-25.38,-46.94,-31.26,-48.16,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
v5c45zg8,delulu-biomassters-tpooled-delulu-s2tos1,biomassters,s2,s1,43.57,0.0001730662985638486,,0.00012245279329566353,128,0.3,0.3964734025663083,0.23846299374225308,0.1728255355786652,0.0,0.0,False,True,True,0.016621651572551244,0.024293668038324112,0.6282619509131684,0.1362866879894962,223227906,latent+prefusion+distill+ce,,-31.51,-48.81,-43.07,-43.44,-15.07,-43.10,-23.68,-43.88,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,,teacher,none
