wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label
frbs2hbm,delulu-dfc2020-cobench-s1_to_s2norgb-nobal,dfc2020,s1,s2_norgb,49.05,2.3200764674995112e-05,,0.0004722931046750717,128,0.3,0.4838957980236344,0.4336206199631129,0.3367866796053979,0.0,0.0,False,True,True,1.0124382630660027,0.3349656656784832,0.26518919048853373,0.1907471564265285,222841872,latent+prefusion+distill+ce,,82.40,48.39,48.51,48.74,88.74,50.16,85.45,49.89,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
vwrn3cip,delulu-dfc2020-cobench-s1_to_s2norgb-nobal,dfc2020,s1,s2_norgb,49.05,9.581049976762708e-05,,2.7906743545990105e-05,128,0.3,0.2895750743841954,0.27108639065023266,0.4959850099681974,0.0,0.0,False,True,True,1.9688109283824675,0.08920882442049538,0.3274340988496931,0.35822441880474054,222841872,latent+prefusion+distill+ce,,83.52,48.74,48.11,48.32,87.68,49.82,85.39,49.75,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
3teydodv,delulu-dfc2020-cobench-s1_to_s2norgb-nobal,dfc2020,s1,s2_norgb,49.05,2.7300835441495287e-05,,4.5313093270088855e-05,128,0.3,0.1821121400889956,0.1769123580367727,0.4725441487961842,0.0,0.0,False,True,True,2.2340151912066593,0.6351995759554576,0.4721320206841577,0.5571683184210903,222841872,latent+prefusion+distill+ce,,82.81,46.49,49.05,48.91,87.39,49.86,84.57,49.80,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
ny8e6k0m,delulu-dfc2020-cobench-s1_to_s2norgb-nobal,dfc2020,s1,s2_norgb,49.05,0.0005387794987941228,,0.0003225422282203561,128,0.3,0.49826331007950375,0.45248605182029233,0.3105327229878732,0.0,0.0,False,True,True,3.508951806477298,0.32794325218486886,0.2078161792028118,0.5072176785862419,222841872,latent+prefusion+distill+ce,,82.39,47.21,48.58,47.97,87.59,49.79,84.92,50.28,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
bvqdnsnr,delulu-dfc2020-cobench-s1_to_s2norgb-nobal,dfc2020,s1,s2_norgb,49.05,0.0003322378335193234,,8.494374545498399e-05,128,0.3,0.3686286993968627,0.22232323245711536,0.4268418514082378,0.0,0.0,False,True,True,1.8204408601431503,0.7850491771097426,0.3826179194760225,0.11044018692096406,222841872,latent+prefusion+distill+ce,,83.77,48.67,48.76,49.40,89.93,51.53,86.81,50.41,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
lh5tcsvr,delulu-dfc2020-cobench-s1_to_s2norgb-nobal,dfc2020,s1,s2_norgb,49.05,0.00010537104268611988,,3.953520271973219e-05,128,0.3,0.10463080568598428,0.349574327139872,0.36100654558111944,0.0,0.0,False,True,True,3.034017505880499,0.5666474240034296,0.5126751748155997,0.34363843253900245,222841872,latent+prefusion+distill+ce,,81.79,44.47,47.90,48.83,87.81,48.30,84.67,47.28,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
i5lp6ko7,delulu-dfc2020-cobench-s1_to_s2norgb-nobal,dfc2020,s1,s2_norgb,49.05,3.698612308827936e-05,,1.3406464295098496e-05,128,0.3,0.2940375089716304,0.35741085388371696,0.2756071252178939,0.0,0.0,False,True,True,3.3020048961400867,0.6093060188517883,0.3371130354364086,0.3981727899256434,222841872,latent+prefusion+distill+ce,,83.30,46.85,48.58,48.34,88.08,49.11,84.84,47.91,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
c9y8rzkb,delulu-dfc2020-cobench-s1_to_s2norgb-nobal,dfc2020,s1,s2_norgb,49.05,1.3056792797763495e-05,,2.677938021093047e-05,128,0.3,0.2870272444965378,0.25936474425368206,0.28782712441176206,0.0,0.0,False,True,True,1.4036811169437136,0.30534002992162035,0.7992026255662311,0.26809414418700384,222841872,latent+prefusion+distill+ce,,82.62,48.62,48.38,48.77,89.68,49.59,85.38,50.31,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
spyf15rg,delulu-dfc2020-cobench-s1_to_s2norgb-nobal,dfc2020,s1,s2_norgb,49.05,4.964765422966388e-05,,0.00016617622664773178,128,0.3,0.18760907964265008,0.17999176379708237,0.37979466747614754,0.0,0.0,False,True,True,4.1264355169137925,0.6855212409384442,0.23306433705492943,0.12387028979352548,222841872,latent+prefusion+distill+ce,,81.84,43.74,47.75,48.66,88.23,49.71,84.48,46.19,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
puf0lk6b,delulu-dfc2020-cobench-s1_to_s2norgb-nobal,dfc2020,s1,s2_norgb,49.05,3.781627976995912e-05,,1.1408484256599569e-05,128,0.3,0.1064167524736698,0.2242794047272035,0.16849923390047666,0.0,0.0,False,True,True,1.1856035153345883,0.07622192338764466,0.3927505806906557,0.4127008784134749,222841872,latent+prefusion+distill+ce,,82.30,49.68,49.39,49.08,88.58,48.57,85.21,50.45,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
