wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label
1tseak3c,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,8.854742900459841e-05,,2.79829507255308e-05,128,0.3,0.14907475012420002,0.32349218582326983,0.481607722978492,0.0,0.0,False,True,True,1.0,1.0,1.0,0.3825256459427582,222841872,latent+prefusion+distill+ce,,82.63,44.06,49.04,48.50,88.44,50.10,85.43,48.02,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
gmuc8ghx,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,0.00019319966117375864,,0.00021472124746321953,128,0.3,0.29711194240610395,0.25049310461752494,0.4523982231178827,0.0,0.0,False,True,True,1.0,1.0,1.0,0.727454413412939,222841872,latent+prefusion+distill+ce,,84.19,48.84,47.99,47.59,89.34,51.79,86.70,49.58,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
zpxkdb90,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,0.00014201007421910184,,5.200290494852651e-05,128,0.3,0.35262236767285593,0.4666875557244145,0.35122223766572047,0.0,0.0,False,True,True,1.0,1.0,1.0,0.4917289861505501,222841872,latent+prefusion+distill+ce,,83.63,48.73,49.54,49.10,89.26,49.47,86.39,50.14,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
wjwmc4de,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,1.1880506279928775e-05,,2.0653910694045657e-05,128,0.3,0.40466168464682406,0.3709286398607931,0.41114209687200975,0.0,0.0,False,True,True,1.0,1.0,1.0,0.3970908292630826,222841872,latent+prefusion+distill+ce,,82.12,47.38,47.70,48.80,88.18,47.68,84.92,50.95,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
uo1zs9o8,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,9.248335510040109e-05,,5.876153621955686e-05,128,0.3,0.21419989056142708,0.44730692849226605,0.42976279548065544,0.0,0.0,False,True,True,1.0,1.0,1.0,0.5001995128819267,222841872,latent+prefusion+distill+ce,,82.62,48.06,49.30,48.93,88.81,50.43,85.67,50.38,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
m1glg2dq,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,0.00030278278039278927,,0.00011145593326509824,128,0.3,0.12105386902258228,0.11180408454629714,0.3542859516668925,0.0,0.0,False,True,True,1.0,1.0,1.0,0.62656781549609,222841872,latent+prefusion+distill+ce,,83.93,48.30,49.07,49.17,90.09,51.72,86.91,50.07,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
itheih6w,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,1.3636032048720783e-05,,0.0004773217115083944,128,0.3,0.29007401628150453,0.21780295355761103,0.2595258587780254,0.0,0.0,False,True,True,1.0,1.0,1.0,0.31778936536028846,222841872,latent+prefusion+distill+ce,,82.91,48.00,48.92,49.34,89.51,50.42,85.99,50.18,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
w17gqatg,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,6.716076912296058e-05,,7.457739438046699e-05,128,0.3,0.1984546755853648,0.4009054189736524,0.35569421079468844,0.0,0.0,False,True,True,1.0,1.0,1.0,0.2913558067782225,222841872,latent+prefusion+distill+ce,,83.69,47.40,48.32,48.59,89.65,50.47,86.57,49.30,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
py3dm7p0,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,1.820501459268665e-05,,1.068898355649585e-05,128,0.3,0.26038934041360273,0.1094773866359804,0.2749728867963247,0.0,0.0,False,True,True,1.0,1.0,1.0,0.7446044024398034,222841872,latent+prefusion+distill+ce,,83.21,50.56,48.48,48.48,88.05,47.98,85.05,50.18,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
osehxn0t,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,4.489950096731881e-05,,3.342333691703558e-05,128,0.3,0.20278732873185937,0.13337946112974156,0.17904408396396176,0.0,0.0,False,True,True,1.0,1.0,1.0,0.43279698412607415,222841872,latent+prefusion+distill+ce,,84.51,48.60,49.15,49.47,89.73,48.60,86.78,51.35,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
t6q1qbng,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,1.5933121882155218e-05,,0.000638820719247776,128,0.3,0.41489121338795143,0.4386175269070798,0.19731249639093856,0.0,0.0,False,True,True,1.0,1.0,1.0,0.5236723564900234,222841872,latent+prefusion+distill+ce,,83.14,49.24,48.66,49.04,89.03,48.55,85.92,49.59,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
wgj6txr3,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,0.00017300779750356552,,4.363498289052681e-05,128,0.3,0.2694766340384641,0.38888217318213825,0.18557986768962,0.0,0.0,False,True,True,1.0,1.0,1.0,0.2596089342872666,222841872,latent+prefusion+distill+ce,,84.69,50.37,48.57,48.93,90.89,50.41,87.78,50.34,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
ud8e9zqn,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,0.000634665796116691,,5.236559742354283e-05,128,0.3,0.405019268580618,0.2058954495455425,0.1458848986502599,0.0,0.0,False,True,True,1.0,1.0,1.0,0.6910489856829528,222841872,latent+prefusion+distill+ce,,83.89,50.33,48.55,48.16,87.49,52.32,85.67,50.69,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
8r6u1a5f,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,6.908249715080224e-05,,8.073669589616943e-05,128,0.3,0.3629438708013152,0.16933108133195898,0.12012738810218222,0.0,0.0,False,True,True,1.0,1.0,1.0,0.1890946897853999,222841872,latent+prefusion+distill+ce,,84.51,49.33,48.59,48.83,90.42,49.50,87.32,51.20,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
hsmfsm7p,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,8.226880238224176e-05,,1.1573557167445952e-05,128,0.3,0.10562000931990966,0.4364833900183888,0.10569134922342736,0.0,0.0,False,True,True,1.0,1.0,1.0,0.6916501887816041,222841872,latent+prefusion+distill+ce,,84.05,49.53,48.82,48.89,90.44,49.66,87.24,50.51,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
ww98v506,delulu-dfc2020-cobench-s1_to_s2norgb-uncbal2,dfc2020,s1,s2_norgb,49.05,0.0003148748375647605,,4.797755105537239e-05,128,0.3,0.3815058127527289,0.3790965355155731,0.11693695218577624,0.0,0.0,False,True,True,1.0,1.0,1.0,0.23328844582536573,222841872,latent+prefusion+distill+ce,,84.51,51.21,48.73,49.49,90.77,51.92,87.64,51.51,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,
