wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label
on2j7nyi,delulu-dfc2020-cobench-s2norgb_to_s2rgb-nobal,dfc2020,s2_norgb,s2_rgb,63.59,4.856108997659104e-05,,0.0005214596812965881,128,0.3,0.46622262117907254,0.3969163578543132,0.445960555001952,0.0,0.0,False,True,True,1.6335044552468108,0.20908861918612875,0.5886908920345612,0.1642232083715924,223038480,latent+prefusion+distill+ce,,87.68,55.38,65.65,65.16,94.55,64.57,91.11,62.52,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
vn5gle92,delulu-dfc2020-cobench-s2norgb_to_s2rgb-nobal,dfc2020,s2_norgb,s2_rgb,63.59,7.912288487487668e-05,,0.00012085887230657588,128,0.3,0.3622837967707042,0.25197599683793104,0.39669404801102714,0.0,0.0,False,True,True,4.754884325067852,0.6322502642071323,0.9511836564279628,0.34086277947180976,223038480,latent+prefusion+distill+ce,,87.17,54.97,65.31,65.23,94.88,64.65,90.83,61.38,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
b38l9ewo,delulu-dfc2020-cobench-s2norgb_to_s2rgb-nobal,dfc2020,s2_norgb,s2_rgb,63.59,0.0007773067239276875,,1.33586905898663e-05,128,0.3,0.17857437801960427,0.10249844537327416,0.497804996673056,0.0,0.0,False,True,True,0.984904374463641,0.6950978704307769,0.2265016394104512,0.5624700503827795,223038480,latent+prefusion+distill+ce,,87.17,55.02,64.97,64.40,94.32,62.64,90.71,62.57,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
t2r5qpgh,delulu-dfc2020-cobench-s2norgb_to_s2rgb-nobal,dfc2020,s2_norgb,s2_rgb,63.59,0.0003219230990290346,,2.135742869954185e-05,128,0.3,0.2916490747213181,0.37878647064061377,0.2978530124504375,0.0,0.0,False,True,True,1.0701920906430025,0.5942527073407652,0.8923796492303796,0.2064440785174208,223038480,latent+prefusion+distill+ce,,89.55,57.66,65.07,64.74,95.56,64.21,92.55,62.96,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
wgsbx1nx,delulu-dfc2020-cobench-s2norgb_to_s2rgb-nobal,dfc2020,s2_norgb,s2_rgb,63.59,0.0007679839958085124,,2.394063996071474e-05,128,0.3,0.3276974000682982,0.2726796277096972,0.3098511450594512,0.0,0.0,False,True,True,0.8426391772497688,0.9988128229450374,0.16070199431889476,0.29877430563311336,223038480,latent+prefusion+distill+ce,,88.13,55.69,63.93,63.29,93.70,62.70,90.90,61.47,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
df8gk1wf,delulu-dfc2020-cobench-s2norgb_to_s2rgb-nobal,dfc2020,s2_norgb,s2_rgb,63.59,0.0001771607501279933,,3.2443542670319056e-05,128,0.3,0.15001948376006366,0.4061027830884938,0.22490453738889277,0.0,0.0,False,True,True,1.1266395842387975,0.06090455155885666,0.8429100603518571,0.22806584509139335,223038480,latent+prefusion+distill+ce,,89.28,56.87,65.13,64.69,95.98,64.77,92.63,62.74,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
72ml3b3l,delulu-dfc2020-cobench-s2norgb_to_s2rgb-nobal,dfc2020,s2_norgb,s2_rgb,63.59,0.0004026236355033582,,3.436532496597443e-05,128,0.3,0.4812358330905636,0.43370661592217774,0.31891467365965587,0.0,0.0,False,True,True,3.804414843109046,0.5262485109511166,0.7147149709688857,0.2350964363176972,223038480,latent+prefusion+distill+ce,,89.48,56.88,64.93,64.54,95.16,63.98,92.31,62.24,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
77bymssu,delulu-dfc2020-cobench-s2norgb_to_s2rgb-nobal,dfc2020,s2_norgb,s2_rgb,63.59,0.0006787737397252607,,0.00023759151755535537,128,0.3,0.10982324431688646,0.39972099253275817,0.19120876106199544,0.0,0.0,False,True,True,0.8744639051143088,0.12152497721578905,0.02734662326615045,0.6190660119262209,223038480,latent+prefusion+distill+ce,,83.33,50.17,62.08,61.34,92.11,61.49,87.71,59.40,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
6jmsgvh5,delulu-dfc2020-cobench-s2norgb_to_s2rgb-nobal,dfc2020,s2_norgb,s2_rgb,63.59,3.137866004623938e-05,,2.110033300581821e-05,128,0.3,0.24008903840318352,0.36552982041991133,0.2148675579014531,0.0,0.0,False,True,True,3.6389850415720217,0.7580576920924466,0.7693977241007932,0.21052452628305257,223038480,latent+prefusion+distill+ce,,88.30,55.45,64.95,64.79,95.16,64.08,91.73,62.60,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
ro8mmog1,delulu-dfc2020-cobench-s2norgb_to_s2rgb-nobal,dfc2020,s2_norgb,s2_rgb,63.59,1.0521498419709598e-05,,6.344868811766961e-05,128,0.3,0.4757561919736169,0.3562846063688573,0.30918504623729165,0.0,0.0,False,True,True,2.2954968275797154,0.6278273014158057,0.7055618076708042,0.4985235576143705,223038480,latent+prefusion+distill+ce,,86.37,52.05,64.46,64.44,93.49,61.27,89.81,61.26,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
