wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label
xjav5led,delulu-dfc2020-cobench-s2norgb_to_s2rgb-uncbal2,dfc2020,s2_norgb,s2_rgb,63.59,3.249832935945806e-05,,4.206880041820568e-05,128,0.3,0.23053830064363884,0.11542190182054872,0.44388938782342946,0.0,0.0,False,True,True,1.0,1.0,1.0,0.4576767502525335,223038480,latent+prefusion+distill+ce,,88.14,55.08,65.81,65.30,94.26,63.91,91.19,62.11,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
pk3e8d9i,delulu-dfc2020-cobench-s2norgb_to_s2rgb-uncbal2,dfc2020,s2_norgb,s2_rgb,63.59,8.351327970343767e-05,,0.00043089927128086463,128,0.3,0.27769652039242754,0.42722380316701,0.4873080333160726,0.0,0.0,False,True,True,1.0,1.0,1.0,0.570482750413264,223038480,latent+prefusion+distill+ce,,87.33,55.39,65.50,64.98,94.05,64.00,90.58,62.21,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
z4bb1tvp,delulu-dfc2020-cobench-s2norgb_to_s2rgb-uncbal2,dfc2020,s2_norgb,s2_rgb,63.59,3.370827424605227e-05,,1.2876797913319478e-05,128,0.3,0.32386879384746414,0.12746996544180875,0.3739601834838904,0.0,0.0,False,True,True,1.0,1.0,1.0,0.6519753123093622,223038480,latent+prefusion+distill+ce,,88.42,55.56,65.38,65.08,94.06,63.58,91.24,62.79,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
qi1t4gnd,delulu-dfc2020-cobench-s2norgb_to_s2rgb-uncbal2,dfc2020,s2_norgb,s2_rgb,63.59,0.0001815093880668147,,0.0007033726056234984,128,0.3,0.23144384399956563,0.2610223588463406,0.3555022717104538,0.0,0.0,False,True,True,1.0,1.0,1.0,0.3950018398485466,223038480,latent+prefusion+distill+ce,,88.90,56.33,65.38,65.04,95.52,64.13,92.21,62.55,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
ninhbjtv,delulu-dfc2020-cobench-s2norgb_to_s2rgb-uncbal2,dfc2020,s2_norgb,s2_rgb,63.59,5.223075638205299e-05,,5.062179710053237e-05,128,0.3,0.4194179339534313,0.4250910507993917,0.2270960186452968,0.0,0.0,False,True,True,1.0,1.0,1.0,0.1967657140840028,223038480,latent+prefusion+distill+ce,,88.75,56.58,64.82,64.50,95.61,64.19,92.15,62.05,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
rf0ti15s,delulu-dfc2020-cobench-s2norgb_to_s2rgb-uncbal2,dfc2020,s2_norgb,s2_rgb,63.59,2.165391609916184e-05,,0.0003201502032667498,128,0.3,0.2746455489517068,0.2809163648307818,0.35843670422174545,0.0,0.0,False,True,True,1.0,1.0,1.0,0.7803004401830037,223038480,latent+prefusion+distill+ce,,87.33,54.24,65.48,65.23,93.50,61.73,90.27,62.23,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
2x8cuuaq,delulu-dfc2020-cobench-s2norgb_to_s2rgb-uncbal2,dfc2020,s2_norgb,s2_rgb,63.59,0.0003839839271271381,,1.1648212343915949e-05,128,0.3,0.28066092463631687,0.4759753642280814,0.27195229824251865,0.0,0.0,False,True,True,1.0,1.0,1.0,0.5385247233625315,223038480,latent+prefusion+distill+ce,,89.74,57.12,64.65,64.09,95.80,64.11,92.76,62.38,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
6hqfhxtd,delulu-dfc2020-cobench-s2norgb_to_s2rgb-uncbal2,dfc2020,s2_norgb,s2_rgb,63.59,0.0001682838985148219,,1.1302904362762249e-05,128,0.3,0.4204402502941448,0.3777325874544511,0.257454980046493,0.0,0.0,False,True,True,1.0,1.0,1.0,0.255045862944163,223038480,latent+prefusion+distill+ce,,89.58,57.63,64.96,64.39,95.82,64.14,92.70,62.61,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
wffbsvo7,delulu-dfc2020-cobench-s2norgb_to_s2rgb-uncbal2,dfc2020,s2_norgb,s2_rgb,63.59,1.1347307158860766e-05,,0.0001842253520721959,128,0.3,0.4445540526295416,0.11571139378879614,0.23818913699544347,0.0,0.0,False,True,True,1.0,1.0,1.0,0.72828788078055,223038480,latent+prefusion+distill+ce,,87.91,53.87,63.91,63.48,93.30,61.88,90.61,61.01,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
qejtq1em,delulu-dfc2020-cobench-s2norgb_to_s2rgb-uncbal2,dfc2020,s2_norgb,s2_rgb,63.59,1.688287675579804e-05,,0.0004093051476020269,128,0.3,0.20221269123038807,0.2340542567724492,0.2140954666742948,0.0,0.0,False,True,True,1.0,1.0,1.0,0.555739920588906,223038480,latent+prefusion+distill+ce,,87.67,54.70,64.86,64.69,94.38,62.84,90.98,62.15,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,
