wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label
d10kzla2,delulu-dfc2020-cobench-s2rgb_to_s2norgb-nobal,dfc2020,s2_rgb,s2_norgb,59.01,0.00024208135007437409,,2.8200994652806897e-05,128,0.3,0.13192351225057009,0.178133337954031,0.49600571677354055,0.0,0.0,False,True,True,0.4377468945315016,0.633857864182429,0.9051212377698892,0.2365207213400978,223038480,latent+prefusion+distill+ce,,91.95,57.61,60.38,59.74,92.58,59.47,92.21,58.76,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
gmwuiaid,delulu-dfc2020-cobench-s2rgb_to_s2norgb-nobal,dfc2020,s2_rgb,s2_norgb,59.01,9.223146537939292e-05,,2.698092656964552e-05,128,0.3,0.2082710398877021,0.22807574211444348,0.3427022083776462,0.0,0.0,False,True,True,1.771830138115693,0.7245149930142055,0.9593309976825212,0.5932008999687799,223038480,latent+prefusion+distill+ce,,92.70,57.97,61.14,60.24,94.01,59.42,93.18,59.13,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
4wuqyyr6,delulu-dfc2020-cobench-s2rgb_to_s2norgb-nobal,dfc2020,s2_rgb,s2_norgb,59.01,9.722791064971535e-05,,0.0003310502138203252,128,0.3,0.3795756921268989,0.46410394607677774,0.475094617604223,0.0,0.0,False,True,True,4.179066625366083,0.9891005408884992,0.28152096921324754,0.3555659673321325,223038480,latent+prefusion+distill+ce,,92.53,57.90,61.29,60.91,94.08,58.95,93.08,59.19,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
0x8un67p,delulu-dfc2020-cobench-s2rgb_to_s2norgb-nobal,dfc2020,s2_rgb,s2_norgb,59.01,0.0002801217811747439,,1.8684350684523124e-05,128,0.3,0.3984607749669776,0.4156867118990244,0.42864249466499726,0.0,0.0,False,True,True,1.396077408785149,0.991031847566382,0.018025893637254153,0.4387051648881052,223038480,latent+prefusion+distill+ce,,90.74,56.71,60.20,59.41,90.57,59.49,90.26,58.85,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
ag582i80,delulu-dfc2020-cobench-s2rgb_to_s2norgb-nobal,dfc2020,s2_rgb,s2_norgb,59.01,1.0097547710552773e-05,,0.00016254243142711403,128,0.3,0.12368825438016118,0.34802852410123447,0.3718381004967407,0.0,0.0,False,True,True,2.2726044878969165,0.8140724311146654,0.9075921957340428,0.21161769092934984,223038480,latent+prefusion+distill+ce,,86.23,48.73,60.56,60.04,96.09,59.20,91.01,57.48,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
cj5cljtz,delulu-dfc2020-cobench-s2rgb_to_s2norgb-nobal,dfc2020,s2_rgb,s2_norgb,59.01,0.0003345333713131292,,0.00020644494713713556,128,0.3,0.11764593610352524,0.33000356057325464,0.23310553756260632,0.0,0.0,False,True,True,1.3549130083954464,0.06418295551218989,0.002070587519236833,0.31044881492805,223038480,latent+prefusion+distill+ce,,90.13,56.58,60.18,59.25,91.68,58.49,90.40,58.21,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
90dwdy9f,delulu-dfc2020-cobench-s2rgb_to_s2norgb-nobal,dfc2020,s2_rgb,s2_norgb,59.01,4.159405610851032e-05,,0.000155211053786683,128,0.3,0.1347915320290432,0.22940373626405752,0.49569667128109607,0.0,0.0,False,True,True,3.3337353881817804,0.3618588715801403,0.017381820567678785,0.5134641467013775,223038480,latent+prefusion+distill+ce,,89.42,54.73,61.31,60.81,94.23,59.41,90.69,59.57,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
q0seimkm,delulu-dfc2020-cobench-s2rgb_to_s2norgb-nobal,dfc2020,s2_rgb,s2_norgb,59.01,0.0005106815350502032,,0.0007419897598496979,128,0.3,0.13665510808456294,0.16880128843786438,0.3510911750244703,0.0,0.0,False,True,True,3.774793712967647,0.06368018036683487,0.9948937257203518,0.7104016628098991,223038480,latent+prefusion+distill+ce,,92.53,58.51,60.46,60.12,92.65,59.29,92.56,59.19,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
56nu8dde,delulu-dfc2020-cobench-s2rgb_to_s2norgb-nobal,dfc2020,s2_rgb,s2_norgb,59.01,2.982285898706207e-05,,1.4605989865680746e-05,128,0.3,0.2093345714079539,0.45013829146896256,0.4170175726878841,0.0,0.0,False,True,True,1.065027125558886,0.6418301016044239,0.3778472992120726,0.4844928544700624,223038480,latent+prefusion+distill+ce,,91.02,56.46,60.97,59.88,94.79,59.34,92.05,59.02,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
jtt1ulek,delulu-dfc2020-cobench-s2rgb_to_s2norgb-nobal,dfc2020,s2_rgb,s2_norgb,59.01,0.00010215943640907984,,5.9212506741573746e-05,128,0.3,0.3747556959643824,0.1251000921270996,0.33425774830715993,0.0,0.0,False,True,True,2.388005321248872,0.3987499475432038,0.6120185932180793,0.4490974733914517,223038480,latent+prefusion+distill+ce,,93.07,58.75,61.30,60.76,94.16,59.31,93.45,59.64,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
