wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label
9gt41yww,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,0.0004509855066475054,,0.0006554656897950739,128,0.3,0.30811058882455733,0.26337861413860236,0.45330266269767194,0.0,0.0,False,True,True,1.0,1.0,1.0,0.24762728515778415,223038480,latent+prefusion+distill+ce,,91.60,57.75,57.35,57.29,92.20,58.07,91.90,57.99,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
zyqplo83,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,4.099583788344351e-05,,1.2873723705687754e-05,128,0.3,0.35397068976309465,0.4514559829961542,0.4809859283544704,0.0,0.0,False,True,True,1.0,1.0,1.0,0.45936596240606786,223038480,latent+prefusion+distill+ce,,91.69,57.62,60.81,60.26,93.97,59.10,92.11,59.07,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
3wtrfq5y,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,2.4945230754468545e-05,,0.00012231208580735473,128,0.3,0.1780686030043956,0.3247680572570085,0.4500154040137774,0.0,0.0,False,True,True,1.0,1.0,1.0,0.7688600285842295,223038480,latent+prefusion+distill+ce,,89.73,55.60,61.22,60.57,93.83,60.73,91.16,59.00,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
dkotnz13,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,0.0005765016051784294,,1.0239202649305776e-05,128,0.3,0.21172389215419163,0.11191201685755608,0.4572411489312086,0.0,0.0,False,True,True,1.0,1.0,1.0,0.6416756270595825,223038480,latent+prefusion+distill+ce,,91.06,57.11,56.91,56.90,91.71,57.75,91.36,57.68,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
9stegnsq,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,9.471772426411957e-05,,0.00012599843972464544,128,0.3,0.37912902664702264,0.14637378021157563,0.3856520122941582,0.0,0.0,False,True,True,1.0,1.0,1.0,0.6185986355085579,223038480,latent+prefusion+distill+ce,,92.59,58.42,61.01,60.79,93.15,59.44,92.86,59.39,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
0aa98o43,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,2.9086119994115693e-05,,1.6863124179958398e-05,128,0.3,0.24042702494878787,0.31369613577255684,0.4034068492693802,0.0,0.0,False,True,True,1.0,1.0,1.0,0.5653157938162392,223038480,latent+prefusion+distill+ce,,91.57,57.00,60.97,60.75,94.35,58.92,92.37,58.85,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
11cw028x,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,0.00013591970396695013,,0.000201264126982755,128,0.3,0.4826536739708236,0.43887517417541166,0.350572469259666,0.0,0.0,False,True,True,1.0,1.0,1.0,0.2550982047495506,223038480,latent+prefusion+distill+ce,,92.68,58.14,60.52,59.84,93.67,59.54,93.07,59.17,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
r8m41xfy,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,0.0005636380814597812,,0.0002817229512149761,128,0.3,0.27241648701823873,0.2707882137775226,0.26848976813615644,0.0,0.0,False,True,True,1.0,1.0,1.0,0.4276677558284291,223038480,latent+prefusion+distill+ce,,91.62,58.03,57.98,57.86,92.25,58.30,91.93,58.15,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
w297t1nq,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,0.00011005871708411856,,0.0008995181931218062,128,0.3,0.2737996411822783,0.10344325924975568,0.2583026925157138,0.0,0.0,False,True,True,1.0,1.0,1.0,0.7825184241306403,223038480,latent+prefusion+distill+ce,,92.65,58.55,60.68,60.01,92.85,59.71,92.68,59.76,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
hk99tl6c,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,8.822645472940937e-05,,2.3773637260029408e-05,128,0.3,0.35076598688974225,0.42683024166336225,0.2981667636590585,0.0,0.0,False,True,True,1.0,1.0,1.0,0.7536985571311645,223038480,latent+prefusion+distill+ce,,92.59,58.39,60.87,60.17,93.91,58.97,93.13,59.48,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
hva4p36b,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,0.00018813438394038845,,8.821961044683394e-05,128,0.3,0.20755622204154545,0.36572631334585215,0.28199588176070134,0.0,0.0,False,True,True,1.0,1.0,1.0,0.1330130720033341,223038480,latent+prefusion+distill+ce,,92.55,58.33,60.85,60.13,93.79,59.00,92.92,59.16,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
fwy2943n,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,0.00019316180652979113,,0.0008687025536561858,128,0.3,0.2667633194501068,0.4547979968739224,0.216989079703386,0.0,0.0,False,True,True,1.0,1.0,1.0,0.6146325244605169,223038480,latent+prefusion+distill+ce,,92.79,58.29,60.29,59.33,94.17,59.37,93.36,59.25,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
m8u1fcei,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,1.795752874836762e-05,,3.782983095999184e-05,128,0.3,0.2536300834561399,0.188473977006916,0.14021239861945212,0.0,0.0,False,True,True,1.0,1.0,1.0,0.6708068685638123,223038480,latent+prefusion+distill+ce,,91.30,56.64,60.88,60.16,95.06,59.75,93.10,59.03,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
iyh2d8n3,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,0.0002825508111750654,,0.00029650432252777945,128,0.3,0.17447607537100307,0.2500596155365192,0.31376091773709774,0.0,0.0,False,True,True,1.0,1.0,1.0,0.11844382581965308,223038480,latent+prefusion+distill+ce,,92.39,57.59,60.20,59.32,93.43,58.88,92.68,58.72,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
ipwdjw1y,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,0.00015148428137553609,,0.0001613659904509217,128,0.3,0.43069166888070554,0.20877966131853812,0.18333118178583596,0.0,0.0,False,True,True,1.0,1.0,1.0,0.4768658524241586,223038480,latent+prefusion+distill+ce,,92.72,58.28,60.40,59.94,94.12,59.27,93.41,59.04,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
c5n6b9i7,delulu-dfc2020-cobench-s2rgb_to_s2norgb-uncbal2,dfc2020,s2_rgb,s2_norgb,59.01,0.0002110644490128533,,0.0006932842219142469,128,0.3,0.4544765474982646,0.26737686040575137,0.1347411995365625,0.0,0.0,False,True,True,1.0,1.0,1.0,0.4410649955638717,223038480,latent+prefusion+distill+ce,,92.20,58.29,58.05,58.24,92.93,58.82,92.56,58.66,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,
