wandb_run_id,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
l9eizdos,dfc2020,s1,s2,43.29,0.0003787774902066111,1.0,1.4631126907164916e-05,100,0.3134721939705603,0.4255118229525213,0.5,False,False,True,0.4078578589466145,0.759760299480766,0.0030087021964860794,151848208,distill+latent+prefusion+ce,40.54,42.11,48.31,41.66,44.99,42.43,42.46,44.55,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_l9eizdos_0502_0742.pt
dgr5mye0,dfc2020,s1,s2,43.29,0.00032704550324899763,1.0,1.0843166182550322e-05,100,0.14654057148339056,0.31263595337696926,0.5,False,False,True,0.20123855042810343,0.838439647174961,0.37646082866778574,151848208,distill+latent+prefusion+ce,40.45,42.05,48.23,44.12,47.63,44.76,43.87,44.86,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_dgr5mye0_0502_0743.pt
eevugqmv,dfc2020,s1,s2,43.29,4.7800529422989426e-05,1.0,0.005338766168991292,100,0.4707552492405557,0.4754672403485471,0.5,False,False,True,0.31970733004596796,0.7012224539640598,0.83813197473154,151848208,distill+latent+prefusion+ce,41.39,47.58,48.25,43.03,46.56,44.20,43.98,46.39,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_eevugqmv_0502_0744.pt
mb197l06,dfc2020,s1,s2,43.29,0.00025661577713050163,1.0,1.7607049214864744e-05,100,0.4797839613322802,0.2592249973333923,0.5,False,False,True,0.10793807532516209,0.6313146884237951,0.30216455854672664,151848208,distill+latent+prefusion+ce,41.23,44.60,48.56,41.02,46.80,44.15,44.02,45.60,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_mb197l06_0502_0745.pt
9i9z6wht,dfc2020,s1,s2,43.29,4.211867759730962e-05,1.0,0.006278719301337132,100,0.4587270757938102,0.3760626952339283,0.5,False,False,True,0.3806556367189927,0.5068147391745438,0.4129744719192231,151848208,distill+latent+prefusion+ce,41.44,46.17,48.55,42.59,46.89,43.05,44.14,45.92,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_9i9z6wht_0502_0745.pt
4gmj7o6m,dfc2020,s1,s2,43.29,0.0007619867464129714,1.0,0.001859126988917396,100,0.4876102435455153,0.4608068663658877,0.5,False,False,True,0.09265397869172776,0.6768434876271064,0.4326087384316526,151848208,distill+latent+prefusion+ce,40.04,45.94,46.94,40.66,45.03,43.57,42.54,45.21,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_4gmj7o6m_0502_0745.pt
e3nbh4m6,dfc2020,s1,s2,43.29,3.5037776035942894e-05,1.0,0.0007613073049055727,100,0.38116672998193535,0.3513394730326763,0.5,False,False,True,0.4732749170176166,0.01385202950831177,0.5711494822205718,151848208,distill+latent+prefusion+ce,41.19,47.48,48.11,43.48,46.45,42.58,43.79,44.87,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_e3nbh4m6_0502_0747.pt
zuqjkfu2,dfc2020,s1,s2,43.29,1.9045280422601225e-05,1.0,0.006390358610665185,100,0.3810049280545813,0.40441900520329654,0.5,False,False,True,0.0937138256644336,0.5675832116014562,0.9283973458012836,151848208,distill+latent+prefusion+ce,41.14,45.64,48.05,41.06,47.35,43.00,44.24,44.38,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_zuqjkfu2_0502_0747.pt
h8nh213o,dfc2020,s1,s2,43.29,1.0735475849439989e-05,1.0,0.02772181900482992,100,0.15549534402173515,0.4970468202702777,0.5,False,False,True,0.05141345804865305,0.25573301299649354,0.8382208969048905,151848208,distill+latent+prefusion+ce,41.15,47.34,48.39,44.30,45.86,43.37,43.21,46.77,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_h8nh213o_0502_0748.pt
6cqi5mml,dfc2020,s1,s2,43.29,0.0002350131022774523,1.0,0.026286596184519395,100,0.27168749284754623,0.3079836321745706,0.5,False,False,True,0.17559590684483883,0.03196018113793109,0.6963823467818888,151848208,distill+latent+prefusion+ce,41.55,45.80,48.30,39.08,46.52,45.70,44.03,45.43,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_6cqi5mml_0502_0748.pt
76nsydzz,dfc2020,s1,s2,43.29,0.00028188784162949335,1.0,0.0025205044542292035,100,0.4241401574526608,0.3720936652144581,0.5,False,False,True,0.11391938805908648,0.4365019900007642,0.43767058292680905,151848208,distill+latent+prefusion+ce,41.73,42.73,48.28,40.86,47.12,44.79,44.42,45.88,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_76nsydzz_0502_0749.pt
7t0e4jxx,dfc2020,s1,s2,43.29,1.885432967851212e-05,1.0,0.00012921892765569467,100,0.3209131871396833,0.3986824748036259,0.5,False,False,True,0.12839481249003026,0.9451608671733972,0.0445844424619275,151848208,distill+latent+prefusion+ce,41.03,48.97,47.89,43.38,46.29,43.24,43.59,46.00,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_7t0e4jxx_0502_0749.pt
pgtrf2oe,dfc2020,s1,s2,43.29,1.4537141822293802e-05,1.0,0.07266786217552827,100,0.4684243907986415,0.3974580878326171,0.5,False,False,True,0.1565431387985027,0.913846598552884,0.6607527060961197,151848208,distill+latent+prefusion+ce,40.77,47.11,48.30,42.87,46.50,42.76,43.46,46.07,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_pgtrf2oe_0502_0749.pt
3wgzev2n,dfc2020,s1,s2,43.29,3.800196210728472e-05,1.0,8.17001432503143e-05,100,0.29098688182183935,0.2014457866093987,0.5,False,False,True,0.2574767926140045,0.1237987791457008,0.6827779409845411,151848208,distill+latent+prefusion+ce,41.71,40.90,48.19,43.48,46.68,44.40,43.88,43.99,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_3wgzev2n_0502_0749.pt
z4v0jltq,dfc2020,s1,s2,43.29,0.0001028844462984136,1.0,0.07656182051585092,100,0.2207158235653502,0.2900432084721285,0.5,False,False,True,0.2249849736130673,0.05544922844764477,0.6642471625347595,151848208,distill+latent+prefusion+ce,41.49,46.91,47.96,43.98,47.02,45.29,44.24,45.90,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt,checkpoints/sweep_z4v0jltq_0502_0749.pt
