wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
lepzoi8n,delulu-deep-dfc2020_s1_to_s2norgb,dfc2020,s1,s2_norgb,49.05,0.00031960283721974556,,0.0002,128,0.3,0.46912843105578017,0.23432931728555403,0.3106096228770867,0.0,0.0,False,True,True,2.062897528607076,0.6981580105419882,0.9310688708242996,0.48685092956970377,222841872,latent+prefusion+distill+ce,,85.12,51.40,48.63,48.83,89.72,51.99,87.40,50.53,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
ob27s9n4,delulu-deep-dfc2020_s1_to_s2norgb,dfc2020,s1,s2_norgb,49.05,4.8776074534727174e-05,,0.0002,128,0.3,0.12161365197205393,0.4747771227763533,0.2929630199897308,0.0,0.0,False,True,True,4.146100753020044,0.5243826178424492,0.7304518552625964,0.19503588938652577,222841872,latent+prefusion+distill+ce,,81.38,44.68,48.63,48.26,88.77,48.04,84.74,47.72,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
ch505bzw,delulu-deep-dfc2020_s1_to_s2norgb,dfc2020,s1,s2_norgb,49.05,0.0001324992005649068,,0.0002,128,0.3,0.49576511033161086,0.46159805041726554,0.26399690768583084,0.0,0.0,False,True,True,1.042368507269778,0.1587702766381529,0.03683972793844692,0.44293462143345896,222841872,latent+prefusion+distill+ce,,83.36,48.98,46.73,46.87,88.03,49.16,85.64,49.47,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
aqnhxgli,delulu-deep-dfc2020_s1_to_s2norgb,dfc2020,s1,s2_norgb,49.05,0.00019801536489316143,,0.0002,128,0.3,0.22899760128567595,0.3698979365468411,0.28960025567313735,0.0,0.0,False,True,True,1.9455409349971493,0.5960996811313964,0.8510644372710111,0.5886418169424555,222841872,latent+prefusion+distill+ce,,84.30,49.06,48.45,48.60,89.29,50.89,86.70,50.11,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
vxsf42j2,delulu-deep-dfc2020_s1_to_s2norgb,dfc2020,s1,s2_norgb,49.05,0.0006414467037809454,,0.0002,128,0.3,0.4009373354300408,0.3703467745992205,0.33380982981087676,0.0,0.0,False,True,True,1.3914582694494086,0.17516013241164863,0.4959238477811756,0.49478193545968274,222841872,latent+prefusion+distill+ce,,82.55,49.44,46.96,47.15,88.39,51.24,85.45,50.00,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
x70xoofe,delulu-deep-dfc2020_s1_to_s2norgb,dfc2020,s1,s2_norgb,49.05,0.0001513017757290806,,0.0002,128,0.3,0.16622290267752138,0.15811717351256074,0.29061661003176353,0.0,0.0,False,True,True,2.358290006454444,0.44072528437382386,0.7613919846056607,0.11407139568296255,222841872,latent+prefusion+distill+ce,,83.92,49.83,48.49,49.06,90.26,49.30,86.83,50.27,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
6tyveujj,delulu-deep-dfc2020_s1_to_s2norgb,dfc2020,s1,s2_norgb,49.05,1.4228239546344552e-05,,0.0002,128,0.3,0.23262571563636972,0.11324583420963737,0.3486032804092908,0.0,0.0,False,True,True,1.9605709394392457,0.7126519989897492,0.6938251169562738,0.6421242406218245,222841872,latent+prefusion+distill+ce,,82.35,48.45,48.04,49.04,87.62,46.90,84.57,50.29,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
kjiahnmu,delulu-deep-dfc2020_s1_to_s2norgb,dfc2020,s1,s2_norgb,49.05,0.0008740947497639578,,0.0002,128,0.3,0.3359860316120129,0.228233073820903,0.3308854204824541,0.0,0.0,False,True,True,2.376270980524464,0.057289207736545666,0.09499813946586357,0.11018456561315693,222841872,latent+prefusion+distill+ce,,74.63,40.65,47.18,45.74,86.92,48.38,80.42,46.21,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
jtr1jmtv,delulu-deep-dfc2020_s1_to_s2norgb,dfc2020,s1,s2_norgb,49.05,0.00014640321567229665,,0.0002,128,0.3,0.2871707518208768,0.2781609117102882,0.19108237019643387,0.0,0.0,False,True,True,4.2620234276386775,0.8415231470749627,0.5908958213790185,0.7091246350778836,222841872,latent+prefusion+distill+ce,,84.51,48.62,48.51,47.77,88.42,49.46,86.13,48.97,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
riqolik7,delulu-deep-dfc2020_s1_to_s2norgb,dfc2020,s1,s2_norgb,49.05,0.0005472649784764292,,0.0002,128,0.3,0.3964034924408014,0.2571196404180177,0.11567645535535571,0.0,0.0,False,True,True,1.8875861093193536,0.7807935823985299,0.4600147219871913,0.3901204964382864,222841872,latent+prefusion+distill+ce,,84.27,49.98,47.44,48.00,89.09,51.21,86.62,50.19,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
