wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
rh9k5qnu,delulu-deep-dfc2020_s1_to_s2norgb-d3,dfc2020,s1,s2_norgb,49.05,0.0001655126385568303,,0.0002,128,0.3,0.35529673184966915,0.14126984787506602,0.31816759285828994,0.0,0.0,False,True,True,2.060307244851498,0.9230871466776028,0.9720788476032556,0.6537573569159671,237017616,latent+prefusion+distill+ce,,84.31,50.79,48.64,48.93,89.36,51.78,86.72,51.54,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
yukplhyx,delulu-deep-dfc2020_s1_to_s2norgb-d3,dfc2020,s1,s2_norgb,49.05,0.000441457626369974,,0.0002,128,0.3,0.1565366633248739,0.4128384300505864,0.32593172736458076,0.0,0.0,False,True,True,1.6510030078740234,0.3127334908394859,0.013682373272569714,0.1033667090633845,237017616,latent+prefusion+distill+ce,,71.24,37.46,48.14,47.95,86.94,49.02,78.98,45.66,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
2n5bguxv,delulu-deep-dfc2020_s1_to_s2norgb-d3,dfc2020,s1,s2_norgb,49.05,0.00017825379217213755,,0.0002,128,0.3,0.29623111053161333,0.3923987496863301,0.20597073415445,0.0,0.0,False,True,True,0.810905380726743,0.47698623299320486,0.36016327108453083,0.5360325647322565,237017616,latent+prefusion+distill+ce,,85.00,49.29,48.40,48.81,90.13,51.19,87.50,50.31,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
jmnmq001,delulu-deep-dfc2020_s1_to_s2norgb-d3,dfc2020,s1,s2_norgb,49.05,0.0002409762681352905,,0.0002,128,0.3,0.1736225699736288,0.3839326890448884,0.3246293971185001,0.0,0.0,False,True,True,3.2507872685118153,0.6305933363352809,0.8378735622108151,0.24271861779903176,237017616,latent+prefusion+distill+ce,,83.35,47.26,48.39,49.48,90.60,50.84,86.83,50.13,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
959397sj,delulu-deep-dfc2020_s1_to_s2norgb-d3,dfc2020,s1,s2_norgb,49.05,1.4790450572655487e-05,,0.0002,128,0.3,0.3043876241177792,0.2655833403243678,0.21585515413527137,0.0,0.0,False,True,True,3.853564548981423,0.38418042639129735,0.495204359282883,0.2881764969390004,237017616,latent+prefusion+distill+ce,,82.45,47.81,48.76,49.45,88.96,48.64,85.46,49.74,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
knl8ia4e,delulu-deep-dfc2020_s1_to_s2norgb-d3,dfc2020,s1,s2_norgb,49.05,1.9017586028145665e-05,,0.0002,128,0.3,0.16699056408265472,0.4183279049845895,0.2134206907870667,0.0,0.0,False,True,True,2.4565079504669174,0.7201973021960998,0.8817848112463362,0.47959416133713584,237017616,latent+prefusion+distill+ce,,82.09,47.98,48.98,49.63,89.44,49.63,85.23,50.13,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
d74wkf8y,delulu-deep-dfc2020_s1_to_s2norgb-d3,dfc2020,s1,s2_norgb,49.05,1.2885092347371469e-05,,0.0002,128,0.3,0.2597437032703993,0.29907654813474616,0.2066712670337899,0.0,0.0,False,True,True,4.634921897003328,0.6828486934171224,0.5932555316723516,0.4056049275496234,237017616,latent+prefusion+distill+ce,,82.20,46.06,48.82,49.75,88.85,49.51,85.34,49.47,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
2ohr6poy,delulu-deep-dfc2020_s1_to_s2norgb-d3,dfc2020,s1,s2_norgb,49.05,0.0008870232756664871,,0.0002,128,0.3,0.41645140129042735,0.26095293750397675,0.2259686573748812,0.0,0.0,False,True,True,2.771053962128804,0.9889585880524872,0.8330201056173371,0.33815309687704953,237017616,latent+prefusion+distill+ce,,82.67,49.28,47.65,46.62,88.24,50.56,85.42,49.00,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
xwk4qfhw,delulu-deep-dfc2020_s1_to_s2norgb-d3,dfc2020,s1,s2_norgb,49.05,3.282514671318269e-05,,0.0002,128,0.3,0.4984705778425722,0.3907989109733133,0.34855191027215554,0.0,0.0,False,True,True,4.272418385643999,0.6150001325029605,0.2460571368755732,0.7662507270195893,237017616,latent+prefusion+distill+ce,,82.21,48.47,47.69,47.51,86.74,48.81,84.36,49.06,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
0vu76xh9,delulu-deep-dfc2020_s1_to_s2norgb-d3,dfc2020,s1,s2_norgb,49.05,0.0001416688277794636,,0.0002,128,0.3,0.4045634139645322,0.3563961010885681,0.28058811933258815,0.0,0.0,False,True,True,0.3382572498727321,0.4053247343136489,0.17328352594296192,0.7801594154424437,237017616,latent+prefusion+distill+ce,,83.54,47.94,47.62,48.14,86.92,49.14,85.23,49.38,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
