wandb_run_id,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,dyn_teacher,lambda_latent,lambda_prefusion,lambda_distill,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
93lvuigo,benv2,s2,s1,61.47,0.00019216736416366513,5.0,0.0035284186042524993,64,0.32222728270161954,0.2827052556951042,0.29621575733657945,0.5,False,0.37731014375159944,0.3432440460642977,0.5297534853393133,163872550,prefusion+distill+latent+ce,38.05,49.13,66.94,63.47,66.04,63.52,51.37,63.64,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_93lvuigo_0419_1737.pt
wediqi22,benv2,s2,s1,61.47,0.00022901983390320111,10.0,0.000787912126898689,64,0.46698149044744297,0.35552946677376185,0.43293715385914266,0.5,False,0.922310607535666,0.7026379895549429,0.15068186914279724,163872550,prefusion+distill+latent+ce,38.22,49.31,66.08,62.12,64.83,62.20,51.18,63.78,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_wediqi22_0419_1809.pt
ia5xh3ra,benv2,s2,s1,61.47,0.0005386989012863961,10.0,0.0009654519375612926,64,0.28195588077432077,0.1776639885170168,0.6962679457676062,0.5,False,0.3965481748552713,0.12223759288978264,0.8037960102070052,163872550,prefusion+distill+latent+ce,31.94,40.63,66.20,62.03,61.40,62.30,46.67,61.39,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_ia5xh3ra_0419_1810.pt
ttfeqkst,benv2,s2,s1,61.47,9.02197548232448e-05,5.0,0.08852202098050944,64,0.6031161366904709,0.31489472863755286,0.3467235632433907,0.5,True,0.6203298429809416,0.4111751057103681,0.8794904419245951,163872550,prefusion+distill+latent+ce,38.29,50.62,66.21,63.33,63.93,62.80,51.09,64.19,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_ttfeqkst_0419_1821.pt
ctp5kt1a,benv2,s2,s1,61.47,0.0007925951627081862,5.0,0.006932600661348778,64,0.5619850743116401,0.13833974945601907,0.38876449481605135,0.5,True,0.7615470191409444,0.9782928290702436,0.6974451123611513,163872550,prefusion+distill+latent+ce,33.39,42.19,66.99,61.42,62.22,63.13,47.44,62.19,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_ctp5kt1a_0419_1900.pt
3nlnrljd,benv2,s2,s1,61.47,0.00018731901467930015,5.0,0.005881695728735173,64,0.18439487684151737,0.4098383469024677,0.5824585422171877,0.5,False,0.5546241733131335,0.4347002104683626,0.4678164637040966,163872550,prefusion+distill+latent+ce,36.37,49.27,65.94,62.22,64.95,62.35,50.66,63.14,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_3nlnrljd_0419_1902.pt
vm14qxux,benv2,s2,s1,61.47,0.0005705882979915434,10.0,1.4798511052641569e-05,64,0.529870237862908,0.28901845451756014,0.35706195780947914,0.5,True,0.1507329038741421,0.7197652138764726,0.5732376188062648,163872550,prefusion+distill+latent+ce,30.93,39.10,55.33,53.43,51.59,53.42,41.07,52.01,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_vm14qxux_0419_1930.pt
v31795ij,benv2,s2,s1,61.47,0.00016093323379281856,10.0,0.014851305786778662,64,0.1045370391357908,0.28688455498199705,0.48088474348628063,0.5,True,0.9035764274236262,0.9700576129032724,0.3177221415697341,163872550,prefusion+distill+latent+ce,36.25,48.47,65.56,62.73,65.07,62.82,50.66,63.49,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_v31795ij_0419_1933.pt
4po4gt2s,benv2,s2,s1,61.47,0.0005043051457995912,10.0,9.31330888300808e-05,64,0.7661925416910044,0.2869574725205303,0.5511893877808607,0.5,True,0.3243125606261368,0.14085079963198122,0.07533819834768285,163872550,prefusion+distill+latent+ce,33.00,42.00,63.89,60.12,43.09,52.06,38.05,59.43,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_4po4gt2s_0419_1943.pt
c206mc38,benv2,s2,s1,61.47,0.0006028391939515476,10.0,0.00023242728194395267,64,0.8211219970871535,0.2538921734497387,0.5204364500557392,0.5,True,0.6439690589775854,0.6771472808586554,0.6751573608933316,163872550,prefusion+distill+latent+ce,34.73,44.39,64.23,59.33,46.34,54.32,39.30,59.17,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_c206mc38_0419_2006.pt
jvju841e,benv2,s2,s1,61.47,0.00031061788209340354,10.0,0.00020656546532081088,64,0.2919826071852458,0.31876278647178347,0.4118919473660324,0.5,True,0.294832660147759,0.316558341749381,0.749067796683716,163872550,prefusion+distill+latent+ce,35.73,47.34,65.21,60.79,62.08,61.32,48.91,61.57,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_jvju841e_0419_2011.pt
mwnbl6uf,benv2,s2,s1,61.47,0.0006212038379725443,10.0,7.846046746670535e-05,64,0.20659053978549924,0.36680279002648875,0.5959002514596956,0.5,True,0.08194118899399028,0.8721991564157688,0.1584631192828193,163872550,prefusion+distill+latent+ce,27.05,35.33,53.05,50.91,50.87,50.81,38.63,48.06,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_mwnbl6uf_0419_2040.pt
ysokuxjr,benv2,s2,s1,61.47,0.0002034355874981715,10.0,0.003257329364505305,64,0.17109393107849658,0.30771906114321507,0.5733918446566946,0.5,True,0.07342477387158253,0.9944408500706748,0.7695145063691236,163872550,prefusion+distill+latent+ce,36.34,45.09,65.29,61.15,63.78,61.32,49.56,62.08,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_ysokuxjr_0419_2043.pt
yk66zzx0,benv2,s2,s1,61.47,0.0002948047608153902,10.0,3.725322140900886e-05,64,0.21263987689545927,0.4165276886649937,0.644791813809384,0.5,True,0.41628088996883783,0.6054618767272828,0.8427235341581264,163872550,prefusion+distill+latent+ce,33.74,45.82,65.86,60.58,63.92,60.81,48.25,61.44,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_yk66zzx0_0419_2044.pt
1rl6cgw9,benv2,s2,s1,61.47,0.00016819117159962366,5.0,0.00338460423909854,64,0.1811875245321014,0.3690634755232638,0.6687115324207336,0.5,False,0.5570541975884785,0.6749818735944785,0.7822852045170009,163872550,prefusion+distill+latent+ce,37.20,48.17,66.30,62.65,65.28,62.83,51.06,63.19,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_1rl6cgw9_0419_2046.pt
tmcckg02,benv2,s2,s1,61.47,0.0006388792369191502,5.0,1.1503225265637447e-05,64,0.8867745756966948,0.1569242388926167,0.4755517441328427,0.5,True,0.674834353790154,0.5813130920065462,0.3198011927519945,163872550,prefusion+distill+latent+ce,32.16,38.96,63.68,59.62,47.30,54.83,39.73,56.10,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_tmcckg02_0419_2117.pt
5ayt7pws,benv2,s2,s1,61.47,0.0007422117084214886,10.0,0.0155907685400509,64,0.1881588648609693,0.43956953138626587,0.6410615067023386,0.5,False,0.8912249922835036,0.489439904511852,0.2960549111690741,163872550,prefusion+distill+latent+ce,33.55,43.04,64.17,58.98,58.48,59.91,45.96,59.33,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_5ayt7pws_0419_2118.pt
gy6mk36l,benv2,s2,s1,61.47,0.0008336664415091258,5.0,0.025831346668344225,64,0.5603361309002829,0.13325813020626118,0.6673379730196001,0.5,True,0.9135890419467638,0.3739186608232049,0.4788700079806745,163872550,prefusion+distill+latent+ce,33.46,39.58,64.39,59.61,57.99,60.47,45.18,58.76,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_gy6mk36l_0419_2119.pt
q5wl3ms1,benv2,s2,s1,61.47,0.0007781283784400016,10.0,0.0003677321093295226,64,0.366752787623684,0.494922790928542,0.37638345049293376,0.5,True,0.6814103173365093,0.8064821273061615,0.20834262008951163,163872550,prefusion+distill+latent+ce,35.15,44.28,63.98,59.91,57.74,59.98,46.30,59.16,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_q5wl3ms1_0419_2121.pt
r0es91ja,benv2,s2,s1,61.47,0.00031085842980438144,5.0,0.013381406294443348,64,0.2146512128802363,0.4243088402503563,0.6612435215608302,0.5,False,0.6153081039847572,0.7545472159110638,0.6164730246429218,163872550,prefusion+distill+latent+ce,35.62,47.48,66.24,61.41,64.60,62.17,50.11,63.18,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_r0es91ja_0419_2122.pt
29491sej,benv2,s2,s1,61.47,0.0002129853986077296,10.0,2.124116776618187e-05,64,0.3312240493121785,0.18062679704679213,0.6390520105684379,0.5,False,0.8726233020974752,0.7223729735451123,0.41732231423416766,163872550,prefusion+distill+latent+ce,35.86,49.70,66.25,62.60,65.12,62.61,49.82,63.70,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_29491sej_0419_2126.pt
r6rzlmel,benv2,s2,s1,61.47,0.0003636751034571171,5.0,0.0607060987380834,64,0.44017462619049386,0.2632245802663154,0.4371573063208099,0.5,True,0.0007916221567895176,0.145281830520251,0.1470092709832388,163872550,prefusion+distill+latent+ce,29.33,38.11,60.10,56.98,55.26,57.61,42.08,55.89,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_r6rzlmel_0419_2133.pt
487skrpu,benv2,s2,s1,61.47,0.0001502847523791763,10.0,0.00010151155375846146,64,0.7162752174923195,0.1299187626788684,0.5547287028189665,0.5,False,0.7851791239983597,0.5957241734660201,0.6057572324395508,163872550,prefusion+distill+latent+ce,35.32,49.46,66.55,62.96,64.46,63.04,49.31,64.24,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_487skrpu_0419_2136.pt
puem95q5,benv2,s2,s1,61.47,8.646679346142556e-05,10.0,0.0006329464595673792,64,0.6905582259011711,0.2693282594606941,0.6434913425935622,0.5,True,0.799590354947305,0.13795082711665774,0.2722351597026622,163872550,prefusion+distill+latent+ce,37.68,50.24,66.13,63.01,63.16,63.78,49.98,64.57,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_puem95q5_0419_2148.pt
l0xcdv3d,benv2,s2,s1,61.47,0.00032822540483781623,5.0,0.010478363465816437,64,0.49727438843546634,0.46306504305772744,0.378808409301999,0.5,True,0.7463389557444906,0.06761400906321657,0.16033193516251776,163872550,prefusion+distill+latent+ce,38.37,52.55,65.99,62.07,65.10,62.06,51.74,63.70,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_l0xcdv3d_0419_2204.pt
di49f06a,benv2,s2,s1,61.47,0.00019647659056235315,10.0,0.0002806862383474119,64,0.1863440329832639,0.2545630378891456,0.6510332028276709,0.5,False,0.23146350773375457,0.5291982688702982,0.13805361763742408,163872550,prefusion+distill+latent+ce,35.46,48.55,65.36,61.14,63.76,61.33,49.05,63.46,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_di49f06a_0419_2205.pt
ciqdh00e,benv2,s2,s1,61.47,0.0007967242115111474,10.0,0.040827544362293446,64,0.16675828021928352,0.3779892609070449,0.4454213133867283,0.5,True,0.30221206958492974,0.920533788753322,0.23106286079063296,163872550,prefusion+distill+latent+ce,33.99,42.40,61.49,56.81,57.05,57.54,45.52,59.13,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_ciqdh00e_0419_2205.pt
5sze1tct,benv2,s2,s1,61.47,0.0008229642501850207,5.0,0.005514976510560722,64,0.1256586782003451,0.2420485910464916,0.26966492586520063,0.5,True,0.09101695945270705,0.39715457900129736,0.43791931256918726,163872550,prefusion+distill+latent+ce,29.34,32.98,51.03,49.92,46.13,49.43,37.51,49.22,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_5sze1tct_0419_2212.pt
uuscmxk2,benv2,s2,s1,61.47,0.0001773000974579954,5.0,0.0006160729809974844,64,0.3577926084868417,0.30362370979180253,0.6963059060395568,0.5,False,0.5311094767279428,0.5606888483472525,0.21623591776282924,163872550,prefusion+distill+latent+ce,36.83,49.87,66.14,64.10,65.00,63.63,50.75,64.16,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_uuscmxk2_0419_2221.pt
jmwnz96l,benv2,s2,s1,61.47,0.0003193928166200908,10.0,0.03047442885259838,64,0.34566702557357254,0.33520405334002135,0.4156634032925806,0.5,False,0.5725415641657424,0.7768851916456458,0.26494798041338996,163872550,prefusion+distill+latent+ce,35.74,48.57,64.85,60.52,61.62,61.23,48.50,61.04,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_jmwnz96l_0419_2229.pt
cnoxin3z,benv2,s2,s1,61.47,0.0001530106228736943,5.0,0.0008583076977175527,64,0.8934046691553533,0.1123435255576879,0.4863011517032957,0.5,True,0.6152424830609903,0.3385806452395196,0.7337901384053567,163872550,prefusion+distill+latent+ce,35.42,50.06,66.36,62.43,56.74,60.05,44.25,63.31,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_cnoxin3z_0419_2231.pt
8kkc01ar,benv2,s2,s1,61.47,0.00011842669788823044,5.0,2.5097213204874403e-05,64,0.2902983078525379,0.4829040050290173,0.623045378378774,0.5,False,0.5208217062848272,0.6423613446153295,0.7714362798984181,163872550,prefusion+distill+latent+ce,36.53,48.24,66.37,63.59,64.64,63.00,50.58,63.69,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt,checkpoints/sweep_8kkc01ar_0419_2233.pt
