dataset,starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,entr_frequency,trainable_params,active_losses,use_mfla,mfla_warmup_epochs,intermediate_projector_type,metric_name,transfer_metric,peeking_metric,addition_metric,addition_ens_metric,valchecked_transfer,valchecked_peek,valchecked_add,valchecked_add_ens,stage0_checkpoint,shote2e_checkpoint
benv2,s1,s2,0.00015,0.0002,96,0.7,0.36,0.36,0.05,0,148308262,distill+ce+prefusion+mae+latent,False,0,cross,mAP,53.5,48.58,53.91,53.02,53.33,48.61,54.04,53.02,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_cross_transfer.pt
benv2,s1,s2,0.00015,0.0002,96,0.7,0.36,0.36,0.05,0,148308262,distill+ce+prefusion+mae+latent,False,0,cross,mAP,53.52,46.17,53.64,50.4,53.35,47.99,52.71,50.4,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_cross_transfer.pt
benv2,s1,s2,0.0001,0.001,96,0.37,0.22,0.7,0.7,0,148308262,distill+ce+prefusion+mae+latent,False,0,cross,mAP,54.3,52.46,53.28,55.78,53.43,52.46,52.2,55.78,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_cross_ens_addition.pt
benv2,s1,s2,0.0001,0.09,96,0.58,0.35,0.24,0.35,0,148308262,distill+ce+prefusion+mae+latent,False,0,cross,mAP,53.72,50.48,53.31,54.55,53.7,50.48,54.73,54.55,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_cross_addition.pt
benv2,s1,s2,0.0001,0.00038,96,0.68837,0.46021,0.7741,0.4492,0,148308262,distill+ce+prefusion+mae+latent,False,0,cross,mAP,53.97,50.04,54.47,54.24,53.81,50.04,52.74,54.24,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_cross_peeking.pt
benv2,s1,s2,0.0001,0.00038,96,0.68837,0.46021,0.7741,0.4492,0,148308262,distill+ce+prefusion+mae+latent,False,0,cross,mAP,51.92,50.02,53.71,53.93,53.93,50.02,52.09,53.93,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_cross_peeking.pt
benv2,s1,s2,0.00015,0.0002,96,0.7,0.36,0.36,0.05,0,148308262,distill+ce+prefusion+mae+latent,False,0,cross,mAP,53.26,48.04,53.83,52.75,53.95,48.04,54.52,52.75,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_cross_transfer.pt
benv2,s1,s2,0.0001,0.001,96,0.37,0.22,0.7,0.7,0,148308262,distill+ce+prefusion+mae+latent,False,0,cross,mAP,54.79,50.59,54.19,54.36,54.05,50.59,53.36,54.36,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_cross_ens_addition.pt
benv2,s1,s2,0.0001,0.09,96,0.58,0.35,0.24,0.35,0,148308262,distill+ce+prefusion+mae+latent,False,0,cross,mAP,54.97,48.81,53.57,53.52,54.09,48.81,53.32,53.52,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_cross_addition.pt
benv2,s1,s2,0.0001,0.09,96,0.58,0.35,0.24,0.35,0,148308262,distill+ce+prefusion+mae+latent,False,0,cross,mAP,53.17,49.37,53.34,53.6,54.17,49.37,53.94,53.6,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_cross_addition.pt
