dataset,starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,entr_frequency,trainable_params,active_losses,use_mfla,mfla_warmup_epochs,intermediate_projector_type,metric_name,transfer_metric,peeking_metric,addition_metric,addition_ens_metric,valchecked_transfer,valchecked_peek,valchecked_add,valchecked_add_ens,stage0_checkpoint,shote2e_checkpoint
benv2,s1,s2,0.0001,0.001,96,0.37,0.22,0.7,0.7,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,56.35,51.17,52.47,55.61,52.7,51.17,52.47,55.61,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_ens_addition.pt
benv2,s1,s2,0.0001,0.001,96,0.37,0.22,0.7,0.7,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,54.44,50.9,53.48,54.9,53.1,50.9,52.47,54.9,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_ens_addition.pt
benv2,s1,s2,0.0001,0.00038,96,0.68837,0.46021,0.7741,0.4492,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,54.21,52.1,52.44,56.03,53.24,52.1,51.31,56.03,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_peeking.pt
benv2,s1,s2,0.0001,0.001,96,0.37,0.22,0.7,0.7,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,54.05,51.49,53.88,55.2,53.36,51.49,52.28,55.2,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_ens_addition.pt
benv2,s1,s2,0.00015,0.0002,96,0.7,0.36,0.36,0.05,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,53.96,50.77,52.71,54.57,53.43,51.49,53.38,54.57,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_transfer.pt
benv2,s1,s2,0.00015,0.0002,96,0.7,0.36,0.36,0.05,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,54.43,49.36,53.29,53.09,53.44,51.93,53.56,53.09,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_transfer.pt
benv2,s1,s2,0.0001,0.09,96,0.58,0.35,0.24,0.35,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,53.84,49.77,52.86,54.17,53.53,49.77,52.86,54.17,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_addition.pt
benv2,s1,s2,0.0001,0.09,96,0.58,0.35,0.24,0.35,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,54.13,50.46,53.12,54.45,53.65,51.06,52.93,54.45,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_addition.pt
benv2,s1,s2,0.0001,0.00038,96,0.68837,0.46021,0.7741,0.4492,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,54.47,51.35,53.3,55.27,53.85,51.35,52.52,55.27,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_peeking.pt
benv2,s1,s2,0.0001,0.00038,96,0.68837,0.46021,0.7741,0.4492,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,54.14,52.48,52.29,56.78,53.92,52.48,51.94,56.78,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_peeking.pt
benv2,s1,s2,0.00015,0.0002,96,0.7,0.36,0.36,0.05,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,54.63,49.57,52.89,53.28,54.05,50.46,54.08,53.28,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_transfer.pt
benv2,s1,s2,0.0001,0.00038,96,0.68837,0.46021,0.7741,0.4492,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,54.0,52.17,52.59,55.87,54.09,52.17,51.73,55.87,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_peeking.pt
benv2,s1,s2,0.0001,0.09,96,0.58,0.35,0.24,0.35,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,54.28,49.68,53.02,53.71,54.18,50.82,52.9,53.71,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_addition.pt
benv2,s1,s2,0.0001,0.001,96,0.37,0.22,0.7,0.7,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,56.13,51.13,53.07,56.46,54.3,51.13,52.57,56.46,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_ens_addition.pt
benv2,s1,s2,0.0001,0.09,96,0.58,0.35,0.24,0.35,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,53.8,50.79,52.84,54.77,54.51,50.79,53.44,54.77,checkpoints/panopticon_lp_benv2_s1_s0.pt,checkpoints/benv2_panopticon_s1_to_s2_self_addition.pt
benv2,s2,s1,0.0001,0.001,96,0.37,0.22,0.7,0.7,0,148302118,distill+ce+prefusion+mae+latent,False,0,self,mAP,43.87,63.26,58.89,62.16,43.58,63.26,59.08,62.16,checkpoints/panopticon_lp_benv2_s2_s0.pt,checkpoints/benv2_panopticon_s2_to_s1_self_ens_addition.pt
