dataset,starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,entr_frequency,trainable_params,active_losses,use_mfla,mfla_warmup_epochs,metric_name,transfer_metric,peeking_metric,addition_metric,addition_ens_metric,valchecked_transfer,valchecked_peek,valchecked_add,valchecked_add_ens,stage0_checkpoint,shote2e_checkpoint
benv2,s2,s1,0.0001,0.001,80,0.75,0.3,0.3,0.0,0.2,43646374,distill+ce+prefusion+mae+latent,False,0,mAP,43.56,58.28,55.22,56.15,43.56,58.51,55.22,,checkpoints/benv2_s2_s0.pt,checkpoints/benv2_s2_to_s1_dcpml_self.pt
benv2,s2,s1,0.0001,0.001,80,0.75,0.3,0.3,0.0,0.2,43646374,distill+ce+prefusion+mae+entr+latent,False,0,mAP,37.88,55.07,51.28,54.58,41.52,59.68,51.28,,checkpoints/benv2_s2_s0.pt,checkpoints/benv2_s2_to_s1_dcpmel_self.pt
benv2,s1,s2,0.0001,0.001,80,0.75,0.3,0.3,0.0,0.2,43646374,distill+ce+prefusion+mae+latent,False,0,mAP,46.73,43.97,46.53,47.78,47.76,43.97,46.53,48.19,checkpoints/benv2_s1_s0.pt,checkpoints/benv2_s1_to_s2_dcpml_self.pt
benv2,s1,s2,0.0001,0.001,80,0.75,0.3,0.3,0.0,0.2,43646374,distill+ce+prefusion+mae+entr+latent,False,0,mAP,41.57,43.40,45.02,45.28,46.90,44.01,45.02,,checkpoints/benv2_s1_s0.pt,checkpoints/benv2_s1_to_s2_dcpmel_self.pt
benv2,s2,s1,0.00015,0.0002,80,0.7,0.36,0.36,0.05,0.2,43646374,distill+ce+prefusion+mae+latent,False,0,mAP,43.32,59.06,56.27,58.67,42.69,58.12,56.27,58.67,checkpoints/benv2_s2_s0.pt,checkpoints/benv2_s2_to_s1_dcpml_self_transfer.pt
benv2,s2,s1,0.00015,0.0002,80,0.7,0.36,0.36,0.05,0.2,43646374,distill+ce+prefusion+mae+entr+latent,False,0,mAP,41.85,58.98,55.24,59.14,41.85,59.28,54.70,59.14,checkpoints/benv2_s2_s0.pt,checkpoints/benv2_s2_to_s1_dcpmel_self_transfer.pt
benv2,s1,s2,0.00015,0.0002,80,0.7,0.36,0.36,0.05,0.2,43646374,distill+ce+prefusion+mae+latent,False,0,mAP,47.53,43.00,46.99,47.26,47.67,44.31,46.08,47.26,checkpoints/benv2_s1_s0.pt,checkpoints/benv2_s1_to_s2_dcpml_self_transfer.pt
benv2,s1,s2,0.0001,0.00038,80,0.68837,0.46021,0.7741,0.4492,0.2,43646374,distill+ce+prefusion+mae+latent,False,0,mAP,48.07,44.54,45.56,48.54,45.56,45.57,46.41,48.54,checkpoints/benv2_s1_s0.pt,checkpoints/benv2_s1_to_s2_dcpml_self_peeking.pt
benv2,s1,s2,0.0001,0.09,80,0.58,0.35,0.24,0.35,0.2,43646374,distill+ce+prefusion+mae+latent,False,0,mAP,47.88,45.81,46.05,49.03,47.88,45.75,46.05,49.03,checkpoints/benv2_s1_s0.pt,checkpoints/benv2_s1_to_s2_dcpml_self_addition.pt
benv2,s1,s2,0.0001,0.001,80,0.37,0.22,0.7,0.7,0.2,43646374,distill+ce+prefusion+mae+latent,False,0,mAP,48.36,46.12,45.72,50.20,48.64,45.95,45.72,50.20,checkpoints/benv2_s1_s0.pt,checkpoints/benv2_s1_to_s2_dcpml_self_ens_addition.pt
