wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
ec71xzn6,delulu-biomassters-pairs,biomassters,s1,s2,79.28,0.0005217872680432315,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,False,2.207825784745205,0.2334707840238891,0.7029482002970043,0.7390832696189394,223227906,latent+prefusion+distill+ce,transfer,-9.95,-81.05,-74.67,-75.94,-7.97,-78.91,-9.00,-81.32,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0001_20260725_105211.pt,0,benv2_transfer,teacher,none
n5sfd4md,delulu-biomassters-pairs,biomassters,s1,s2,79.28,1.063786533294883e-05,,0.0002,64,0.3,0.19204151411631665,0.2962762513283972,0.13716154562150765,0.0,0.0,False,True,False,4.965477702593613,0.977788371387982,0.9790024746877884,0.42219102378847606,223227906,latent+prefusion+distill+ce,addition,-16.32,-90.78,-83.32,-84.60,-10.12,-85.91,-13.22,-88.26,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0001_20260725_105211.pt,0,benv2_addition,teacher,none
m1aqh83g,delulu-biomassters-pairs,biomassters,s2,s1,80.41,0.0003860399742021293,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,False,3.5466283896993387,0.1084318963041062,0.149070948559887,0.19819195164073455,223227906,latent+prefusion+distill+ce,peeking,-12.53,-82.13,-70.29,-71.41,-11.18,-78.41,-12.03,-80.08,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0001_20260725_104130.pt,0,benv2_peeking,teacher,none
dkzejsle,delulu-biomassters-pairs,biomassters,s2,s1,80.41,0.0005217872680432315,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,False,2.207825784745205,0.2334707840238891,0.7029482002970043,0.7390832696189394,223227906,latent+prefusion+distill+ce,transfer,-10.72,-83.52,-71.81,-71.97,-10.64,-84.81,-11.45,-79.62,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0001_20260725_104130.pt,0,benv2_transfer,teacher,none
pmalkbt5,delulu-biomassters-pairs,biomassters,s1,s2,79.28,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,False,2.1365588372995683,0.9688211858670964,0.7330845202244791,0.5652296073666779,223227906,latent+prefusion+distill+ce,addition,-10.32,-82.97,-78.20,-79.06,-5.94,-79.26,-8.52,-83.32,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0001_20260725_105211.pt,0,dfc2020_addition,teacher,none
d6umfo9p,delulu-biomassters-pairs,biomassters,s2_rgb,s2_norgb,76.90,0.0005217872680432315,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,False,2.207825784745205,0.2334707840238891,0.7029482002970043,0.7390832696189394,222441474,latent+prefusion+distill+ce,transfer,-6.93,-77.72,-73.16,-74.01,-6.94,-77.73,-6.94,-79.29,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0001_20260913_200241.pt,0,benv2_transfer,teacher,none
0xslvy87,delulu-biomassters-pairs,biomassters,s2,s1,80.41,2.772299470566019e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,False,0.513624371369526,0.6964960626741188,0.23428736523557417,0.5441254268098721,223227906,latent+prefusion+distill+ce,peeking,-13.52,-90.02,-82.89,-83.44,-7.60,-84.38,-10.77,-86.74,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0001_20260725_104130.pt,0,dfc2020_peeking,teacher,none
bh929isr,delulu-biomassters-pairs,biomassters,s2,s1,80.41,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,False,2.1365588372995683,0.9688211858670964,0.7330845202244791,0.5652296073666779,223227906,latent+prefusion+distill+ce,addition,-11.16,-86.14,-76.36,-77.22,-6.02,-81.69,-8.71,-82.78,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0001_20260725_104130.pt,0,dfc2020_addition,teacher,none
u0d91ptp,delulu-biomassters-pairs,biomassters,s2_norgb,s2_rgb,78.90,1.063786533294883e-05,,0.0002,64,0.3,0.19204151411631665,0.2962762513283972,0.13716154562150765,0.0,0.0,False,True,False,4.965477702593613,0.977788371387982,0.9790024746877884,0.42219102378847606,222441474,latent+prefusion+distill+ce,addition,-13.06,-87.56,-75.33,-75.74,-10.26,-85.26,-11.66,-87.30,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0001_20260913_200241.pt,0,benv2_addition,teacher,none
p983kwui,delulu-biomassters-pairs,biomassters,s1,s2,79.28,0.0003860399742021293,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,False,3.5466283896993387,0.1084318963041062,0.149070948559887,0.19819195164073455,223227906,latent+prefusion+distill+ce,peeking,-10.38,-79.96,-71.92,-73.20,-8.62,-81.38,-9.75,-82.75,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0001_20260725_105211.pt,0,benv2_peeking,teacher,none
1jh3k6mc,delulu-biomassters-pairs,biomassters,s1,s2,79.28,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,223227906,latent+prefusion+distill+ce,transfer,-9.43,-80.22,-75.12,-75.90,-8.57,-79.25,-9.06,-81.49,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0001_20260725_105211.pt,0,dfc2020_transfer,teacher,none
wc1kz2xr,delulu-biomassters-pairs,biomassters,s2,s1,80.41,1.063786533294883e-05,,0.0002,64,0.3,0.19204151411631665,0.2962762513283972,0.13716154562150765,0.0,0.0,False,True,False,4.965477702593613,0.977788371387982,0.9790024746877884,0.42219102378847606,223227906,latent+prefusion+distill+ce,addition,-16.30,-92.94,-86.13,-86.88,-11.51,-89.12,-14.24,-90.52,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0001_20260725_104130.pt,0,benv2_addition,teacher,none
