wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
6fnzgdlz,delulu-dfc2020-cobench,dfc2020,s1,s2_norgb,49.05,0.00013911,,0.000121153,64,0.3,0.1715,0.3549,0.0,0.0,0.0,False,True,True,0.3613664751387723,0.6430194633931678,1.0,0.4734,215754000,distill,,83.44,50.03,47.04,46.48,89.50,49.54,86.41,50.10,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
fy3om80t,delulu-dfc2020-cobench,dfc2020,s1,s2_norgb,49.05,0.000437157,,5.84449e-05,64,0.3,0.5133,0.4748,0.0,0.0,0.0,False,True,True,0.3613664751387723,0.6430194633931678,1.0,0.6395,215754000,distill,,83.43,50.27,46.18,45.89,88.07,50.42,85.73,50.10,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
84p2uoks,delulu-dfc2020-cobench,dfc2020,s1,s2_norgb,49.05,0.000429122,,3.47342e-06,64,0.3,0.538,0.4765,0.0,0.0,0.0,False,True,True,0.3613664751387723,0.6430194633931678,1.0,0.4598,215754000,distill,,83.59,51.23,45.83,45.36,88.03,50.67,85.78,49.77,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
pfxixhcw,delulu-dfc2020-cobench,dfc2020,s1,s2_norgb,49.05,0.000371801,,0.000920928,64,0.3,0.2987,0.3242,0.0,0.0,0.0,False,True,True,0.3613664751387723,0.6430194633931678,1.0,0.1502,215754000,distill,,82.90,49.30,46.66,46.03,89.83,50.68,86.18,50.03,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
z6zn2uop,delulu-dfc2020-cobench,dfc2020,s1,s2_norgb,49.05,0.000108297,,0.000288183,64,0.3,0.5344,0.2436,0.0,0.0,0.0,False,True,True,0.3613664751387723,0.6430194633931678,1.0,0.3204,215754000,distill,,83.95,50.53,46.69,46.40,89.51,49.55,86.59,50.79,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
d6qwppdq,delulu-dfc2020-cobench,dfc2020,s1,s2_norgb,49.05,0.000113143,,8.56771e-06,64,0.3,0.3272,0.1048,0.0,0.0,0.0,False,True,True,0.3613664751387723,0.6430194633931678,1.0,0.3312,215754000,distill,,83.79,50.15,47.00,46.53,90.05,50.56,86.87,49.83,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
0a9w0ctg,delulu-dfc2020-cobench,dfc2020,s1,s2_norgb,49.05,5.4386e-05,,8.62864e-06,64,0.3,0.6651,0.4852,0.0,0.0,0.0,False,True,True,0.3613664751387723,0.6430194633931678,1.0,0.5808,215754000,distill,,84.00,50.45,46.80,46.55,87.65,49.21,85.52,50.30,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
iszd7i6n,delulu-dfc2020-cobench,dfc2020,s1,s2_norgb,49.05,0.000101885,,1.34527e-06,64,0.3,0.6796,0.2848,0.0,0.0,0.0,False,True,True,0.3613664751387723,0.6430194633931678,1.0,0.1549,215754000,distill,,84.15,51.03,46.74,46.55,89.81,49.50,86.89,50.45,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
6vfzsdop,delulu-dfc2020-cobench,dfc2020,s1,s2_norgb,49.05,9.04964e-05,,0.000725202,64,0.3,0.2536,0.2755,0.0,0.0,0.0,False,True,True,0.3613664751387723,0.6430194633931678,1.0,0.6997,215754000,distill,,83.67,48.98,47.16,46.70,87.12,49.35,84.65,49.21,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
uhj7tnjo,delulu-dfc2020-cobench,dfc2020,s1,s2_norgb,49.05,9.56571e-05,,1.19783e-06,64,0.3,0.2933,0.4986,0.0,0.0,0.0,False,True,True,0.3613664751387723,0.6430194633931678,1.0,0.3597,215754000,distill,,83.55,49.13,47.28,46.89,89.87,48.63,86.52,50.45,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
