wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
64h976kj,delulu-dfc2020-pairs,dfc2020,s1,s2,47.96,1.063786533294883e-05,,0.0002,64,0.3,0.19204151411631665,0.2962762513283972,0.13716154562150765,0.0,0.0,False,True,False,4.965477702593613,0.977788371387982,0.9790024746877884,0.42219102378847606,223431696,latent+prefusion+distill+ce,addition,82.68,45.48,48.78,49.82,91.56,49.17,87.08,49.02,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,0,benv2_addition,teacher,none
qqvak2c9,delulu-dfc2020-pairs,dfc2020,s2,s1,66.96,0.0005217872680432315,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,False,2.207825784745205,0.2334707840238891,0.7029482002970043,0.7390832696189394,223431696,latent+prefusion+distill+ce,transfer,77.06,42.88,58.38,57.71,87.66,57.60,82.36,54.98,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,benv2_transfer,teacher,none
6u2r3g63,delulu-dfc2020-pairs,dfc2020,s1,s2,47.96,0.0003860399742021293,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,False,3.5466283896993387,0.1084318963041062,0.149070948559887,0.19819195164073455,223431696,latent+prefusion+distill+ce,peeking,84.45,49.76,49.64,50.01,90.57,50.94,87.47,50.98,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,0,benv2_peeking,teacher,none
vz06q5ej,delulu-dfc2020-pairs,dfc2020,s1,s2,47.96,0.0005217872680432315,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,False,2.207825784745205,0.2334707840238891,0.7029482002970043,0.7390832696189394,223431696,latent+prefusion+distill+ce,transfer,84.20,49.60,45.58,45.52,86.44,51.10,85.32,48.37,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,0,benv2_transfer,teacher,none
a7gqnd32,delulu-dfc2020-pairs,dfc2020,s2,s1,66.96,0.0003860399742021293,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,False,3.5466283896993387,0.1084318963041062,0.149070948559887,0.19819195164073455,223431696,latent+prefusion+distill+ce,peeking,75.30,41.17,60.36,60.38,90.37,61.37,82.82,55.80,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,benv2_peeking,teacher,none
0rqqjtj5,delulu-dfc2020-pairs,dfc2020,s2_rgb,s2_norgb,59.80,0.0005217872680432315,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,False,2.207825784745205,0.2334707840238891,0.7029482002970043,0.7390832696189394,223038480,latent+prefusion+distill+ce,transfer,90.97,58.95,55.03,55.38,91.00,58.81,90.98,57.68,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,benv2_transfer,teacher,none
yf4i66mo,delulu-dfc2020-pairs,dfc2020,s2_norgb,s2_rgb,66.42,0.0005217872680432315,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,False,2.207825784745205,0.2334707840238891,0.7029482002970043,0.7390832696189394,223038480,latent+prefusion+distill+ce,transfer,86.96,55.96,60.17,59.69,89.81,60.18,88.38,59.48,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260916_020831.pt,0,benv2_transfer,teacher,none
647ycpj3,delulu-dfc2020-pairs,dfc2020,s2_rgb,s2_norgb,59.80,1.063786533294883e-05,,0.0002,64,0.3,0.19204151411631665,0.2962762513283972,0.13716154562150765,0.0,0.0,False,True,False,4.965477702593613,0.977788371387982,0.9790024746877884,0.42219102378847606,223038480,latent+prefusion+distill+ce,addition,88.37,53.56,60.88,60.12,95.52,60.10,91.95,58.74,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,benv2_addition,teacher,none
v4wmf6iq,delulu-dfc2020-pairs,dfc2020,s2,s1,66.96,1.063786533294883e-05,,0.0002,64,0.3,0.19204151411631665,0.2962762513283972,0.13716154562150765,0.0,0.0,False,True,False,4.965477702593613,0.977788371387982,0.9790024746877884,0.42219102378847606,223431696,latent+prefusion+distill+ce,addition,69.07,35.37,63.12,62.90,89.76,60.36,78.96,59.28,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,benv2_addition,teacher,none
9ivbllws,delulu-dfc2020-pairs,dfc2020,s2_rgb,s2_norgb,59.80,0.0003860399742021293,,0.0002,64,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,False,3.5466283896993387,0.1084318963041062,0.149070948559887,0.19819195164073455,223038480,latent+prefusion+distill+ce,peeking,92.40,59.34,61.34,60.74,94.28,60.20,93.34,60.14,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,benv2_peeking,teacher,none
