wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
m7i66jps,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,0.00040501517730354863,,0.0002,128,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,208666128,latent+prefusion+distill+ce,transfer,84.33,50.26,46.45,46.87,89.32,51.52,86.82,49.63,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,1,transfer_d1,teacher,none
znu8kzse,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,2.772299470566019e-05,,0.0002,128,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,False,0.513624371369526,0.6964960626741188,0.23428736523557417,0.5441254268098721,208666128,latent+prefusion+distill+ce,peeking,83.17,46.68,48.36,48.45,89.06,48.44,85.82,49.64,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,1,peeking_d1,teacher,none
kut2ddr4,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,2.772299470566019e-05,,0.0002,128,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,False,0.513624371369526,0.6964960626741188,0.23428736523557417,0.5441254268098721,208666128,latent+prefusion+distill+ce,peeking,83.30,48.48,48.84,49.05,88.80,50.30,85.80,50.24,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,peeking_d1,teacher,none
k9mij0qy,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,0.00040501517730354863,,0.0002,128,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,208666128,latent+prefusion+distill+ce,transfer,84.76,50.89,46.59,47.17,89.51,52.63,87.10,50.54,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,transfer_d1,teacher,none
v8jpfp8i,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,0.00040501517730354863,,0.0002,128,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,237017616,latent+prefusion+distill+ce,transfer,85.00,50.15,45.74,46.34,90.09,51.76,87.50,49.36,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,1,transfer_d3,teacher,none
vlswtbre,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,0.00040501517730354863,,0.0002,128,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,237017616,latent+prefusion+distill+ce,transfer,84.96,50.38,46.74,46.30,89.77,51.43,87.25,49.88,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,transfer_d3,teacher,none
7b67k998,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,0.00040501517730354863,,0.0002,128,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,222841872,latent+prefusion+distill+ce,transfer,84.79,50.55,46.01,46.77,89.89,51.01,87.25,49.75,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,transfer_d2,teacher,none
1f8ewm0h,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,2.772299470566019e-05,,0.0002,128,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,False,0.513624371369526,0.6964960626741188,0.23428736523557417,0.5441254268098721,222841872,latent+prefusion+distill+ce,peeking,84.15,49.65,49.00,47.97,89.56,49.40,86.64,50.28,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,peeking_d2,teacher,none
858jg49n,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,0.00040501517730354863,,0.0002,128,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,251193360,latent+prefusion+distill+ce,transfer,85.02,50.53,46.70,46.76,89.66,51.91,87.30,50.12,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,transfer_d4,teacher,none
nm4m7s3q,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,0.00040501517730354863,,0.0002,128,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,222841872,latent+prefusion+distill+ce,transfer,85.16,50.06,46.92,47.33,89.72,51.29,87.37,49.85,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,1,transfer_d2,teacher,none
edko1ov4,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,2.772299470566019e-05,,0.0002,128,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,False,0.513624371369526,0.6964960626741188,0.23428736523557417,0.5441254268098721,222841872,latent+prefusion+distill+ce,peeking,84.42,50.51,48.80,48.40,89.38,50.04,86.86,50.60,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,1,peeking_d2,teacher,none
33y7t72s,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,9.773872199975506e-05,,0.0002,128,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,False,2.1365588372995683,0.9688211858670964,0.7330845202244791,0.5652296073666779,208666128,latent+prefusion+distill+ce,addition,83.99,49.38,48.20,48.63,90.32,51.11,87.05,50.68,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,addition_d1,teacher,none
ivg77ofz,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,0.00040501517730354863,,0.0002,128,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,251193360,latent+prefusion+distill+ce,transfer,85.14,50.29,45.34,45.75,89.57,50.49,87.26,48.84,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,1,transfer_d4,teacher,none
7cgzrv85,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,2.772299470566019e-05,,0.0002,128,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,False,0.513624371369526,0.6964960626741188,0.23428736523557417,0.5441254268098721,237017616,latent+prefusion+distill+ce,peeking,84.09,50.59,48.72,48.51,89.37,50.49,86.51,50.52,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,peeking_d3,teacher,none
5bshg08c,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,2.772299470566019e-05,,0.0002,128,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,False,0.513624371369526,0.6964960626741188,0.23428736523557417,0.5441254268098721,237017616,latent+prefusion+distill+ce,peeking,84.37,49.73,49.14,48.97,89.94,50.01,86.99,51.04,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,1,peeking_d3,teacher,none
hbvctdf3,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,2.772299470566019e-05,,0.0002,128,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,False,0.513624371369526,0.6964960626741188,0.23428736523557417,0.5441254268098721,251193360,latent+prefusion+distill+ce,peeking,84.51,49.51,49.32,48.41,89.94,51.04,87.00,51.22,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,1,peeking_d4,teacher,none
yvm9i1ae,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,2.772299470566019e-05,,0.0002,128,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,False,0.513624371369526,0.6964960626741188,0.23428736523557417,0.5441254268098721,251193360,latent+prefusion+distill+ce,peeking,84.84,50.35,48.47,48.35,89.55,50.98,87.14,50.56,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,peeking_d4,teacher,none
rezkemwu,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,9.773872199975506e-05,,0.0002,128,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,False,2.1365588372995683,0.9688211858670964,0.7330845202244791,0.5652296073666779,208666128,latent+prefusion+distill+ce,addition,83.62,49.92,48.56,48.42,90.08,51.28,86.81,50.20,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,1,addition_d1,teacher,none
rkjmbmsp,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,9.773872199975506e-05,,0.0002,128,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,False,2.1365588372995683,0.9688211858670964,0.7330845202244791,0.5652296073666779,237017616,latent+prefusion+distill+ce,addition,84.63,50.71,47.71,47.21,90.08,52.15,87.27,50.40,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,1,addition_d3,teacher,none
c1q2ps98,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,9.773872199975506e-05,,0.0002,128,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,False,2.1365588372995683,0.9688211858670964,0.7330845202244791,0.5652296073666779,222841872,latent+prefusion+distill+ce,addition,84.46,50.50,48.83,48.32,90.25,51.91,87.23,50.49,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,1,addition_d2,teacher,none
totaeh4t,delulu-dfc2020-pairs,dfc2020,s1,s2_norgb,49.05,9.773872199975506e-05,,0.0002,128,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,False,2.1365588372995683,0.9688211858670964,0.7330845202244791,0.5652296073666779,237017616,latent+prefusion+distill+ce,addition,84.24,50.70,47.18,47.46,89.67,52.33,86.89,50.05,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,addition_d3,teacher,none
