wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
wxhuyg29,delulu-dfc2020-pairs,dfc2020,s2,s1,63.63,0.0001569391767106977,,3.351617951860976e-05,64,0.3,0.33189226742900324,0.17068517311514753,0.23002477810989655,0.0,0.0,False,True,False,0.3613664751387723,0.6430194633931678,0.15374988356364516,0.40414477259411485,223431696,latent+prefusion+distill+ce,,79.48,45.89,62.55,62.37,92.63,61.29,85.94,59.24,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0001_20260913_201635.pt,1,,teacher,none
ucm2t5p0,delulu-dfc2020-pairs,dfc2020,s2,s1,63.63,0.0001569391767106977,,3.351617951860976e-05,64,0.3,0.33189226742900324,0.17068517311514753,0.23002477810989655,0.0,0.0,False,True,False,0.3613664751387723,0.6430194633931678,0.15374988356364516,0.40414477259411485,223431696,latent+prefusion+distill+ce,,79.37,45.21,62.58,61.93,92.38,61.63,85.72,59.04,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0001_20260913_201635.pt,0,,teacher,none
yzin0ban,delulu-dfc2020-pairs,dfc2020,s2,s1,63.63,0.0001569391767106977,,3.351617951860976e-05,64,0.3,0.33189226742900324,0.17068517311514753,0.23002477810989655,0.0,0.0,False,True,False,0.3613664751387723,0.6430194633931678,0.15374988356364516,0.40414477259411485,223431696,latent+prefusion+distill+ce,,78.85,44.94,62.57,62.05,92.08,61.36,85.42,58.82,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0001_20260913_201635.pt,2,,teacher,none
ws77nz92,delulu-dfc2020-pairs,dfc2020,s2_norgb,s2_rgb,63.59,0.0001569391767106977,,3.351617951860976e-05,64,0.3,0.33189226742900324,0.17068517311514753,0.23002477810989655,0.0,0.0,False,True,False,0.3613664751387723,0.6430194633931678,0.15374988356364516,0.40414477259411485,223038480,latent+prefusion+distill+ce,,88.37,55.98,63.46,63.09,94.18,62.69,91.24,61.21,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,1,,teacher,none
bfo7ii2h,delulu-dfc2020-pairs,dfc2020,s2_norgb,s2_rgb,63.59,0.0001569391767106977,,3.351617951860976e-05,64,0.3,0.33189226742900324,0.17068517311514753,0.23002477810989655,0.0,0.0,False,True,False,0.3613664751387723,0.6430194633931678,0.15374988356364516,0.40414477259411485,223038480,latent+prefusion+distill+ce,,88.48,56.59,63.47,63.06,94.07,62.91,91.28,61.56,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,2,,teacher,none
29pgf816,delulu-dfc2020-pairs,dfc2020,s2_norgb,s2_rgb,63.59,0.0001569391767106977,,3.351617951860976e-05,64,0.3,0.33189226742900324,0.17068517311514753,0.23002477810989655,0.0,0.0,False,True,False,0.3613664751387723,0.6430194633931678,0.15374988356364516,0.40414477259411485,223038480,latent+prefusion+distill+ce,,88.12,55.50,63.74,63.21,93.99,62.65,91.05,61.42,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,0,,teacher,none
2yz5468u,delulu-dfc2020-pairs,dfc2020,s2_rgb,s2_norgb,59.01,0.0001569391767106977,,3.351617951860976e-05,64,0.3,0.33189226742900324,0.17068517311514753,0.23002477810989655,0.0,0.0,False,True,False,0.3613664751387723,0.6430194633931678,0.15374988356364516,0.40414477259411485,223038480,latent+prefusion+distill+ce,,92.20,58.13,60.83,60.07,93.07,59.77,92.60,59.89,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,0,,teacher,none
519b9y86,delulu-dfc2020-pairs,dfc2020,s2,s1,63.63,0.0001569391767106977,,3.351617951860976e-05,64,0.3,0.33189226742900324,0.17068517311514753,0.23002477810989655,0.0,0.0,False,True,False,0.3613664751387723,0.6430194633931678,0.15374988356364516,0.40414477259411485,223431696,latent+prefusion+distill+ce,,78.76,45.36,62.46,61.70,92.06,60.07,85.36,58.63,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0001_20260913_201635.pt,0,,teacher,none
gtrabcnz,delulu-dfc2020-pairs,dfc2020,s1,s2,49.05,0.0001569391767106977,,3.351617951860976e-05,64,0.3,0.33189226742900324,0.17068517311514753,0.23002477810989655,0.0,0.0,False,True,False,0.3613664751387723,0.6430194633931678,0.15374988356364516,0.40414477259411485,223431696,latent+prefusion+distill+ce,,84.03,48.20,47.35,47.07,89.14,51.55,86.46,48.25,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
rvvq15f0,delulu-dfc2020-pairs,dfc2020,s1,s2,49.05,0.0001569391767106977,,3.351617951860976e-05,64,0.3,0.33189226742900324,0.17068517311514753,0.23002477810989655,0.0,0.0,False,True,False,0.3613664751387723,0.6430194633931678,0.15374988356364516,0.40414477259411485,223431696,latent+prefusion+distill+ce,,84.35,49.69,48.43,48.33,88.72,51.94,86.53,49.88,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,1,,teacher,none
