variant,start_mod,new_mod,teacher_val2_miou,head_real,head_hal,equal_vote,duo_teacher,T_strong_teacher,T_weak_teacher,duo_labels,T_strong_labels,T_weak_labels
full,s1,s2_norgb,49.57,49.53,48.30,49.41,49.53,1.0087,0.6693,49.60,1.1302,0.1939
distill_only,s1,s2_norgb,49.57,51.33,49.74,50.92,51.26,1.2078,0.3425,51.30,1.0817,0.1901
full,s1,s2_rgb,49.57,44.53,40.86,43.23,44.00,1.1661,0.3850,44.32,1.1544,0.1304
distill_only,s1,s2_rgb,49.57,48.08,42.27,45.46,47.54,1.2687,0.1938,48.18,1.3296,-0.0407
full,s2_norgb,s1,63.58,44.59,43.01,44.52,44.69,0.9852,0.2545,44.68,0.8794,0.2117
distill_only,s2_norgb,s1,63.58,46.43,43.29,45.31,45.98,0.9053,0.3364,46.12,0.8454,0.2281
full,s2_norgb,s2_rgb,63.58,55.13,55.51,55.86,55.89,0.5087,0.7680,55.88,0.4301,0.5213
distill_only,s2_norgb,s2_rgb,63.58,55.91,51.65,54.29,55.70,1.3497,0.1373,55.84,1.0204,0.0310
full,s2_rgb,s1,59.09,45.74,45.23,45.52,45.56,0.6884,0.4959,45.68,0.7823,0.1369
distill_only,s2_rgb,s1,59.09,47.89,47.97,47.96,47.94,0.6540,0.4106,47.93,0.5934,0.2410
full,s2_rgb,s2_norgb,59.09,58.16,58.09,58.16,58.16,0.8988,1.1924,58.16,0.5576,0.4728
distill_only,s2_rgb,s2_norgb,59.09,58.43,58.44,58.45,58.45,0.9078,0.9180,58.41,1.2214,-0.2475
