variant,start_mod,new_mod,path,head_start,head_new,hallucinated,ensemble,oracle_pick,checkpoint
full,s1,s2_norgb,transfer,48.30,49.53,s1,49.41,54.15,checkpoints/delulunet_dfc2020_s1_to_s2_norgb_upernet_ll0.36_seed0.pt
full,s1,s2_norgb,peeking,47.81,46.75,s2_norgb,47.72,51.70,checkpoints/delulunet_dfc2020_s1_to_s2_norgb_upernet_ll0.36_seed0.pt
distill_only,s1,s2_norgb,transfer,49.74,51.33,s1,50.92,54.47,checkpoints/delulunet_dfc2020_s1_to_s2_norgb_upernet_distillonly_initteacher_seed0.pt
distill_only,s1,s2_norgb,peeking,46.75,46.01,s2_norgb,46.68,50.31,checkpoints/delulunet_dfc2020_s1_to_s2_norgb_upernet_distillonly_initteacher_seed0.pt
full,s1,s2_rgb,transfer,40.86,44.53,s1,43.23,48.10,checkpoints/delulunet_dfc2020_s1_to_s2_rgb_upernet_ll0.36_seed0.pt
full,s1,s2_rgb,peeking,48.14,46.75,s2_rgb,47.88,52.27,checkpoints/delulunet_dfc2020_s1_to_s2_rgb_upernet_ll0.36_seed0.pt
distill_only,s1,s2_rgb,transfer,42.27,48.08,s1,45.46,51.20,checkpoints/delulunet_dfc2020_s1_to_s2_rgb_upernet_distillonly_initteacher_seed0.pt
distill_only,s1,s2_rgb,peeking,45.29,45.21,s2_rgb,45.65,49.41,checkpoints/delulunet_dfc2020_s1_to_s2_rgb_upernet_distillonly_initteacher_seed0.pt
full,s2_norgb,s1,transfer,43.01,44.59,s2_norgb,44.52,50.25,checkpoints/delulunet_dfc2020_s2_norgb_to_s1_upernet_ll0.36_seed0.pt
full,s2_norgb,s1,peeking,63.56,61.04,s1,62.92,67.42,checkpoints/delulunet_dfc2020_s2_norgb_to_s1_upernet_ll0.36_seed0.pt
distill_only,s2_norgb,s1,transfer,43.29,46.43,s2_norgb,45.31,50.44,checkpoints/delulunet_dfc2020_s2_norgb_to_s1_upernet_distillonly_initteacher_seed0.pt
distill_only,s2_norgb,s1,peeking,61.90,60.34,s1,61.51,65.40,checkpoints/delulunet_dfc2020_s2_norgb_to_s1_upernet_distillonly_initteacher_seed0.pt
full,s2_norgb,s2_rgb,transfer,55.51,55.13,s2_norgb,55.86,60.05,checkpoints/delulunet_dfc2020_s2_norgb_to_s2_rgb_upernet_ll0.36_seed0.pt
full,s2_norgb,s2_rgb,peeking,63.85,62.14,s2_rgb,63.48,67.12,checkpoints/delulunet_dfc2020_s2_norgb_to_s2_rgb_upernet_ll0.36_seed0.pt
distill_only,s2_norgb,s2_rgb,transfer,51.65,55.91,s2_norgb,54.29,59.61,checkpoints/delulunet_dfc2020_s2_norgb_to_s2_rgb_upernet_distillonly_initteacher_seed0.pt
distill_only,s2_norgb,s2_rgb,peeking,62.23,61.36,s2_rgb,62.06,65.49,checkpoints/delulunet_dfc2020_s2_norgb_to_s2_rgb_upernet_distillonly_initteacher_seed0.pt
full,s2_rgb,s1,transfer,45.23,45.74,s2_rgb,45.52,46.84,checkpoints/delulunet_dfc2020_s2_rgb_to_s1_upernet_ll0.36_seed0.pt
full,s2_rgb,s1,peeking,59.61,59.62,s1,59.65,60.97,checkpoints/delulunet_dfc2020_s2_rgb_to_s1_upernet_ll0.36_seed0.pt
distill_only,s2_rgb,s1,transfer,47.97,47.89,s2_rgb,47.96,48.99,checkpoints/delulunet_dfc2020_s2_rgb_to_s1_upernet_distillonly_initteacher_seed0.pt
distill_only,s2_rgb,s1,peeking,58.46,58.40,s1,58.45,59.31,checkpoints/delulunet_dfc2020_s2_rgb_to_s1_upernet_distillonly_initteacher_seed0.pt
full,s2_rgb,s2_norgb,transfer,58.09,58.16,s2_rgb,58.16,59.70,checkpoints/delulunet_dfc2020_s2_rgb_to_s2_norgb_upernet_ll0.36_seed0.pt
full,s2_rgb,s2_norgb,peeking,59.60,59.79,s2_norgb,59.73,61.10,checkpoints/delulunet_dfc2020_s2_rgb_to_s2_norgb_upernet_ll0.36_seed0.pt
distill_only,s2_rgb,s2_norgb,transfer,58.44,58.43,s2_rgb,58.45,59.23,checkpoints/delulunet_dfc2020_s2_rgb_to_s2_norgb_upernet_distillonly_initteacher_seed0.pt
distill_only,s2_rgb,s2_norgb,peeking,58.05,58.05,s2_norgb,58.06,58.71,checkpoints/delulunet_dfc2020_s2_rgb_to_s2_norgb_upernet_distillonly_initteacher_seed0.pt
