wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
brvv8kww,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144187430,latent+prefusion+distill+ce,,68.8,62.45,68.24,61.05,70.1,63.0,69.32,61.71,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
9d3htlvm,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144187430,latent+prefusion+distill+ce,,68.55,60.38,64.24,57.74,68.75,61.37,68.5,60.74,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
zewcbfd9,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144187430,latent+prefusion+distill+ce,,69.85,61.9,67.18,60.14,70.8,62.35,69.83,64.21,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
ycrys8hi,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144187430,latent+prefusion+distill+ce,,69.0,61.96,67.85,63.23,70.45,63.43,69.5,63.85,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
os83n6s7,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144187430,latent+prefusion+distill+ce,,69.1,62.2,63.76,59.02,69.5,63.22,69.3,62.11,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
zqd9s5b1,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144187430,latent+prefusion+distill+ce,,70.1,62.77,68.69,61.59,71.15,64.33,70.25,62.95,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
2tb61n8r,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144187430,latent+prefusion+distill+ce,,69.8,63.23,67.07,60.18,70.8,63.33,70.18,64.26,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
skfsfjpj,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144187430,latent+prefusion+distill+ce,,69.95,61.98,67.97,60.43,71.15,63.29,70.08,62.2,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
evunjcaq,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144187430,latent+prefusion+distill+ce,,69.0,61.94,67.54,61.39,70.4,65.31,69.68,63.16,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
8czoil45,delulu-apr21,benv2,s2_rgb,s2_norgb,63.36,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144187430,latent+prefusion+distill+ce,,70.0,62.49,68.55,62.07,71.25,62.9,70.53,62.55,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
