wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
w0t9uqsl,delulu-may6,dfc2020,s1,s2,47.96,0.00028003603701448317,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0,0.0,False,True,False,2.9409815431286024,0.8194519385535791,0.8369287246181186,0.6448170007324399,223431696,latent+prefusion+distill+ce,transfer,84.59,49.18,48.19,48.01,88.91,50.20,86.75,49.63,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,0,paperseed_dfc2020_s1_to_s2_transfer,teacher,none
ch2qlanv,delulu-may6,dfc2020,s2_rgb,s1,59.80,0.00033182845555428976,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0,0.0,False,True,False,1.485490977817174,0.28344736341490895,0.8369287246181186,0.6448170007324399,221465616,latent+prefusion+distill+ce,transfer,83.46,48.79,60.38,59.71,93.34,60.03,88.40,57.09,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,paperseed_dfc2020_s2_rgb_to_s1_transfer,teacher,none
igzuj2v0,delulu-may6,dfc2020,s1,s2,47.96,1.6698482598717755e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0,0.0,False,True,False,3.763996351532807,0.1719926482851153,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,83.49,46.89,49.02,48.65,91.77,49.60,87.63,49.41,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,0,paperseed_dfc2020_s1_to_s2_addition,teacher,none
6b7424zs,delulu-may6,dfc2020,s2_rgb,s1,59.80,0.00017956188929677992,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0,0.0,False,True,False,1.0172937156010853,0.991149510346194,0.23428736523557417,0.5441254268098721,221465616,latent+prefusion+distill+ce,peeking,81.27,45.44,61.62,60.65,93.96,60.56,87.62,56.84,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,paperseed_dfc2020_s2_rgb_to_s1_peeking,teacher,none
jmmpfscf,delulu-may6,dfc2020,s2_rgb,s2_norgb,59.80,0.00028870616380152644,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0,0.0,False,True,False,3.7389937425141606,0.4236318144218389,0.8369287246181186,0.6448170007324399,223038480,latent+prefusion+distill+ce,transfer,92.63,59.48,60.99,60.15,93.56,60.44,93.10,60.28,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,paperseed_dfc2020_s2_rgb_to_s2_norgb_transfer,teacher,none
iyj84p5l,delulu-may6,dfc2020,s2,s1,66.96,0.000220045445410562,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0,0.0,False,True,False,1.2470967922816356,0.2907418817982923,0.8369287246181186,0.6448170007324399,223431696,latent+prefusion+distill+ce,transfer,79.97,46.79,63.90,63.33,91.65,63.45,85.79,59.27,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,paperseed_dfc2020_s2_to_s1_transfer,teacher,none
nx64q0qx,delulu-may6,dfc2020,s1,s2,47.96,0.00019241853814816663,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0,0.0,False,True,False,1.7497500085593087,0.7515053785284871,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,83.98,47.74,50.33,50.90,90.55,50.81,87.25,50.61,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,0,paperseed_dfc2020_s1_to_s2_peeking,teacher,none
28wt6hq3,delulu-may6,dfc2020,s2,s1,66.96,0.00019418663100570616,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0,0.0,False,True,False,1.7800136325989335,0.4250521187899442,0.7330845202244791,0.5652296073666779,223431696,latent+prefusion+distill+ce,addition,78.97,44.92,65.76,65.22,93.58,65.01,86.26,61.04,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,paperseed_dfc2020_s2_to_s1_addition,teacher,none
8gnwc4ln,delulu-may6,dfc2020,s2,s1,66.96,0.00014716537839400335,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0,0.0,False,True,False,1.2172369978822128,0.6483920916782907,0.23428736523557417,0.5441254268098721,223431696,latent+prefusion+distill+ce,peeking,78.09,44.17,64.95,64.19,92.37,64.11,85.23,60.65,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,0,paperseed_dfc2020_s2_to_s1_peeking,teacher,none
mspfi1w6,delulu-may6,dfc2020,s2_rgb,s1,59.80,1.3799489669281922e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0,0.0,False,True,False,3.251651882910127,0.21405861937520945,0.7330845202244791,0.5652296073666779,221465616,latent+prefusion+distill+ce,addition,75.68,37.35,60.73,60.04,95.14,59.89,85.41,55.69,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,0,paperseed_dfc2020_s2_rgb_to_s1_addition,teacher,none
