tag,dataset,src_mod,tgt_mod,depth,loss,cos_weight,mask_ratio,score_masked_only,epochs,lr,batch_size,seed,trainable_params,checkpoint,minutes,test_aligned,test_shuffled,test_gap,test_batch_r,test_batch_r_median,test_val_mse
s1tos2_norgb_d2_mse_ccos_m0_s0,dfc2020,s1,s2_norgb,2,mse_ccos,1.0,0.0,False,32,0.0003,16,0,14178816,halluc_dfc2020_s1tos2_norgb_control_s0.pt,4.03,0.868437,0.570706,0.29773,0.641277,0.683565,0.120946
s1tos2_norgb_d2_ccos_m0_s0,dfc2020,s1,s2_norgb,2,ccos,1.0,0.0,False,32,0.0003,16,0,14178816,halluc_dfc2020_s1tos2_norgb_control_s0.pt,4.1,0.374601,0.050358,0.324243,0.440127,0.476132,1.265226
s2_norgbtos1_d2_ccos_m0_s0,dfc2020,s2_norgb,s1,2,ccos,1.0,0.0,False,32,0.0003,16,0,14178816,halluc_dfc2020_s1tos2_norgb_control_s0.pt,4.26,0.365411,-0.069102,0.434513,0.495464,0.538516,2.166653
s2_norgbtos1_d2_mse_m0_s1,dfc2020,s2_norgb,s1,2,mse,1.0,0.0,False,32,0.0003,16,1,14178816,halluc_dfc2020_s1tos2_norgb_control_s0.pt,3.95,0.865856,0.384709,0.481147,0.666302,0.718422,0.055907
s2_norgbtos1_d2_mse_ccos_m0_s0,dfc2020,s2_norgb,s1,2,mse_ccos,1.0,0.0,False,32,0.0003,16,0,14178816,halluc_dfc2020_s1tos2_norgb_control_s0.pt,4.42,0.866245,0.374883,0.491362,0.666189,0.718806,0.056386
s2_norgbtos1_d2_mse_ccos_m0_s1,dfc2020,s2_norgb,s1,2,mse_ccos,1.0,0.0,False,32,0.0003,16,1,14178816,halluc_dfc2020_s1tos2_norgb_control_s0.pt,4.01,0.86555,0.375367,0.490184,0.665569,0.71835,0.056386
s1tos2_norgb_d2_ccos_m0_s1,dfc2020,s1,s2_norgb,2,ccos,1.0,0.0,False,32,0.0003,16,1,14178816,halluc_dfc2020_s1tos2_norgb_control_s0.pt,4.12,0.394551,0.074279,0.320272,0.428933,0.463449,1.313691
s1tos2_norgb_d2_mse_m0_s1,dfc2020,s1,s2_norgb,2,mse,1.0,0.0,False,32,0.0003,16,1,14178816,halluc_dfc2020_s1tos2_norgb_control_s0.pt,4.71,0.868109,0.575364,0.292745,0.639436,0.681277,0.120792
s1tos2_norgb_d2_ccos_m0_s2,dfc2020,s1,s2_norgb,2,ccos,1.0,0.0,False,32,0.0003,16,2,14178816,halluc_dfc2020_s1tos2_norgb_control_s0.pt,4.05,0.380274,0.057461,0.322813,0.433327,0.468945,1.123952
s1tos2_norgb_d2_mse_ccos_m0_s2,dfc2020,s1,s2_norgb,2,mse_ccos,1.0,0.0,False,32,0.0003,16,2,14178816,halluc_dfc2020_s1tos2_norgb_control_s0.pt,4.13,0.868285,0.56921,0.299075,0.64121,0.68443,0.120681
