train_mode,epochs,lr,batch_size,trainable_params,best_val_miou,best_test_miou,best_epoch,checkpoint
fft,10,0.0001,16,22695419,11.44,12.22,10,checkpoints/pastis_geotorch_fft.pt
fft,10,0.0001,16,22695419,14.94,16.14,8,checkpoints/geotorch_pastis_fft_20260316_153927.pt
fft,10,0.0001,16,22695419,13.85,14.57,10,checkpoints/geotorch_pastis_fft_20260316_160439.pt
fft,10,0.0001,16,22695419,14.14,14.63,10,checkpoints/geotorch_pastis_fft_20260316_160452.pt
fft,4,0.0001,64,22695419,10.15,10.65,4,checkpoints/geotorch_pastis_fft_20260316_162143.pt
fft,48,0.0001,64,22695419,16.77,17.84,36,checkpoints/geotorch_pastis_fft_20260316_164828.pt
fft,48,0.0001,64,22695419,16.86,17.55,28,checkpoints/geotorch_pastis_fft_20260316_164828.pt
fft,48,0.0001,64,22695419,18.56,18.30,40,checkpoints/geotorch_pastis_fft_20260316_184259.pt
fft,64,0.0001,64,22695419,18.72,19.18,32,checkpoints/geotorch_pastis_fft_20260316_233407.pt
fft,64,0.0001,64,22695419,18.34,18.63,32,checkpoints/geotorch_pastis_fft_20260316_233443.pt
