Dataset,Start(M_A),Transfer(M_B),rand-ST(M_A),DINO-SFT (M_A),KD(M_B),TTM(M_B),Delulu(M_B),rand-ST(M_B oracle),DINO-SFT(M_B oracle),Panopticon(M_B oracle),OlmoEarth(M_B oracle)
reBEN,S2-RGB,S1,47.96,63.37,48.96±1.32,48.73±1.34,49.75,44.35,49.23,55.06,54.05
reBEN,S2-RGB,S2-noRGB,47.96,63.37,57.50±0.84,56.95±0.66,61.11,--,--,--,--
reBEN,S1,S2,44.35,49.23,48.83±0.41,48.56±1.48,52.77,57.77,61.28,62.10,65.14
reBEN,S2,S1,57.77,61.28,48.99±1.77,49.01±2.08,51.03,44.35,49.23,55.06,54.05
DFC2020,S2-RGB,S1,34.27,41.90,43.77±1.09,43.32±1.43,41.47,38.69,43.29,48.09,47.40
DFC2020,S2-RGB,S2-noRGB,34.27,41.90,42.58±1.15,45.56±3.77,50.01,--,--,--,--
DFC2020,S1,S2,38.69,43.29,43.57±1.74,43.13±2.65,45.45,38.22,45.12,50.48,52.08
DFC2020,S2,S1,38.22,45.12,44.37±1.19,44.10±0.98,43.34,38.69,43.29,48.09,47.40
EuroSAT,RGB,NIR,89.56,98.63,74.80±7.40,77.36±5.75,85.72,76.31,80.91,96.69,93.41
EuroSAT,RGB,VRE,89.56,98.63,87.52±0.56,88.33±1.89,96.91,89.22,90.67,97.80,96.41
EuroSAT,RGB,SWIR,89.56,98.63,87.13±1.36,87.41±0.93,--,86.17,88.57,96.07,94.87
