checkpoint,num_supervised_epochs,starting_modality,supported_modalities,eval_type,real_modality,hallucinated_modality,test_acc,best_test_acc
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,real-multimodal-real-supervision,rgb+vre,,94.9074074074074,94.9074074074074
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,hallucinated-multimodal-real-supervision,rgb,vre,92.88888888888889,93.03703703703704
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,hallucinated-multimodal-real-supervision,vre,rgb,86.0,86.57407407407408
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,real-monomodal-real-supervision,rgb,,89.44444444444444,89.83333333333333
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,real-monomodal-real-supervision,vre,,82.37037037037037,82.55555555555556
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,hallucinated-multimodal-pseudo-supervision,vre,rgb,83.83333333333333,85.29629629629629
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,real-multimodal-real-supervision,rgb+swir,,94.96296296296296,94.96296296296296
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,hallucinated-multimodal-real-supervision,rgb,swir,92.72222222222223,92.83333333333333
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,hallucinated-multimodal-real-supervision,swir,rgb,87.0925925925926,87.18518518518519
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,real-monomodal-real-supervision,rgb,,90.27777777777777,90.27777777777777
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,real-monomodal-real-supervision,swir,,84.18518518518519,84.18518518518519
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,hallucinated-multimodal-pseudo-supervision,swir,rgb,85.29629629629629,86.44444444444444
checkpoints/vre_to_nir.pt,32,vre,vre+nir,real-multimodal-real-supervision,vre+nir,,88.85185185185185,88.85185185185185
checkpoints/vre_to_nir.pt,32,vre,vre+nir,hallucinated-multimodal-real-supervision,vre,nir,89.03703703703704,89.33333333333333
checkpoints/vre_to_nir.pt,32,vre,vre+nir,hallucinated-multimodal-real-supervision,nir,vre,71.11111111111111,71.14814814814815
checkpoints/vre_to_nir.pt,32,vre,vre+nir,real-monomodal-real-supervision,vre,,87.9074074074074,88.68518518518519
checkpoints/vre_to_nir.pt,32,vre,vre+nir,real-monomodal-real-supervision,nir,,53.907407407407405,53.925925925925924
checkpoints/vre_to_nir.pt,32,vre,vre+nir,hallucinated-multimodal-pseudo-supervision,nir,vre,66.46296296296296,68.87037037037037
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,real-multimodal-real-supervision,vre+rgb,,90.96296296296296,90.96296296296296
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,hallucinated-multimodal-real-supervision,vre,rgb,87.87037037037037,88.57407407407408
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,hallucinated-multimodal-real-supervision,rgb,vre,85.96296296296296,86.11111111111111
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,real-monomodal-real-supervision,vre,,87.14814814814815,87.53703703703704
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,real-monomodal-real-supervision,rgb,,70.72222222222223,70.74074074074075
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,hallucinated-multimodal-pseudo-supervision,rgb,vre,83.75925925925925,84.75925925925925
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,real-multimodal-real-supervision,rgb+nir,,98.07407407407408,98.07407407407408
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,hallucinated-multimodal-real-supervision,rgb,nir,98.05555555555556,98.29629629629629
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,hallucinated-multimodal-real-supervision,nir,rgb,74.68518518518519,74.72222222222223
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,real-monomodal-real-supervision,rgb,,98.07407407407408,98.16666666666667
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,real-monomodal-real-supervision,nir,,72.38888888888889,72.55555555555556
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,hallucinated-multimodal-pseudo-supervision,nir,rgb,71.46296296296296,74.05555555555556
