checkpoint,num_supervised_epochs,starting_modality,supported_modalities,eval_type,real_modality,hallucinated_modality,test_acc,best_test_acc
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,real-multimodal-real-supervision,rgb+vre,,92.81481481481481,92.81481481481481
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,hallucinated-multimodal-real-supervision,rgb,vre,88.85185185185185,89.03703703703704
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,hallucinated-multimodal-real-supervision,vre,rgb,89.62962962962963,89.70370370370371
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,real-monomodal-real-supervision,rgb,,73.18518518518519,73.44444444444444
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,real-monomodal-real-supervision,vre,,74.44444444444444,74.44444444444444
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,hallucinated-multimodal-pseudo-supervision,vre,rgb,86.01851851851852,86.72222222222223
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,real-multimodal-real-supervision,rgb+nir,,94.11111111111111,94.11111111111111
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,hallucinated-multimodal-real-supervision,rgb,nir,92.48148148148148,92.55555555555556
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,hallucinated-multimodal-real-supervision,nir,rgb,75.9074074074074,76.05555555555556
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,real-monomodal-real-supervision,rgb,,91.31481481481481,91.48148148148148
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,real-monomodal-real-supervision,nir,,74.81481481481481,74.81481481481481
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,hallucinated-multimodal-pseudo-supervision,nir,rgb,72.66666666666667,73.61111111111111
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,real-multimodal-real-supervision,rgb+swir,,91.94444444444444,91.94444444444444
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,hallucinated-multimodal-real-supervision,rgb,swir,84.70370370370371,85.44444444444444
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,hallucinated-multimodal-real-supervision,swir,rgb,89.79629629629629,89.88888888888889
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,real-monomodal-real-supervision,rgb,,86.74074074074075,86.9074074074074
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,real-monomodal-real-supervision,swir,,89.96296296296296,89.96296296296296
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,hallucinated-multimodal-pseudo-supervision,swir,rgb,86.92592592592592,87.25925925925925
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,real-multimodal-real-supervision,vre+rgb,,90.74074074074075,90.74074074074075
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,hallucinated-multimodal-real-supervision,vre,rgb,88.85185185185185,88.88888888888889
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,hallucinated-multimodal-real-supervision,rgb,vre,88.96296296296296,89.05555555555556
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,real-monomodal-real-supervision,vre,,88.61111111111111,88.64814814814815
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,real-monomodal-real-supervision,rgb,,88.51851851851852,88.51851851851852
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,hallucinated-multimodal-pseudo-supervision,rgb,vre,86.05555555555556,86.81481481481481
checkpoints/vre_to_nir.pt,32,vre,vre+nir,real-multimodal-real-supervision,vre+nir,,88.07407407407408,88.07407407407408
checkpoints/vre_to_nir.pt,32,vre,vre+nir,hallucinated-multimodal-real-supervision,vre,nir,88.03703703703704,88.24074074074075
checkpoints/vre_to_nir.pt,32,vre,vre+nir,hallucinated-multimodal-real-supervision,nir,vre,76.27777777777777,76.51851851851852
checkpoints/vre_to_nir.pt,32,vre,vre+nir,real-monomodal-real-supervision,vre,,87.37037037037037,87.66666666666667
checkpoints/vre_to_nir.pt,32,vre,vre+nir,real-monomodal-real-supervision,nir,,75.14814814814815,75.94444444444444
checkpoints/vre_to_nir.pt,32,vre,vre+nir,hallucinated-multimodal-pseudo-supervision,nir,vre,73.0,74.18518518518519
checkpoints/vre_to_swir.pt,32,vre,vre+swir,real-multimodal-real-supervision,vre+swir,,89.92592592592592,89.92592592592592
checkpoints/vre_to_swir.pt,32,vre,vre+swir,hallucinated-multimodal-real-supervision,vre,swir,88.98148148148148,89.35185185185185
checkpoints/vre_to_swir.pt,32,vre,vre+swir,hallucinated-multimodal-real-supervision,swir,vre,88.24074074074075,88.42592592592592
checkpoints/vre_to_swir.pt,32,vre,vre+swir,real-monomodal-real-supervision,vre,,88.27777777777777,88.9074074074074
checkpoints/vre_to_swir.pt,32,vre,vre+swir,real-monomodal-real-supervision,swir,,87.35185185185185,87.96296296296296
checkpoints/vre_to_swir.pt,32,vre,vre+swir,hallucinated-multimodal-pseudo-supervision,swir,vre,83.92592592592592,85.31481481481481
checkpoints/nir_to_swir.pt,32,nir,nir+swir,real-multimodal-real-supervision,nir+swir,,86.88888888888889,86.88888888888889
checkpoints/nir_to_swir.pt,32,nir,nir+swir,hallucinated-multimodal-real-supervision,nir,swir,77.9074074074074,77.92592592592592
checkpoints/nir_to_swir.pt,32,nir,nir+swir,hallucinated-multimodal-real-supervision,swir,nir,84.61111111111111,84.81481481481481
checkpoints/nir_to_swir.pt,32,nir,nir+swir,real-monomodal-real-supervision,nir,,75.4074074074074,75.66666666666667
checkpoints/nir_to_swir.pt,32,nir,nir+swir,real-monomodal-real-supervision,swir,,80.38888888888889,80.57407407407408
checkpoints/nir_to_swir.pt,32,nir,nir+swir,hallucinated-multimodal-pseudo-supervision,swir,nir,77.51851851851852,79.16666666666667
checkpoints/swir_to_rgb.pt,32,swir,swir+rgb,real-multimodal-real-supervision,swir+rgb,,90.68518518518519,90.68518518518519
checkpoints/swir_to_rgb.pt,32,swir,swir+rgb,hallucinated-multimodal-real-supervision,swir,rgb,87.4074074074074,87.79629629629629
checkpoints/swir_to_rgb.pt,32,swir,swir+rgb,hallucinated-multimodal-real-supervision,rgb,swir,88.27777777777777,88.62962962962963
checkpoints/swir_to_rgb.pt,32,swir,swir+rgb,real-monomodal-real-supervision,swir,,87.27777777777777,87.38888888888889
checkpoints/swir_to_rgb.pt,32,swir,swir+rgb,real-monomodal-real-supervision,rgb,,87.24074074074075,87.24074074074075
checkpoints/swir_to_rgb.pt,32,swir,swir+rgb,hallucinated-multimodal-pseudo-supervision,rgb,swir,85.53703703703704,86.18518518518519
checkpoints/nir_to_vre.pt,32,nir,nir+vre,real-multimodal-real-supervision,nir+vre,,78.11111111111111,78.11111111111111
checkpoints/nir_to_vre.pt,32,nir,nir+vre,hallucinated-multimodal-real-supervision,nir,vre,77.22222222222223,77.48148148148148
checkpoints/nir_to_vre.pt,32,nir,nir+vre,hallucinated-multimodal-real-supervision,vre,nir,76.55555555555556,76.68518518518519
checkpoints/nir_to_vre.pt,32,nir,nir+vre,real-monomodal-real-supervision,nir,,78.11111111111111,78.22222222222223
checkpoints/nir_to_vre.pt,32,nir,nir+vre,real-monomodal-real-supervision,vre,,77.18518518518519,77.25925925925925
checkpoints/nir_to_vre.pt,32,nir,nir+vre,hallucinated-multimodal-pseudo-supervision,vre,nir,74.25925925925925,74.92592592592592
checkpoints/swir_to_nir.pt,32,swir,swir+nir,real-multimodal-real-supervision,swir+nir,,88.5925925925926,88.5925925925926
checkpoints/swir_to_nir.pt,32,swir,swir+nir,hallucinated-multimodal-real-supervision,swir,nir,87.51851851851852,88.01851851851852
checkpoints/swir_to_nir.pt,32,swir,swir+nir,hallucinated-multimodal-real-supervision,nir,swir,76.70370370370371,76.94444444444444
checkpoints/swir_to_nir.pt,32,swir,swir+nir,real-monomodal-real-supervision,swir,,87.27777777777777,87.27777777777777
checkpoints/swir_to_nir.pt,32,swir,swir+nir,real-monomodal-real-supervision,nir,,76.79629629629629,77.0
checkpoints/swir_to_nir.pt,32,swir,swir+nir,hallucinated-multimodal-pseudo-supervision,nir,swir,72.4074074074074,73.79629629629629
checkpoints/swir_to_vre.pt,32,swir,swir+vre,real-multimodal-real-supervision,swir+vre,,88.46296296296296,88.46296296296296
checkpoints/swir_to_vre.pt,32,swir,swir+vre,hallucinated-multimodal-real-supervision,swir,vre,87.4074074074074,87.48148148148148
checkpoints/swir_to_vre.pt,32,swir,swir+vre,hallucinated-multimodal-real-supervision,vre,swir,87.48148148148148,87.68518518518519
checkpoints/swir_to_vre.pt,32,swir,swir+vre,real-monomodal-real-supervision,swir,,85.05555555555556,85.37037037037037
checkpoints/swir_to_vre.pt,32,swir,swir+vre,real-monomodal-real-supervision,vre,,87.55555555555556,87.55555555555556
checkpoints/swir_to_vre.pt,32,swir,swir+vre,hallucinated-multimodal-pseudo-supervision,vre,swir,83.83333333333333,84.72222222222223
none,32,nir,nir+rgb,real-multimodal-real-supervision,nir+rgb,,89.815,90.18
none,32,nir,nir+rgb,hallucinated-multimodal-real-supervision,nir,rgb,79.06,79.09
none,32,nir,nir+rgb,hallucinated-multimodal-real-supervision,rgb,nir,88.35,88.35
none,32,nir,nir+rgb,real-monomodal-real-supervision,nir,,76.11,76.70
none,32,nir,nir+rgb,real-monomodal-real-supervision,rgb,,85.87,85.94
none,32,nir,nir+rgb,hallucinated-multimodal-pseudo-supervision,rgb,nir,83.07,83.26
