checkpoint,num_supervised_epochs,starting_modality,supported_modalities,eval_type,real_modality,hallucinated_modality,test_acc,best_test_acc
checkpoints/nir_to_swir.pt,24,nir,nir+swir,real-multimodal-real-supervision,nir+swir,,85.03703703703704,85.03703703703704
checkpoints/nir_to_swir.pt,24,nir,nir+swir,hallucinated-multimodal-real-supervision,nir,swir,79.70370370370371,80.5925925925926
checkpoints/nir_to_swir.pt,24,nir,nir+swir,hallucinated-multimodal-real-supervision,swir,nir,88.79629629629629,88.85185185185185
checkpoints/nir_to_swir.pt,24,nir,nir+swir,real-monomodal-real-supervision,nir,,79.5,80.01851851851852
checkpoints/nir_to_swir.pt,24,nir,nir+swir,real-monomodal-real-supervision,swir,,87.44444444444444,87.85185185185185
checkpoints/nir_to_swir.pt,24,nir,nir+swir,hallucinated-multimodal-pseudo-supervision,swir,nir,84.20370370370371,85.72222222222223
checkpoints/swir_to_rgb.pt,24,swir,swir+rgb,real-multimodal-real-supervision,swir+rgb,,90.55555555555556,90.55555555555556
checkpoints/swir_to_rgb.pt,24,swir,swir+rgb,hallucinated-multimodal-real-supervision,swir,rgb,88.5925925925926,89.03703703703704
checkpoints/swir_to_rgb.pt,24,swir,swir+rgb,hallucinated-multimodal-real-supervision,rgb,swir,91.29629629629629,91.74074074074075
checkpoints/swir_to_rgb.pt,24,swir,swir+rgb,real-monomodal-real-supervision,swir,,88.74074074074075,88.81481481481481
checkpoints/swir_to_rgb.pt,24,swir,swir+rgb,real-monomodal-real-supervision,rgb,,89.75925925925925,89.88888888888889
checkpoints/swir_to_rgb.pt,24,swir,swir+rgb,hallucinated-multimodal-pseudo-supervision,rgb,swir,88.01851851851852,89.35185185185185
checkpoints/nir_to_vre.pt,24,nir,nir+vre,real-multimodal-real-supervision,nir+vre,,85.12962962962963,85.12962962962963
checkpoints/nir_to_vre.pt,24,nir,nir+vre,hallucinated-multimodal-real-supervision,nir,vre,79.5925925925926,80.16666666666667
checkpoints/nir_to_vre.pt,24,nir,nir+vre,hallucinated-multimodal-real-supervision,vre,nir,84.88888888888889,84.88888888888889
checkpoints/nir_to_vre.pt,24,nir,nir+vre,real-monomodal-real-supervision,nir,,80.94444444444444,81.20370370370371
checkpoints/nir_to_vre.pt,24,nir,nir+vre,real-monomodal-real-supervision,vre,,84.77777777777777,85.14814814814815
checkpoints/nir_to_vre.pt,24,nir,nir+vre,hallucinated-multimodal-pseudo-supervision,vre,nir,80.12962962962963,82.70370370370371
checkpoints/swir_to_vre.pt,24,swir,swir+vre,real-multimodal-real-supervision,swir+vre,,90.33333333333333,90.33333333333333
checkpoints/swir_to_vre.pt,24,swir,swir+vre,hallucinated-multimodal-real-supervision,swir,vre,87.83333333333333,88.48148148148148
checkpoints/swir_to_vre.pt,24,swir,swir+vre,hallucinated-multimodal-real-supervision,vre,swir,89.70370370370371,89.83333333333333
checkpoints/swir_to_vre.pt,24,swir,swir+vre,real-monomodal-real-supervision,swir,,87.53703703703704,87.61111111111111
checkpoints/swir_to_vre.pt,24,swir,swir+vre,real-monomodal-real-supervision,vre,,88.24074074074075,88.88888888888889
checkpoints/swir_to_vre.pt,24,swir,swir+vre,hallucinated-multimodal-pseudo-supervision,vre,swir,87.31481481481481,88.18518518518519
checkpoints/swir_to_nir.pt,24,swir,swir+nir,real-multimodal-real-supervision,swir+nir,,88.0,88.0
checkpoints/swir_to_nir.pt,24,swir,swir+nir,hallucinated-multimodal-real-supervision,swir,nir,88.42592592592592,88.53703703703704
checkpoints/swir_to_nir.pt,24,swir,swir+nir,hallucinated-multimodal-real-supervision,nir,swir,78.22222222222223,78.35185185185185
checkpoints/swir_to_nir.pt,24,swir,swir+nir,real-monomodal-real-supervision,swir,,88.37037037037037,88.37037037037037
checkpoints/swir_to_nir.pt,24,swir,swir+nir,real-monomodal-real-supervision,nir,,74.31481481481481,74.75925925925925
checkpoints/swir_to_nir.pt,24,swir,swir+nir,hallucinated-multimodal-pseudo-supervision,nir,swir,73.88888888888889,76.5925925925926
checkpoints/nir_to_rgb.pt,24,nir,nir+rgb,real-multimodal-real-supervision,nir+rgb,,90.51851851851852,90.51851851851852
checkpoints/nir_to_rgb.pt,24,nir,nir+rgb,hallucinated-multimodal-real-supervision,nir,rgb,80.74074074074075,81.12962962962963
checkpoints/nir_to_rgb.pt,24,nir,nir+rgb,hallucinated-multimodal-real-supervision,rgb,nir,91.81481481481481,91.81481481481481
checkpoints/nir_to_rgb.pt,24,nir,nir+rgb,real-monomodal-real-supervision,nir,,80.31481481481481,80.38888888888889
checkpoints/nir_to_rgb.pt,24,nir,nir+rgb,real-monomodal-real-supervision,rgb,,88.81481481481481,89.42592592592592
checkpoints/nir_to_rgb.pt,24,nir,nir+rgb,hallucinated-multimodal-pseudo-supervision,rgb,nir,87.46296296296296,88.07407407407408
checkpoints/rgb_to_vre.pt,24,rgb,rgb+vre,real-multimodal-real-supervision,rgb+vre,,98.0,98.0
checkpoints/rgb_to_vre.pt,24,rgb,rgb+vre,hallucinated-multimodal-real-supervision,rgb,vre,98.03703703703704,98.03703703703704
