checkpoint,num_supervised_epochs,starting_modality,supported_modalities,eval_type,real_modality,hallucinated_modality,test_acc,best_test_acc
checkpoints/rgb_to_nir_jan27c.pt,36,rgb,rgb+nir,delulu-transfer,nir,rgb,91.16666666666667,91.22222222222223
checkpoints/rgb_to_nir_jan27c.pt,36,rgb,rgb+nir,delulu-addition,rgb+nir,,98.64814814814815,98.66666666666667
checkpoints/rgb_to_nir_jan27c.pt,36,rgb,rgb+nir,delulu-peeking,rgb,nir,98.62962962962963,98.72222222222223
checkpoints/rgb_to_vre_jan27c.pt,36,rgb,rgb+vre,delulu-transfer,vre,rgb,97.64814814814815,97.64814814814815
checkpoints/rgb_to_vre_jan27c.pt,36,rgb,rgb+vre,delulu-addition,rgb+vre,,98.53703703703704,98.70370370370371
checkpoints/rgb_to_vre_jan27c.pt,36,rgb,rgb+vre,delulu-peeking,rgb,vre,98.5925925925926,98.64814814814815
checkpoints/rgb_to_swir_jan27c.pt,36,rgb,rgb+swir,delulu-transfer,swir,rgb,96.33333333333333,96.44444444444444
checkpoints/rgb_to_swir_jan27c.pt,36,rgb,rgb+swir,delulu-addition,rgb+swir,,98.38888888888889,98.5
checkpoints/rgb_to_swir_jan27c.pt,36,rgb,rgb+swir,delulu-peeking,rgb,swir,98.48148148148148,98.61111111111111
checkpoints/vre_to_nir_jan27c.pt,36,vre,vre+nir,delulu-transfer,nir,vre,77.48148148148148,77.74074074074075
checkpoints/vre_to_nir_jan27c.pt,36,vre,vre+nir,delulu-addition,vre+nir,,90.11111111111111,90.12962962962963
checkpoints/vre_to_nir_jan27c.pt,36,vre,vre+nir,delulu-peeking,vre,nir,90.16666666666667,90.24074074074075
checkpoints/nir_to_swir_jan27c.pt,36,nir,nir+swir,delulu-transfer,swir,nir,83.16666666666667,83.31481481481481
checkpoints/nir_to_swir_jan27c.pt,36,nir,nir+swir,delulu-addition,nir+swir,,84.20370370370371,84.55555555555556
checkpoints/nir_to_swir_jan27c.pt,36,nir,nir+swir,delulu-peeking,nir,swir,80.0,80.0
checkpoints/vre_to_rgb_jan27c.pt,36,vre,vre+rgb,delulu-transfer,rgb,vre,87.57407407407408,87.83333333333333
checkpoints/vre_to_rgb_jan27c.pt,36,vre,vre+rgb,delulu-addition,vre+rgb,,90.24074074074075,90.38888888888889
checkpoints/vre_to_rgb_jan27c.pt,36,vre,vre+rgb,delulu-peeking,vre,rgb,90.27777777777777,90.44444444444444
checkpoints/nir_to_vre_jan27c.pt,36,nir,nir+vre,delulu-transfer,vre,nir,79.14814814814815,79.5925925925926
checkpoints/nir_to_vre_jan27c.pt,36,nir,nir+vre,delulu-addition,nir+vre,,79.37037037037037,79.9074074074074
checkpoints/nir_to_vre_jan27c.pt,36,nir,nir+vre,delulu-peeking,nir,vre,79.33333333333333,79.38888888888889
checkpoints/vre_to_swir_jan27c.pt,36,vre,vre+swir,delulu-transfer,swir,vre,87.42592592592592,87.42592592592592
checkpoints/vre_to_swir_jan27c.pt,36,vre,vre+swir,delulu-addition,vre+swir,,90.12962962962963,90.35185185185185
checkpoints/vre_to_swir_jan27c.pt,36,vre,vre+swir,delulu-peeking,vre,swir,90.11111111111111,90.11111111111111
checkpoints/nir_to_rgb_jan27c.pt,36,nir,nir+rgb,delulu-transfer,rgb,nir,83.12962962962963,83.75925925925925
checkpoints/nir_to_rgb_jan27c.pt,36,nir,nir+rgb,delulu-addition,nir+rgb,,84.55555555555556,85.55555555555556
checkpoints/nir_to_rgb_jan27c.pt,36,nir,nir+rgb,delulu-peeking,nir,rgb,80.57407407407408,80.77777777777777
checkpoints/swir_to_rgb_jan27c.pt,36,swir,swir+rgb,delulu-transfer,rgb,swir,87.35185185185185,87.46296296296296
checkpoints/swir_to_rgb_jan27c.pt,36,swir,swir+rgb,delulu-addition,swir+rgb,,88.5925925925926,88.74074074074075
checkpoints/swir_to_rgb_jan27c.pt,36,swir,swir+rgb,delulu-peeking,swir,rgb,87.98148148148148,88.18518518518519
checkpoints/swir_to_vre_jan27c.pt,36,swir,swir+vre,delulu-transfer,vre,swir,87.70370370370371,87.87037037037037
checkpoints/swir_to_vre_jan27c.pt,36,swir,swir+vre,delulu-addition,swir+vre,,88.55555555555556,88.85185185185185
checkpoints/swir_to_vre_jan27c.pt,36,swir,swir+vre,delulu-peeking,swir,vre,88.46296296296296,88.5925925925926
checkpoints/swir_to_nir_jan27c.pt,36,swir,swir+nir,delulu-transfer,nir,swir,76.62962962962963,77.57407407407408
checkpoints/swir_to_nir_jan27c.pt,36,swir,swir+nir,delulu-addition,swir+nir,,87.87037037037037,88.31481481481481
checkpoints/swir_to_nir_jan27c.pt,36,swir,swir+nir,delulu-peeking,swir,nir,88.05555555555556,88.20370370370371
