checkpoint,num_supervised_epochs,starting_modality,supported_modalities,eval_type,distillation,real_modality,hallucinated_modality,test_acc,best_test_acc
checkpoints/rgb_to_vre.pt,16,rgb,rgb+vre,delulu-transfer,none,vre,rgb,93.96296296296296,95.03703703703704
checkpoints/rgb_to_vre.pt,16,rgb,rgb+vre,delulu-addition,none,rgb+vre,,95.75925925925925,96.22222222222223
checkpoints/rgb_to_vre.pt,16,rgb,rgb+vre,delulu-peeking,none,rgb,vre,98.18518518518519,98.24074074074075
checkpoints/rgb_to_nir.pt,16,rgb,rgb+nir,delulu-transfer,none,nir,rgb,88.75925925925925,88.85185185185185
checkpoints/rgb_to_nir.pt,16,rgb,rgb+nir,delulu-addition,none,rgb+nir,,98.48148148148148,98.48148148148148
checkpoints/rgb_to_nir.pt,16,rgb,rgb+nir,delulu-peeking,none,rgb,nir,98.11111111111111,98.42592592592592
checkpoints/rgb_to_swir.pt,16,rgb,rgb+swir,delulu-transfer,none,swir,rgb,95.68518518518519,95.81481481481481
checkpoints/rgb_to_swir.pt,16,rgb,rgb+swir,delulu-addition,none,rgb+swir,,96.0925925925926,96.20370370370371
checkpoints/rgb_to_swir.pt,16,rgb,rgb+swir,delulu-peeking,none,rgb,swir,98.0,98.20370370370371
checkpoints/vre_to_nir.pt,16,vre,vre+nir,delulu-transfer,none,nir,vre,76.24074074074075,76.38888888888889
checkpoints/vre_to_nir.pt,16,vre,vre+nir,delulu-addition,none,vre+nir,,90.57407407407408,90.57407407407408
checkpoints/vre_to_nir.pt,16,vre,vre+nir,delulu-peeking,none,vre,nir,89.46296296296296,89.94444444444444
checkpoints/vre_to_swir.pt,16,vre,vre+swir,delulu-transfer,none,swir,vre,87.62962962962963,87.62962962962963
checkpoints/vre_to_swir.pt,16,vre,vre+swir,delulu-addition,none,vre+swir,,90.16666666666667,90.48148148148148
checkpoints/vre_to_swir.pt,16,vre,vre+swir,delulu-peeking,none,vre,swir,89.70370370370371,89.94444444444444
checkpoints/nir_to_swir.pt,16,nir,nir+swir,delulu-transfer,none,swir,nir,81.29629629629629,82.0925925925926
checkpoints/nir_to_swir.pt,16,nir,nir+swir,delulu-addition,none,nir+swir,,82.14814814814815,82.14814814814815
checkpoints/nir_to_swir.pt,16,nir,nir+swir,delulu-peeking,none,nir,swir,80.25925925925925,80.25925925925925
checkpoints/nir_to_rgb.pt,16,nir,nir+rgb,delulu-transfer,none,rgb,nir,80.57407407407408,83.46296296296296
checkpoints/nir_to_rgb.pt,16,nir,nir+rgb,delulu-addition,none,nir+rgb,,78.07407407407408,78.92592592592592
checkpoints/nir_to_rgb.pt,16,nir,nir+rgb,delulu-peeking,none,nir,rgb,80.72222222222223,80.72222222222223
checkpoints/nir_to_vre.pt,16,nir,nir+vre,delulu-transfer,none,vre,nir,78.61111111111111,78.62962962962963
checkpoints/nir_to_vre.pt,16,nir,nir+vre,delulu-addition,none,nir+vre,,77.96296296296296,79.07407407407408
checkpoints/nir_to_vre.pt,16,nir,nir+vre,delulu-peeking,none,nir,vre,79.20370370370371,79.64814814814815
checkpoints/swir_to_nir.pt,16,swir,swir+nir,delulu-transfer,none,nir,swir,74.31481481481481,75.11111111111111
checkpoints/swir_to_nir.pt,16,swir,swir+nir,delulu-addition,none,swir+nir,,89.05555555555556,89.46296296296296
checkpoints/swir_to_nir.pt,16,swir,swir+nir,delulu-peeking,none,swir,nir,87.64814814814815,88.22222222222223
checkpoints/swir_to_vre.pt,16,swir,swir+vre,delulu-transfer,none,vre,swir,86.12962962962963,86.62962962962963
checkpoints/swir_to_vre.pt,16,swir,swir+vre,delulu-addition,none,swir+vre,,87.70370370370371,87.70370370370371
checkpoints/swir_to_vre.pt,16,swir,swir+vre,delulu-peeking,none,swir,vre,88.46296296296296,88.64814814814815
checkpoints/swir_to_rgb.pt,16,swir,swir+rgb,delulu-transfer,none,rgb,swir,85.22222222222223,87.14814814814815
checkpoints/swir_to_rgb.pt,16,swir,swir+rgb,delulu-addition,none,swir+rgb,,88.79629629629629,89.24074074074075
checkpoints/swir_to_rgb.pt,16,swir,swir+rgb,delulu-peeking,none,swir,rgb,87.92592592592592,88.46296296296296
checkpoints/vre_to_rgb.pt,16,vre,vre+rgb,delulu-transfer,none,rgb,vre,89.62962962962963,89.62962962962963
checkpoints/vre_to_rgb.pt,16,vre,vre+rgb,delulu-addition,none,vre+rgb,,91.03703703703704,91.03703703703704
checkpoints/vre_to_rgb.pt,16,vre,vre+rgb,delulu-peeking,none,vre,rgb,90.0925925925926,90.0925925925926
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,delulu-transfer,none,rgb,vre,89.42592592592592,89.5
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,delulu-addition,none,vre+rgb,,91.01851851851852,91.07407407407408
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,delulu-peeking,none,vre,rgb,87.55555555555556,87.55555555555556
