checkpoint,num_supervised_epochs,starting_modality,supported_modalities,eval_type,distillation,real_modality,hallucinated_modality,test_acc,best_test_acc
checkpoints/vre_to_swir.pt,32,vre,vre+swir,delulu-transfer,none,swir,vre,84.79629629629629,85.75925925925925
checkpoints/vre_to_swir.pt,32,vre,vre+swir,delulu-addition,none,vre+swir,,87.11111111111111,87.11111111111111
checkpoints/vre_to_swir.pt,32,vre,vre+swir,delulu-peeking,none,vre,swir,88.96296296296296,89.18518518518519
checkpoints/vre_to_nir.pt,32,vre,vre+nir,delulu-transfer,none,nir,vre,71.16666666666667,74.68518518518519
checkpoints/vre_to_nir.pt,32,vre,vre+nir,delulu-addition,none,vre+nir,,85.83333333333333,85.83333333333333
checkpoints/vre_to_nir.pt,32,vre,vre+nir,delulu-peeking,none,vre,nir,89.70370370370371,90.03703703703704
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,delulu-transfer,none,nir,rgb,90.98148148148148,90.98148148148148
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,delulu-addition,none,rgb+nir,,97.61111111111111,97.62962962962963
checkpoints/rgb_to_nir.pt,32,rgb,rgb+nir,delulu-peeking,none,rgb,nir,98.55555555555556,98.61111111111111
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,delulu-transfer,none,swir,rgb,95.66666666666667,95.66666666666667
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,delulu-addition,none,rgb+swir,,97.03703703703704,97.20370370370371
checkpoints/rgb_to_swir.pt,32,rgb,rgb+swir,delulu-peeking,none,rgb,swir,98.14814814814815,98.48148148148148
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,delulu-transfer,none,rgb,vre,84.29629629629629,85.85185185185185
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,delulu-addition,none,vre+rgb,,76.87037037037037,82.77777777777777
checkpoints/vre_to_rgb.pt,32,vre,vre+rgb,delulu-peeking,none,vre,rgb,89.51851851851852,89.92592592592592
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,delulu-transfer,none,vre,rgb,95.44444444444444,96.11111111111111
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,delulu-addition,none,rgb+vre,,97.0,97.0
checkpoints/rgb_to_vre.pt,32,rgb,rgb+vre,delulu-peeking,none,rgb,vre,98.51851851851852,98.51851851851852
checkpoints/nir_to_rgb.pt,32,nir,nir+rgb,delulu-transfer,none,rgb,nir,84.16666666666667,84.16666666666667
checkpoints/nir_to_rgb.pt,32,nir,nir+rgb,delulu-addition,none,nir+rgb,,83.92592592592592,84.81481481481481
checkpoints/nir_to_rgb.pt,32,nir,nir+rgb,delulu-peeking,none,nir,rgb,79.74074074074075,80.38888888888889
checkpoints/nir_to_vre.pt,32,nir,nir+vre,delulu-transfer,none,vre,nir,76.77777777777777,77.51851851851852
checkpoints/nir_to_vre.pt,32,nir,nir+vre,delulu-addition,none,nir+vre,,78.25925925925925,78.5
checkpoints/nir_to_vre.pt,32,nir,nir+vre,delulu-peeking,none,nir,vre,79.77777777777777,80.0
checkpoints/nir_to_swir.pt,32,nir,nir+swir,delulu-transfer,none,swir,nir,80.9074074074074,82.27777777777777
checkpoints/nir_to_swir.pt,32,nir,nir+swir,delulu-addition,none,nir+swir,,82.0925925925926,82.64814814814815
checkpoints/nir_to_swir.pt,32,nir,nir+swir,delulu-peeking,none,nir,swir,80.38888888888889,80.53703703703704
checkpoints/swir_to_nir.pt,32,swir,swir+nir,delulu-transfer,none,nir,swir,75.12962962962963,76.33333333333333
checkpoints/swir_to_nir.pt,32,swir,swir+nir,delulu-addition,none,swir+nir,,87.81481481481481,88.29629629629629
checkpoints/swir_to_nir.pt,32,swir,swir+nir,delulu-peeking,none,swir,nir,88.11111111111111,88.11111111111111
checkpoints/swir_to_vre.pt,32,swir,swir+vre,delulu-transfer,none,vre,swir,86.79629629629629,87.4074074074074
checkpoints/swir_to_vre.pt,32,swir,swir+vre,delulu-addition,none,swir+vre,,87.68518518518519,88.12962962962963
checkpoints/swir_to_vre.pt,32,swir,swir+vre,delulu-peeking,none,swir,vre,88.35185185185185,88.35185185185185
checkpoints/swir_to_rgb.pt,32,swir,swir+rgb,delulu-transfer,none,rgb,swir,83.88888888888889,86.53703703703704
checkpoints/swir_to_rgb.pt,32,swir,swir+rgb,delulu-addition,none,swir+rgb,,86.53703703703704,87.25925925925925
checkpoints/swir_to_rgb.pt,32,swir,swir+rgb,delulu-peeking,none,swir,rgb,88.11111111111111,88.11111111111111
