model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
olmoearth-base,eurosat,rgb,fft,12,0.0001,1e-05,32,Acc,96.5185,97.0926,88963594,checkpoints/rsfm_eurosat_rgb_fft_20260417_041447.pt
panopticon,eurosat,rgb,fft,12,0.0001,1e-05,32,Acc,98.3704,98.5,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260417_042801.pt
olmoearth-large,benv2,s2,fft,20,0.001,0.01,32,mAP,69.2317,65.5241,307792915,checkpoints/rsfm_benv2_s2_fft_20260417_114451.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.001,0.01,32,mAP,64.8089,60.863,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_114621.pt
olmoearth-large,benv2,s1,fft,20,0.001,0.01,32,mAP,56.8528,54.3712,307792915,checkpoints/rsfm_benv2_s1_fft_20260417_115400.pt
olmoearth-large,benv2,s2s1,fft,20,0.001,0.01,32,mAP,70.0588,66.7711,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260417_115432.pt
olmoearth-large,eurosat,rgb,fft,20,0.001,0.01,32,Acc,95.8519,95.7222,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_121141.pt
olmoearth-large,eurosat,vre,fft,20,0.001,0.01,32,Acc,95.5185,94.9444,307783690,checkpoints/rsfm_eurosat_vre_fft_20260417_121313.pt
olmoearth-base,eurosat,rgb,fft,20,0.001,0.01,32,Acc,97.5185,97.4815,88963594,checkpoints/rsfm_eurosat_rgb_fft_20260417_121547.pt
olmoearth-large,eurosat,swir,fft,20,0.001,0.01,32,Acc,89.7407,91.2407,307783690,checkpoints/rsfm_eurosat_swir_fft_20260417_121559.pt
olmoearth-large,eurosat,nir,fft,20,0.001,0.01,32,Acc,88.8519,90.7407,307783690,checkpoints/rsfm_eurosat_nir_fft_20260417_121635.pt
olmoearth-large,benv2,s2,fft,20,0.001,0.0001,32,mAP,68.7135,65.492,307792915,checkpoints/rsfm_benv2_s2_fft_20260417_121632.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.001,0.0001,32,mAP,63.8703,59.9014,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_121639.pt
olmoearth-base,eurosat,vre,fft,20,0.001,0.01,32,Acc,95.9259,96.1481,88963594,checkpoints/rsfm_eurosat_vre_fft_20260417_121723.pt
olmoearth-large,benv2,s1,fft,20,0.001,0.0001,32,mAP,56.5937,54.2583,307792915,checkpoints/rsfm_benv2_s1_fft_20260417_123202.pt
olmoearth-large,benv2,s2s1,fft,20,0.001,0.0001,32,mAP,70.1739,65.7808,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260417_123254.pt
olmoearth-base,eurosat,rgb,fft,20,0.001,0.0001,32,Acc,97.4074,97.4259,88963594,checkpoints/rsfm_eurosat_rgb_fft_20260417_124116.pt
olmoearth-base,eurosat,vre,fft,20,0.001,0.0001,32,Acc,95.7037,95.6667,88963594,checkpoints/rsfm_eurosat_vre_fft_20260417_124441.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.001,0.0,32,mAP,63.4518,59.1813,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_124653.pt
olmoearth-base,eurosat,s2,fft,20,0.001,0.0,32,Acc,12.963,12.3889,88963594,checkpoints/rsfm_eurosat_s2_fft_20260417_130311.pt
olmoearth-base,eurosat,rgb,fft,20,0.001,0.0,32,Acc,97.5556,97.537,88963594,checkpoints/rsfm_eurosat_rgb_fft_20260417_130640.pt
olmoearth-large,benv2,s1,fft,20,0.001,0.0,32,mAP,55.9427,53.4399,307792915,checkpoints/rsfm_benv2_s1_fft_20260417_130957.pt
olmoearth-large,benv2,s2,fft,20,0.0005,0.01,32,mAP,70.3469,63.983,307792915,checkpoints/rsfm_benv2_s2_fft_20260417_131040.pt
olmoearth-large,benv2,s2s1,fft,20,0.001,0.0,32,mAP,70.3391,66.1135,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260417_131113.pt
olmoearth-base,eurosat,vre,fft,20,0.001,0.0,32,Acc,96.037,95.6296,88963594,checkpoints/rsfm_eurosat_vre_fft_20260417_131205.pt
olmoearth-base,eurosat,s2,fft,5,0.001,0.01,32,Acc,97.8889,98.037,88963594,checkpoints/rsfm_eurosat_s2_fft_20260417_131534.pt
olmoearth-large,eurosat,rgb,fft,20,0.001,0.0001,32,Acc,95.6667,95.8889,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_131732.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0005,0.01,32,mAP,65.442,60.0734,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_131718.pt
olmoearth-large,eurosat,vre,fft,20,0.001,0.0001,32,Acc,94.4444,94.5926,307783690,checkpoints/rsfm_eurosat_vre_fft_20260417_131819.pt
olmoearth-large,eurosat,swir,fft,20,0.001,0.0001,32,Acc,90.2963,90.4074,307783690,checkpoints/rsfm_eurosat_swir_fft_20260417_132056.pt
olmoearth-base,benv2,s2,fft,20,0.001,0.01,32,mAP,68.7475,65.5238,88970515,checkpoints/rsfm_benv2_s2_fft_20260417_132126.pt
olmoearth-base,benv2,s1,fft,20,0.001,0.01,32,mAP,56.5025,54.381,88970515,checkpoints/rsfm_benv2_s1_fft_20260417_132154.pt
olmoearth-large,eurosat,nir,fft,20,0.001,0.0001,32,Acc,88.2963,89.9815,307783690,checkpoints/rsfm_eurosat_nir_fft_20260417_132218.pt
olmoearth-base,eurosat,swir,fft,20,0.001,0.01,32,Acc,93.6296,93.9259,88963594,checkpoints/rsfm_eurosat_swir_fft_20260417_132701.pt
olmoearth-base,eurosat,nir,fft,20,0.001,0.01,32,Acc,91.7037,92.2778,88963594,checkpoints/rsfm_eurosat_nir_fft_20260417_132718.pt
olmoearth-base,eurosat,s2,fft,20,0.0005,0.01,32,Acc,98.8889,99.037,88963594,checkpoints/rsfm_eurosat_s2_fft_20260417_133102.pt
olmoearth-base,eurosat,rgb,fft,20,0.0005,0.01,32,Acc,97.5185,97.3889,88963594,checkpoints/rsfm_eurosat_rgb_fft_20260417_133204.pt
olmoearth-base,eurosat,vre,fft,20,0.0005,0.01,32,Acc,96.8518,96.4074,88963594,checkpoints/rsfm_eurosat_vre_fft_20260417_133936.pt
olmoearth-base,benv2,s2,fft,20,0.001,0.0001,32,mAP,68.474,64.3578,88970515,checkpoints/rsfm_benv2_s2_fft_20260417_134043.pt
olmoearth-base,benv2,s1,fft,20,0.001,0.0001,32,mAP,55.3487,52.8128,88970515,checkpoints/rsfm_benv2_s1_fft_20260417_134130.pt
olmoearth-large,benv2,s2,fft,20,0.0005,0.0001,32,mAP,68.8975,64.2245,307792915,checkpoints/rsfm_benv2_s2_fft_20260417_134215.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0005,0.0001,32,mAP,66.3629,61.1753,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_134749.pt
olmoearth-large,benv2,s1,fft,20,0.0005,0.01,32,mAP,56.8309,53.9196,307792915,checkpoints/rsfm_benv2_s1_fft_20260417_134757.pt
olmoearth-large,benv2,s2s1,fft,20,0.0005,0.01,32,mAP,69.9205,66.6477,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260417_134936.pt
olmoearth-base,eurosat,swir,fft,20,0.001,0.0001,32,Acc,93.2593,93.2963,88963594,checkpoints/rsfm_eurosat_swir_fft_20260417_135117.pt
olmoearth-base,eurosat,nir,fft,20,0.001,0.0001,32,Acc,91.8889,93.0926,88963594,checkpoints/rsfm_eurosat_nir_fft_20260417_135156.pt
olmoearth-base,eurosat,vre,fft,5,0.001,0.01,32,Acc,87.6296,87.7963,88963594,checkpoints/rsfm_eurosat_vre_fft_20260417_135254.pt
olmoearth-base,eurosat,rgb,fft,20,0.0005,0.0001,32,Acc,98.0,97.6852,88963594,checkpoints/rsfm_eurosat_rgb_fft_20260417_135731.pt
olmoearth-base,eurosat,s2,fft,20,0.0005,0.0001,32,Acc,98.8889,98.9259,88963594,checkpoints/rsfm_eurosat_s2_fft_20260417_135844.pt
olmoearth-base,benv2,s2,fft,20,0.001,0.0,32,mAP,69.3597,65.1382,88970515,checkpoints/rsfm_benv2_s2_fft_20260417_135952.pt
olmoearth-base,benv2,s1,fft,20,0.001,0.0,32,mAP,55.3862,52.9467,88970515,checkpoints/rsfm_benv2_s1_fft_20260417_140109.pt
olmoearth-base,eurosat,vre,fft,20,0.0005,0.0001,32,Acc,96.6296,96.3519,88963594,checkpoints/rsfm_eurosat_vre_fft_20260417_140713.pt
olmoearth-large,benv2,s2,fft,20,0.0005,0.0,32,mAP,70.0551,66.978,307792915,checkpoints/rsfm_benv2_s2_fft_20260417_141344.pt
olmoearth-base,eurosat,swir,fft,20,0.001,0.0,32,Acc,93.3333,93.7963,88963594,checkpoints/rsfm_eurosat_swir_fft_20260417_141532.pt
olmoearth-base,eurosat,nir,fft,20,0.001,0.0,32,Acc,91.7778,93.3704,88963594,checkpoints/rsfm_eurosat_nir_fft_20260417_141634.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0005,0.0,32,mAP,65.2585,60.6516,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_141821.pt
olmoearth-base,benv2,s2,fft,20,0.0005,0.01,32,mAP,68.9418,63.9894,88970515,checkpoints/rsfm_benv2_s2_fft_20260417_141851.pt
olmoearth-base,benv2,s1,fft,20,0.0005,0.01,32,mAP,56.2149,54.7022,88970515,checkpoints/rsfm_benv2_s1_fft_20260417_142040.pt
olmoearth-base,eurosat,rgb,fft,20,0.0005,0.0,32,Acc,97.5926,97.6111,88963594,checkpoints/rsfm_eurosat_rgb_fft_20260417_142245.pt
olmoearth-large,eurosat,vre,fft,20,0.001,0.0,32,Acc,93.8889,93.9074,307783690,checkpoints/rsfm_eurosat_vre_fft_20260417_142325.pt
olmoearth-large,eurosat,rgb,fft,20,0.001,0.0,32,Acc,95.5556,95.2222,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_142332.pt
olmoearth-large,eurosat,swir,fft,20,0.001,0.0,32,Acc,88.6296,88.5741,307783690,checkpoints/rsfm_eurosat_swir_fft_20260417_142559.pt
olmoearth-base,eurosat,s2,fft,20,0.0005,0.0,32,Acc,99.0741,99.0556,88963594,checkpoints/rsfm_eurosat_s2_fft_20260417_142629.pt
olmoearth-large,benv2,s1,fft,20,0.0005,0.0001,32,mAP,57.3557,55.2825,307792915,checkpoints/rsfm_benv2_s1_fft_20260417_142559.pt
olmoearth-large,eurosat,nir,fft,20,0.001,0.0,32,Acc,88.8519,89.9259,307783690,checkpoints/rsfm_eurosat_nir_fft_20260417_142806.pt
olmoearth-large,benv2,s2s1,fft,20,0.0005,0.0001,32,mAP,70.085,65.4007,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260417_142757.pt
olmoearth-large,eurosat,s2,fft,20,0.001,0.0,32,Acc,98.7778,98.8704,307783690,checkpoints/rsfm_eurosat_s2_fft_20260417_143421.pt
olmoearth-base,eurosat,vre,fft,20,0.0005,0.0,32,Acc,96.2963,96.1111,88963594,checkpoints/rsfm_eurosat_vre_fft_20260417_143445.pt
olmoearth-base,benv2,s2,fft,20,0.0005,0.0001,32,mAP,69.2322,65.1728,88970515,checkpoints/rsfm_benv2_s2_fft_20260417_143738.pt
olmoearth-base,eurosat,swir,fft,20,0.0005,0.01,32,Acc,93.8519,94.2037,88963594,checkpoints/rsfm_eurosat_swir_fft_20260417_143948.pt
olmoearth-base,eurosat,vre,fft,10,0.001,0.01,32,Acc,95.5556,95.5556,88963594,checkpoints/rsfm_eurosat_vre_fft_20260417_144021.pt
olmoearth-base,eurosat,nir,fft,20,0.0005,0.01,32,Acc,92.8519,93.3704,88963594,checkpoints/rsfm_eurosat_nir_fft_20260417_144109.pt
olmoearth-large,benv2,s2,fft,20,0.0001,0.01,32,mAP,66.1445,62.515,307792915,checkpoints/rsfm_benv2_s2_fft_20260417_144518.pt
olmoearth-base,eurosat,rgb,fft,20,0.0001,0.01,32,Acc,97.5556,97.3333,88963594,checkpoints/rsfm_eurosat_rgb_fft_20260417_144750.pt
olmoearth-base,eurosat,s2,fft,20,0.0001,0.01,32,Acc,99.0,98.7407,88963594,checkpoints/rsfm_eurosat_s2_fft_20260417_145411.pt
olmoearth-base,benv2,s2,fft,20,0.0005,0.0,32,mAP,68.7529,64.3683,88970515,checkpoints/rsfm_benv2_s2_fft_20260417_145627.pt
olmoearth-base,benv2,s1,fft,20,0.0005,0.0,32,mAP,56.7495,55.0582,88970515,checkpoints/rsfm_benv2_s1_fft_20260417_145939.pt
olmoearth-base,eurosat,vre,fft,20,0.0001,0.01,32,Acc,95.2222,95.2593,88963594,checkpoints/rsfm_eurosat_vre_fft_20260417_150215.pt
olmoearth-base,eurosat,swir,fft,20,0.0005,0.0001,32,Acc,94.1111,93.7407,88963594,checkpoints/rsfm_eurosat_swir_fft_20260417_150402.pt
