model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
olmoearth-large,benv2,s2,fft,20,0.0005,0.0001,64,mAP,60.0337,59.3103,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_125624.pt
olmoearth-large,benv2,s2,fft,20,0.0005,1e-05,64,mAP,58.9922,57.3995,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_132616.pt
olmoearth-large,benv2,s2s1,fft,20,0.0005,0.0001,64,mAP,61.0587,59.7477,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260416_134453.pt
olmoearth-large,benv2,s1,fft,20,0.0005,1e-05,64,mAP,48.2848,41.2596,307792915,checkpoints/rsfm_benv2_s1_fft_20260416_134513.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0005,0.0001,64,mAP,50.7470,21.8968,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_135056.pt
olmoearth-large,benv2,s2,fft,20,0.0001,0.0001,64,mAP,67.4825,63.5995,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_135605.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.0005,0.0001,32,mAP,63.6428,57.9793,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_140309.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0005,1e-05,32,mAP,55.2649,23.6097,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_142056.pt
olmoearth-large,benv2,s1,fft,20,0.0001,0.0001,32,mAP,53.4274,49.7205,307792915,checkpoints/rsfm_benv2_s1_fft_20260416_142447.pt
olmoearth-large,benv2,s2s1,fft,20,0.0005,1e-05,32,mAP,59.9804,45.6131,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260416_142518.pt
olmoearth-large,benv2,s2,fft,20,0.0001,1e-05,32,mAP,66.4683,63.7406,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_142735.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.0001,0.0001,32,mAP,64.1729,59.0231,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_143202.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0001,0.0001,32,mAP,60.4271,56.7682,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_145102.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.0001,1e-05,32,mAP,64.8600,58.6390,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_145526.pt
