starting_modality,new_modality,ssl_lr,epochs,mask_ratio,modality_dropout,trainable_params,transfer_acc,peeking_acc,addition_acc,addition_ens_acc,stage0_checkpoint,shote2e_checkpoint
nir,rgb,0.0001,256,0.75,0.4,47172628,76.2,77.81,70.24,83.2,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
nir,swir,0.0001,256,0.75,0.4,46975764,77.17,78.22,71.61,82.3,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
nir,vre,0.0001,256,0.75,0.4,47172628,79.09,77.57,78.43,80.04,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
rgb,nir,0.0001,256,0.75,0.4,47172628,76.52,88.22,89.02,89.54,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
rgb,swir,0.0001,256,0.75,0.4,47172628,82.94,88.22,85.85,89.61,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
rgb,vre,0.0001,256,0.75,0.4,47369492,85.72,88.56,82.7,90.41,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
swir,nir,0.0001,256,0.75,0.4,46975764,75.31,86.02,86.0,87.54,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_nir.pt
swir,rgb,0.0001,256,0.75,0.4,47172628,84.33,85.83,86.35,88.57,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_rgb.pt
swir,vre,0.0001,256,0.75,0.4,47172628,84.33,86.15,81.69,87.54,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_vre.pt
vre,nir,0.0001,256,0.75,0.4,47172628,74.13,89.67,88.91,87.43,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_nir.pt
vre,rgb,0.0001,256,0.75,0.4,47369492,85.74,89.26,89.28,90.44,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_rgb.pt
vre,swir,0.0001,256,0.75,0.4,47172628,85.98,89.46,88.83,90.17,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_swir.pt
