starting_modality,new_modality,ssl_mode,ssl_lr,fusion_epochs,mask_ratio,modality_dropout,train_components,trainable_params,stage0_checkpoint,shote2e_checkpoint
rgb,vre,shot,0.0001,128,0.75,0.4,full,37870848,checkpoints/evan_eurosat_stage0_rgb_20260121_025639.pt,checkpoints/presetC.pt
rgb,vre,shot,0.0001,128,0.75,0.4,full,37870848,checkpoints/evan_eurosat_stage0_rgb_20260121_025639.pt,checkpoints/presetC.pt
rgb,vre,shot,0.0001,32,0.75,0.4,full,37870848,checkpoints/evan_eurosat_stage0_rgb_20260121_025639.pt,checkpoints/presetD.pt
rgb,vre,shot,0.0001,128,0.85,0.5,full,37870848,checkpoints/evan_eurosat_stage0_rgb_20260121_025639.pt,checkpoints/presetE.pt
rgb,swir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/evan_eurosat_stage0_rgb_20260121_025639.pt,checkpoints/rgb2swir.pt
rgb,nir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/evan_eurosat_stage0_rgb_20260121_025639.pt,checkpoints/rgb2nir.pt
rgb,nir,shot,0.0001,64,0.85,0.5,full,43297280,checkpoints/evan_eurosat_stage0_vre_20260121_030018.pt,checkpoints/vre2swir.pt
rgb,swir,shot,0.0001,64,0.85,0.5,full,43297280,checkpoints/evan_eurosat_stage0_vre_20260121_030018.pt,checkpoints/vre2swir.pt
rgb,vre,shot,0.0001,64,0.85,0.5,full,43395840,checkpoints/evan_eurosat_stage0_swir_20260121_030447.pt,checkpoints/swir2vre.pt
vre,swir,shot,0.0001,4,0.85,0.5,full,37673984,checkpoints/evan_eurosat_stage0_vre_20260123_192633.pt,checkpoints/vre2swir.pt
vre,swir,shot,0.0001,1,0.85,0.5,full,37673984,checkpoints/vre_fft.pt,checkpoints/vre_to_swir.pt
rgb,swir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/rgb_fft.pt,checkpoints/rgb_to_vre.pt
rgb,swir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/rgb_fft.pt,checkpoints/rgb_to_nir.pt
vre,swir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/vre_fft.pt,checkpoints/vre_to_swir.pt
vre,swir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/vre_fft.pt,checkpoints/vre_to_nir.pt
vre,swir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/vre_fft.pt,checkpoints/vre_to_rgb.pt
rgb,swir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/rgb_fft.pt,checkpoints/rgb_to_swir.pt
rgb,nir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/rgb_fft.pt,checkpoints/rgb_to_nir.pt
rgb,vre,shot,0.0001,64,0.85,0.5,full,37870848,checkpoints/rgb_fft.pt,checkpoints/rgb_to_vre.pt
vre,rgb,shot,0.0001,64,0.85,0.5,full,37870848,checkpoints/vre_fft.pt,checkpoints/vre_to_rgb.pt
rgb,swir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/rgb_fft.pt,checkpoints/rgb_to_swir.pt
vre,nir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/vre_fft.pt,checkpoints/vre_to_nir.pt
vre,swir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/vre_fft.pt,checkpoints/vre_to_swir.pt
vre,rgb,shot,0.0001,64,0.85,0.5,full,37870848,checkpoints/vre_fft.pt,checkpoints/vre_to_rgb.pt
rgb,swir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/rgb_fft.pt,checkpoints/rgb_to_swir.pt
rgb,vre,shot,0.0001,64,0.85,0.5,full,37870848,checkpoints/rgb_fft.pt,checkpoints/rgb_to_vre.pt
vre,nir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/vre_fft.pt,checkpoints/vre_to_nir.pt
rgb,nir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/rgb_fft.pt,checkpoints/rgb_to_nir.pt
vre,swir,shot,0.0001,64,0.85,0.5,full,37673984,checkpoints/vre_fft.pt,checkpoints/vre_to_swir.pt
nir,rgb,shot,0.0001,64,0.85,0.5,full,37772544,checkpoints/nir_fft.pt,checkpoints/nir_to_rgb.pt
nir,vre,shot,0.0001,64,0.85,0.5,full,37772544,checkpoints/nir_fft.pt,checkpoints/nir_to_vre.pt
nir,swir,shot,0.0001,64,0.85,0.5,full,37575680,checkpoints/nir_fft.pt,checkpoints/nir_to_swir.pt
swir,rgb,shot,0.0001,64,0.85,0.5,full,37772544,checkpoints/swir_fft.pt,checkpoints/swir_to_rgb.pt
swir,vre,shot,0.0001,64,0.85,0.5,full,37772544,checkpoints/swir_fft.pt,checkpoints/swir_to_vre.pt
swir,nir,shot,0.0001,64,0.85,0.5,full,37575680,checkpoints/swir_fft.pt,checkpoints/swir_to_nir.pt
vre,swir,shot,0.0001,4,0.85,0.5,full,38859008,checkpoints/vre_fft.pt,checkpoints/vre_to_swir.pt
rgb,vre,shot,0.0001,64,0.85,0.5,full,39055872,checkpoints/rgb_fft.pt,checkpoints/rgb_to_vre.pt
rgb,nir,shot,0.0001,64,0.85,0.5,full,38859008,checkpoints/rgb_fft.pt,checkpoints/rgb_to_nir.pt
rgb,swir,shot,0.0001,64,0.85,0.5,full,38859008,checkpoints/rgb_fft.pt,checkpoints/rgb_to_swir.pt
vre,rgb,shot,0.0001,64,0.85,0.5,full,39055872,checkpoints/vre_fft.pt,checkpoints/vre_to_rgb.pt
vre,nir,shot,0.0001,64,0.85,0.5,full,38859008,checkpoints/vre_fft.pt,checkpoints/vre_to_nir.pt
vre,swir,shot,0.0001,64,0.85,0.5,full,38859008,checkpoints/vre_fft.pt,checkpoints/vre_to_swir.pt
nir,rgb,shot,0.0001,64,0.85,0.5,full,38957568,checkpoints/nir_fft.pt,checkpoints/nir_to_rgb.pt
nir,vre,shot,0.0001,64,0.85,0.5,full,38957568,checkpoints/nir_fft.pt,checkpoints/nir_to_vre.pt
swir,rgb,shot,0.0001,64,0.85,0.5,full,38957568,checkpoints/swir_fft.pt,checkpoints/swir_to_rgb.pt
nir,swir,shot,0.0001,64,0.85,0.5,full,38760704,checkpoints/nir_fft.pt,checkpoints/nir_to_swir.pt
swir,vre,shot,0.0001,64,0.85,0.5,full,38957568,checkpoints/swir_fft.pt,checkpoints/swir_to_vre.pt
swir,nir,shot,0.0001,64,0.85,0.5,full,38760704,checkpoints/swir_fft.pt,checkpoints/swir_to_nir.pt
rgb,swir,shot,0.0001,64,0.85,0.5,full,42407936,checkpoints/rgb_fft.pt,checkpoints/rgb_to_swir.pt
rgb,vre,shot,0.0001,64,0.85,0.5,full,42604800,checkpoints/rgb_fft.pt,checkpoints/rgb_to_vre.pt
rgb,nir,shot,0.0001,64,0.85,0.5,full,42407936,checkpoints/rgb_fft.pt,checkpoints/rgb_to_nir.pt
vre,rgb,shot,0.0001,64,0.85,0.5,full,42604800,checkpoints/vre_fft.pt,checkpoints/vre_to_rgb.pt
vre,nir,shot,0.0001,64,0.85,0.5,full,42407936,checkpoints/vre_fft.pt,checkpoints/vre_to_nir.pt
nir,swir,shot,0.0001,64,0.85,0.5,full,42309632,checkpoints/nir_fft.pt,checkpoints/nir_to_swir.pt
nir,vre,shot,0.0001,64,0.85,0.5,full,42506496,checkpoints/nir_fft.pt,checkpoints/nir_to_vre.pt
vre,swir,shot,0.0001,64,0.85,0.5,full,42407936,checkpoints/vre_fft.pt,checkpoints/vre_to_swir.pt
nir,rgb,shot,0.0001,64,0.85,0.5,full,42506496,checkpoints/nir_fft.pt,checkpoints/nir_to_rgb.pt
swir,rgb,shot,0.0001,64,0.85,0.5,full,42506496,checkpoints/swir_fft.pt,checkpoints/swir_to_rgb.pt
swir,vre,shot,0.0001,64,0.85,0.5,full,42506496,checkpoints/swir_fft.pt,checkpoints/swir_to_vre.pt
swir,nir,shot,0.0001,64,0.85,0.5,full,42309632,checkpoints/swir_fft.pt,checkpoints/swir_to_nir.pt
rgb,vre,shot,0.0001,64,0.85,0.5,full,42604800,checkpoints/rgb_fft.pt,checkpoints/rgb_to_vre.pt
rgb,nir,shot,0.0001,64,0.85,0.5,full,42407936,checkpoints/rgb_fft.pt,checkpoints/rgb_to_nir.pt
rgb,swir,shot,0.0001,64,0.85,0.5,full,42407936,checkpoints/rgb_fft.pt,checkpoints/rgb_to_swir.pt
vre,rgb,shot,0.0001,64,0.85,0.5,full,42604800,checkpoints/vre_fft.pt,checkpoints/vre_to_rgb.pt
vre,nir,shot,0.0001,64,0.85,0.5,full,42407936,checkpoints/vre_fft.pt,checkpoints/vre_to_nir.pt
vre,swir,shot,0.0001,64,0.85,0.5,full,42407936,checkpoints/vre_fft.pt,checkpoints/vre_to_swir.pt
nir,swir,shot,0.0001,64,0.85,0.5,full,42309632,checkpoints/nir_fft.pt,checkpoints/nir_to_swir.pt
nir,vre,shot,0.0001,64,0.85,0.5,full,42506496,checkpoints/nir_fft.pt,checkpoints/nir_to_vre.pt
swir,rgb,shot,0.0001,64,0.85,0.5,full,42506496,checkpoints/swir_fft.pt,checkpoints/swir_to_rgb.pt
nir,rgb,shot,0.0001,64,0.85,0.5,full,42506496,checkpoints/nir_fft.pt,checkpoints/nir_to_rgb.pt
