starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,trainable_params,active_losses,transfer_acc,peeking_acc,addition_acc,addition_ens_acc,stage0_checkpoint,shote2e_checkpoint
vre,nir,0.0001,0.01,128,0.75,0.4,0.4,0.5,47172628,all,74.24,90.87,89.54,88.70,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_nir.pt
nir,vre,0.0001,0.01,128,0.75,0.4,0.4,0.5,47172628,all,77.65,79.65,72.57,81.26,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
rgb,nir,0.0001,0.01,128,0.75,0.4,0.4,0.5,47172628,all,74.00,88.11,88.87,89.85,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
nir,swir,0.0001,0.01,128,0.75,0.4,0.4,0.5,47172628,all,78.63,78.98,71.52,84.15,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
vre,swir,0.0001,0.01,128,0.75,0.4,0.4,0.5,47369492,all,85.24,90.65,89.67,90.91,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_swir.pt
rgb,swir,0.0001,0.01,128,0.75,0.4,0.4,0.5,47369492,all,81.41,88.37,83.20,90.74,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
nir,rgb,0.0001,0.01,128,0.75,0.4,0.4,0.5,47172628,all,76.87,79.20,65.02,84.04,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
rgb,vre,0.0001,0.01,128,0.75,0.4,0.4,0.5,47369492,all,83.52,88.07,82.78,90.78,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
vre,rgb,0.0001,0.01,128,0.75,0.4,0.4,0.5,47369492,all,82.69,90.63,90.13,91.13,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_rgb.pt
swir,vre,0.0001,0.01,128,0.75,0.4,0.4,0.5,47369492,all,82.52,86.44,83.17,87.56,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_vre.pt
swir,rgb,0.0001,0.01,128,0.75,0.4,0.4,0.5,47369492,all,82.59,86.46,86.13,88.70,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_rgb.pt
vre,nir,0.0001,0.01,160,0.75,0.4,0.4,0.5,47172628,all,74.26,89.94,89.41,88.02,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_nir.pt
rgb,nir,0.0001,0.01,160,0.75,0.4,0.4,0.5,47172628,all,76.43,85.17,86.24,89.57,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
rgb,vre,0.0001,0.01,160,0.75,0.4,0.4,0.5,47369492,all,83.00,88.28,80.69,90.43,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
vre,rgb,0.0001,0.01,160,0.75,0.4,0.4,0.5,47369492,all,84.44,90.98,90.19,91.48,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_rgb.pt
vre,swir,0.0001,0.01,160,0.75,0.4,0.4,0.5,47369492,all,84.65,90.09,89.70,90.80,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_swir.pt
rgb,swir,0.0001,0.01,160,0.75,0.4,0.4,0.5,47369492,all,81.91,87.76,84.09,90.28,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
nir,swir,0.0001,0.01,160,0.75,0.4,0.4,0.5,47172628,all,77.87,78.61,71.57,83.06,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
nir,vre,0.0001,0.01,160,0.75,0.4,0.4,0.5,47172628,all,78.31,79.39,73.98,81.13,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
nir,rgb,0.0001,0.01,160,0.75,0.4,0.4,0.5,47172628,all,77.61,78.39,62.67,83.96,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
swir,vre,0.0001,0.01,160,0.75,0.4,0.4,0.5,47369492,all,82.22,86.35,83.17,87.22,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_vre.pt
swir,rgb,0.0001,0.01,160,0.75,0.4,0.4,0.5,47369492,all,82.37,86.28,86.61,88.67,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_rgb.pt
swir,nir,0.0001,0.01,160,0.75,0.4,0.4,0.5,47172628,all,74.13,85.30,85.22,87.70,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_nir.pt
