wandb_run_id,starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,use_mae,use_latent,trainable_params,active_losses,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,shote2e_checkpoint
hrc3urn1,rgb,nir,1.6481585622952472e-05,1.1339743394011436e-05,64,0.3005431675476987,0.22715177471955883,0.6103620540948891,0.8921194495884319,True,True,47172628,prefusion+distill+ce+mae+latent,61.96,66.48,87.85,88.41,94.19,88.00,74.91,90.37,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_hrc3urn1_0203_2151.pt
czza8bqn,rgb,nir,6.138719059851809e-05,1.8012881822732012e-05,64,0.38060887110198416,0.12246120179054289,0.32370654580115726,0.5316724708765149,True,True,47172628,prefusion+distill+ce+mae+latent,64.19,69.43,88.15,88.69,92.52,88.67,76.17,91.11,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_czza8bqn_0203_2154.pt
w776gd1g,rgb,vre,0.00014861600089000065,0.019119712684129625,64,0.3822397550612435,0.4337048854588784,0.10898080562810346,0.5165359050352866,True,True,47369492,prefusion+distill+ce+mae+latent,79.67,85.09,85.63,86.06,87.81,89.28,82.63,90.37,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_w776gd1g_0203_2200.pt
izg213bf,rgb,nir,9.270612611882344e-05,0.029360612819083615,64,0.8765477967533283,0.438679032622029,0.38729206018135914,0.9969933037427658,True,True,47172628,prefusion+distill+ce+mae+latent,72.67,78.94,86.48,86.96,89.59,86.19,79.56,90.93,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_izg213bf_0203_2200.pt
7yye0vd8,rgb,nir,0.0002320446046199052,0.0004216941343439358,64,0.6906564008640863,0.4661010181972534,0.08007368869201562,0.8710671617690587,True,True,47172628,prefusion+distill+ce+mae+latent,72.41,78.26,86.37,86.26,88.41,87.72,79.37,90.17,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_7yye0vd8_0203_2200.pt
gyuys87o,rgb,nir,8.890392630868419e-05,7.817674082317068e-05,64,0.6154315190073467,0.24286626619648857,0.3155475863170731,0.0982414270146862,True,True,47172628,prefusion+distill+ce+mae+latent,69.67,75.52,88.07,88.35,91.70,88.39,78.83,91.74,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_gyuys87o_0203_2201.pt
7mb73ao4,rgb,nir,2.073969710360133e-05,1.5608585773543658e-05,64,0.3257175362654052,0.21156228301325825,0.35263172368248874,0.9299149173398724,True,True,47172628,prefusion+distill+ce+mae+latent,61.85,67.09,87.04,87.91,94.11,87.87,74.44,90.37,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_7mb73ao4_0203_2201.pt
x86ib4ni,rgb,swir,6.490677090241384e-05,0.003446795426356799,64,0.5172097164394313,0.18317194946991872,0.6855259089796566,0.9663699648116958,True,True,47369492,prefusion+distill+ce+mae+latent,77.70,81.50,86.63,87.46,87.70,87.09,82.07,90.19,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_x86ib4ni_0203_2201.pt
dswmrx8p,rgb,vre,3.3521891028977e-05,0.023405513935490008,64,0.4034232963472616,0.24728227087286725,0.6414823521553483,0.8472356029179196,True,True,47369492,prefusion+distill+ce+mae+latent,78.41,83.74,87.63,88.19,88.63,87.43,83.02,90.87,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_dswmrx8p_0203_2202.pt
3iwsemft,rgb,swir,5.646538326979767e-05,0.00026256744985417513,64,0.8527217489637956,0.1963154528585719,0.22252875556475307,0.6778594128650041,True,True,47369492,prefusion+distill+ce+mae+latent,77.89,81.70,87.85,88.44,80.07,78.61,82.87,90.19,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_3iwsemft_0203_2203.pt
k7parb0q,rgb,nir,8.167386026483078e-05,0.00012157129603767734,64,0.7553046514375236,0.3548984680940116,0.4234745541939931,0.5694327350714073,True,True,47172628,prefusion+distill+ce+mae+latent,70.22,76.20,87.59,87.46,90.59,87.80,78.67,91.11,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_k7parb0q_0203_2206.pt
90cd4ife,rgb,nir,0.00017448104971015826,0.013790159724950363,64,0.7056290262687462,0.15633525067362256,0.8394661798644474,0.5047403607468249,True,True,47172628,prefusion+distill+ce+mae+latent,65.44,70.00,87.33,88.06,90.59,88.48,76.39,91.28,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_90cd4ife_0203_2207.pt
5nncgdlt,rgb,vre,0.00034621693511552375,0.018787936917525987,64,0.2856943688673067,0.3587082464259248,0.774773784297588,0.4662589158864658,True,True,47369492,prefusion+distill+ce+mae+latent,79.63,83.37,88.52,88.67,87.67,88.98,83.76,91.20,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_5nncgdlt_0203_2214.pt
lw8hy5p0,rgb,vre,0.00015240290240529084,0.06217796218306653,64,0.15860310187284404,0.33264361808164544,0.7421552521485386,0.4632819013372562,True,True,47369492,prefusion+distill+ce+mae+latent,79.59,85.41,87.85,88.94,89.48,90.02,83.65,91.22,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_lw8hy5p0_0203_2217.pt
d52hht56,rgb,swir,5.8590761581173715e-05,0.017771346407031832,64,0.35357357708667025,0.4441694002795724,0.46611429854539527,0.0777878253298423,True,True,47369492,prefusion+distill+ce+mae+latent,78.81,83.80,88.67,88.81,89.78,88.52,83.74,90.89,checkpoints/rgb_randinit_fft.pt,checkpoints/sweep_d52hht56_0203_2219.pt
0xc5uvol,nir,rgb,1.0688493538439898e-05,0.0030435595135816663,64,0.21813456281015384,0.4748330333147446,0.08039153474864495,0.11613930598815292,True,True,47172628,prefusion+distill+ce+mae+latent,64.67,75.80,77.44,78.70,77.56,79.00,70.91,84.91,checkpoints/nir_randinit_fft.pt,checkpoints/sweep_0xc5uvol_0203_2220.pt
