checkpoint,num_supervised_epochs,starting_modality,supported_modalities,eval_type,real_modality,hallucinated_modality,test_acc,best_test_acc
checkpoints/rgb_to_nir.pt,36,rgb,rgb+nir,delulu-transfer,nir,rgb,90.70370370370371,90.85185185185185
checkpoints/rgb_to_nir.pt,36,rgb,rgb+nir,delulu-addition,rgb+nir,,98.61111111111111,98.83333333333333
checkpoints/rgb_to_nir.pt,36,rgb,rgb+nir,delulu-peeking,rgb,nir,98.62962962962963,98.83333333333333
checkpoints/rgb_to_vre.pt,36,rgb,rgb+vre,delulu-transfer,vre,rgb,96.98148148148148,97.05555555555556
checkpoints/rgb_to_vre.pt,36,rgb,rgb+vre,delulu-addition,rgb+vre,,98.57407407407408,98.61111111111111
checkpoints/rgb_to_vre.pt,36,rgb,rgb+vre,delulu-peeking,rgb,vre,98.42592592592592,98.5
checkpoints/vre_to_rgb.pt,36,vre,vre+rgb,delulu-transfer,rgb,vre,87.5,88.70370370370371
checkpoints/vre_to_rgb.pt,36,vre,vre+rgb,delulu-addition,vre+rgb,,89.83333333333333,90.27777777777777
checkpoints/vre_to_rgb.pt,36,vre,vre+rgb,delulu-peeking,vre,rgb,89.88888888888889,90.35185185185185
checkpoints/rgb_to_swir.pt,36,rgb,rgb+swir,delulu-transfer,swir,rgb,93.66666666666667,93.87037037037037
checkpoints/rgb_to_swir.pt,36,rgb,rgb+swir,delulu-addition,rgb+swir,,98.33333333333333,98.44444444444444
checkpoints/rgb_to_swir.pt,36,rgb,rgb+swir,delulu-peeking,rgb,swir,98.27777777777777,98.4074074074074
checkpoints/nir_to_swir.pt,36,nir,nir+swir,delulu-transfer,swir,nir,81.61111111111111,84.0
checkpoints/nir_to_swir.pt,36,nir,nir+swir,delulu-addition,nir+swir,,83.62962962962963,85.35185185185185
checkpoints/nir_to_swir.pt,36,nir,nir+swir,delulu-peeking,nir,swir,79.64814814814815,80.53703703703704
checkpoints/nir_to_rgb.pt,36,nir,nir+rgb,delulu-transfer,rgb,nir,83.57407407407408,85.4074074074074
checkpoints/nir_to_rgb.pt,36,nir,nir+rgb,delulu-addition,nir+rgb,,83.20370370370371,83.98148148148148
checkpoints/nir_to_rgb.pt,36,nir,nir+rgb,delulu-peeking,nir,rgb,80.9074074074074,81.77777777777777
checkpoints/nir_to_vre.pt,36,nir,nir+vre,delulu-transfer,vre,nir,78.37037037037037,80.03703703703704
checkpoints/nir_to_vre.pt,36,nir,nir+vre,delulu-addition,nir+vre,,79.07407407407408,80.61111111111111
checkpoints/nir_to_vre.pt,36,nir,nir+vre,delulu-peeking,nir,vre,79.5,80.22222222222223
checkpoints/vre_to_nir.pt,36,vre,vre+nir,delulu-transfer,nir,vre,75.48148148148148,77.0925925925926
checkpoints/vre_to_nir.pt,36,vre,vre+nir,delulu-addition,vre+nir,,89.11111111111111,89.66666666666667
checkpoints/vre_to_nir.pt,36,vre,vre+nir,delulu-peeking,vre,nir,89.35185185185185,89.68518518518519
checkpoints/vre_to_swir.pt,36,vre,vre+swir,delulu-transfer,swir,vre,85.46296296296296,86.22222222222223
checkpoints/vre_to_swir.pt,36,vre,vre+swir,delulu-addition,vre+swir,,89.14814814814815,89.38888888888889
checkpoints/vre_to_swir.pt,36,vre,vre+swir,delulu-peeking,vre,swir,89.44444444444444,89.83333333333333
checkpoints/swir_to_vre.pt,36,swir,swir+vre,delulu-transfer,vre,swir,84.83333333333333,86.74074074074075
checkpoints/swir_to_vre.pt,36,swir,swir+vre,delulu-addition,swir+vre,,86.81481481481481,87.92592592592592
checkpoints/swir_to_vre.pt,36,swir,swir+vre,delulu-peeking,swir,vre,87.33333333333333,88.11111111111111
checkpoints/swir_to_rgb.pt,36,swir,swir+rgb,delulu-transfer,rgb,swir,85.18518518518519,86.98148148148148
checkpoints/swir_to_rgb.pt,36,swir,swir+rgb,delulu-addition,swir+rgb,,87.87037037037037,88.61111111111111
checkpoints/swir_to_rgb.pt,36,swir,swir+rgb,delulu-peeking,swir,rgb,87.9074074074074,88.35185185185185
checkpoints/swir_to_nir.pt,36,swir,swir+nir,delulu-transfer,nir,swir,74.11111111111111,75.70370370370371
checkpoints/swir_to_nir.pt,36,swir,swir+nir,delulu-addition,swir+nir,,87.72222222222223,88.4074074074074
checkpoints/swir_to_nir.pt,36,swir,swir+nir,delulu-peeking,swir,nir,88.01851851851852,88.29629629629629
