dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init
benv2,evan_large,s2,fft,32,fft,0.001,0.0,305532947,24,64.98,69.14,mAP,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,clstoken,True
benv2,evan_large,s2,fft,32,fft,0.0005,0.0,305532947,24,65.42,66.81,mAP,checkpoints/sft_evan_large_benv2_s2_fft_lr0.0005_20260418_053909.pt,clstoken,True
benv2,evan_large,s1,fft,32,fft,0.0001,0.0,302911507,24,47.60,50.72,mAP,checkpoints/sft_evan_large_benv2_s1_fft_lr0.0001_20260418_054231.pt,clstoken,True
benv2,evan_large,s2,fft,32,fft,0.0001,0.0,305532947,24,62.72,65.34,mAP,checkpoints/sft_evan_large_benv2_s2_fft_lr0.0001_20260418_054037.pt,clstoken,True
benv2,evan_large,s2+s1,fft,32,fft,0.001,0.0,343859219,24,64.08,68.66,mAP,checkpoints/sft_evan_large_benv2_s2+s1_fft_lr0.001_20260418_054354.pt,clstoken,True
benv2,evan_large,s2+s1,fft,32,fft,0.001,0.01,343859219,24,63.64,69.57,mAP,checkpoints/sft_evan_large_benv2_s2+s1_fft_lr0.001_20260418_054342.pt,clstoken,True
benv2,evan_large,s1,fft,32,fft,0.0005,0.0,302911507,24,48.23,52.76,mAP,checkpoints/sft_evan_large_benv2_s1_fft_lr0.0005_20260418_054107.pt,clstoken,True
benv2,evan_large,s1,fft,32,fft,0.001,0.0,302911507,24,51.50,54.58,mAP,checkpoints/sft_evan_large_benv2_s1_fft_lr0.001_20260418_054056.pt,clstoken,True
benv2,evan_large,s2+s1,fft,32,fft,0.0005,0.01,343859219,24,63.47,68.09,mAP,checkpoints/sft_evan_large_benv2_s2+s1_fft_lr0.0005_20260418_054734.pt,clstoken,True
benv2,evan_large,s2+s1,fft,32,fft,0.0005,0.0,343859219,24,64.17,68.41,mAP,checkpoints/sft_evan_large_benv2_s2+s1_fft_lr0.0005_20260418_054742.pt,clstoken,True
benv2,evan_large,s2+s1,fft,32,fft,0.0001,0.01,343859219,24,61.10,63.66,mAP,checkpoints/sft_evan_large_benv2_s2+s1_fft_lr0.0001_20260418_055805.pt,clstoken,True
benv2,evan_large,s2+s1,fft,32,fft,0.0001,0.0,343859219,24,61.18,64.20,mAP,checkpoints/sft_evan_large_benv2_s2+s1_fft_lr0.0001_20260418_060022.pt,clstoken,True
benv2,evan_base,s2,fft,32,fft,0.0001,0.0,87453715,24,58.31,62.51,mAP,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0001_20260418_064136.pt,clstoken,True
benv2,evan_base,s2,fft,32,fft,0.0005,0.0,87453715,24,59.27,63.52,mAP,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260418_064136.pt,clstoken,True
benv2,evan_base,s1,fft,32,fft,0.0005,0.0,85487635,24,49.23,52.02,mAP,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,clstoken,True
benv2,evan_large,s2_rgb,fft,32,fft,0.001,0.0,303173651,24,65.88,70.14,mAP,checkpoints/sft_evan_large_benv2_s2_rgb_fft_lr0.001_20260418_063509.pt,clstoken,True
benv2,evan_large,s2_rgb,fft,32,fft,0.0005,0.0,303173651,24,65.49,69.66,mAP,checkpoints/sft_evan_large_benv2_s2_rgb_fft_lr0.0005_20260418_063509.pt,clstoken,True
benv2,evan_large,s2_rgb,fft,32,fft,0.0001,0.0,303173651,24,63.38,67.02,mAP,checkpoints/sft_evan_large_benv2_s2_rgb_fft_lr0.0001_20260418_063831.pt,clstoken,True
benv2,evan_base,s1,fft,32,fft,0.001,0.0,85487635,24,48.64,51.08,mAP,checkpoints/sft_evan_base_benv2_s1_fft_lr0.001_20260418_064136.pt,clstoken,True
benv2,evan_base,s2+s1,fft,32,fft,0.0005,0.0,109120531,24,61.49,66.92,mAP,checkpoints/sft_evan_base_benv2_s2+s1_fft_lr0.0005_20260418_064727.pt,clstoken,True
benv2,evan_base,s1,fft,32,fft,0.0001,0.0,85487635,24,44.66,47.59,mAP,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260418_064303.pt,clstoken,True
benv2,evan_base,s2+s1,fft,32,fft,0.001,0.01,109120531,24,61.60,65.27,mAP,checkpoints/sft_evan_base_benv2_s2+s1_fft_lr0.001_20260418_064319.pt,clstoken,True
benv2,evan_base,s2+s1,fft,32,fft,0.0005,0.01,109120531,24,58.45,64.25,mAP,checkpoints/sft_evan_base_benv2_s2+s1_fft_lr0.0005_20260418_064708.pt,clstoken,True
benv2,evan_base,s2+s1,fft,32,fft,0.0001,0.01,109120531,24,57.64,62.70,mAP,checkpoints/sft_evan_base_benv2_s2+s1_fft_lr0.0001_20260418_065053.pt,clstoken,True
benv2,evan_base,s2+s1,fft,32,fft,0.001,0.0,109120531,24,59.14,63.25,mAP,checkpoints/sft_evan_base_benv2_s2+s1_fft_lr0.001_20260418_064651.pt,clstoken,True
benv2,evan_base,s2_rgb,fft,32,fft,0.001,0.0,85684243,24,64.06,68.92,mAP,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.001_20260418_070320.pt,clstoken,True
benv2,evan_base,s2_rgb,fft,32,fft,0.0005,0.0,85684243,24,63.37,69.04,mAP,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt,clstoken,True
benv2,evan_base,s2_rgb,fft,32,fft,0.0001,0.0,85684243,24,61.71,65.30,mAP,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0001_20260418_072757.pt,clstoken,True
benv2,evan_base,s2,fft,32,fft,0.0005,0.0,87453715,24,60.16,64.96,mAP,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260418_112951.pt,clstoken,True
benv2,evan_base,s2,fft,32,fft,0.001,0.0,87453715,24,61.28,65.38,mAP,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,clstoken,True
benv2,evan_base,s2+s1,fft,32,fft,0.001,0.01,109120531,24,60.26,63.65,mAP,checkpoints/sft_evan_base_benv2_s2+s1_fft_lr0.001_20260418_113257.pt,clstoken,True
benv2,evan_base,s2,fft,32,fft,0.0001,0.0,87453715,24,59.56,62.08,mAP,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0001_20260418_113156.pt,clstoken,True
benv2,evan_base,s2+s1,fft,32,fft,0.0005,0.01,109120531,24,59.38,64.49,mAP,checkpoints/sft_evan_base_benv2_s2+s1_fft_lr0.0005_20260418_113325.pt,clstoken,True
benv2,evan_base,s2+s1,fft,32,fft,0.001,0.0,109120531,24,61.48,64.14,mAP,checkpoints/sft_evan_base_benv2_s2+s1_fft_lr0.001_20260418_113325.pt,clstoken,True
benv2,evan_base,s2+s1,fft,32,fft,0.0005,0.0,109120531,24,62.81,64.85,mAP,checkpoints/sft_evan_base_benv2_s2+s1_fft_lr0.0005_20260418_113728.pt,clstoken,True
benv2,evan_base,s2+s1,fft,32,fft,0.0001,0.0,109120531,24,58.81,61.02,mAP,checkpoints/sft_evan_base_benv2_s2+s1_fft_lr0.0001_20260418_114737.pt,clstoken,True
