dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init,num_time_steps,decoder,train_aug,train_split
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0001,0.01,85675784,24,39.65,54.42,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260812_042422.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0001,0.0,85675784,24,47.85,54.88,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260812_042434.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.0,85675784,24,42.89,53.83,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260812_042344.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.01,85675784,24,47.41,55.43,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260812_042336.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,107342600,24,44.50,55.30,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260812_042456.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,107342600,24,48.76,54.94,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260812_042618.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.01,107342600,24,50.86,56.15,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260812_042701.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.0,107342600,24,48.02,53.76,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260812_042809.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.0,85675784,24,49.74,55.28,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260812_042414.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.01,85675784,24,50.26,55.40,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260812_042336.pt,clstoken,True,12,linear,none,full
