dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init,num_time_steps,decoder,train_aug,train_split
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.01,85675784,24,55.94,56.49,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155253.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.0,85675784,24,56.33,56.79,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0001,0.01,85675784,24,54.82,55.11,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260820_155359.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0001,0.0,85675784,24,54.98,55.49,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260820_155420.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0005,0.01,87052040,24,56.51,56.50,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0005,0.0,87052040,24,56.05,56.25,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155502.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0001,0.0,87052040,24,53.50,52.88,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0001_20260820_155613.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s1,fft,32,fft,0.0005,0.0,85479176,24,44.86,43.93,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155708.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_norgb,fft,32,fft,0.0001,0.01,87052040,24,52.96,53.31,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0001_20260820_155523.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s1,fft,32,fft,0.0005,0.01,85479176,24,45.57,46.25,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s1,fft,32,fft,0.0001,0.01,85479176,24,42.23,42.14,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0001_20260820_155823.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s1,fft,32,fft,0.0001,0.0,85479176,24,42.39,41.83,mIoU,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0001_20260820_155941.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0005,0.01,85675784,24,56.89,58.08,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155335.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0001,0.0,85675784,24,56.26,57.32,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260820_155415.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb,fft,32,fft,0.0001,0.01,85675784,24,56.55,57.18,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260820_155418.pt,clstoken,True,12,linear,none,full
