dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init,num_time_steps,decoder,train_aug,train_split
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,107342600,24,55.87,56.24,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_155950.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,107342600,24,56.16,56.81,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_160108.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.0,107342600,24,54.52,54.75,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_160131.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.01,107342600,24,54.46,54.18,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_160123.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.01,108718856,24,56.39,56.88,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_160235.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.0,108718856,24,56.45,57.38,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_160232.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.01,108718856,24,53.40,52.61,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_160401.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.0,108718856,24,53.06,53.01,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_160547.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.0,108915464,24,56.13,56.56,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_160627.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.01,108915464,24,55.54,56.67,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_160607.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,107342600,24,57.44,58.40,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_160046.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.01,107342600,24,56.04,56.84,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_160131.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.01,108915464,24,54.30,54.42,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_160801.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.0,107342600,24,56.52,57.30,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_160127.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,107342600,24,57.47,58.33,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_160115.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.0,108718856,24,58.47,58.80,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_160328.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.0,108915464,24,54.29,54.96,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_160847.pt,clstoken,True,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.01,108718856,24,58.43,58.51,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_160222.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.01,108915464,24,57.70,58.43,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_160619.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.0,107342600,24,39.67,39.49,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_161331.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,107342600,24,47.01,46.57,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_161326.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.01,108718856,24,56.70,56.75,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_160453.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.0,108915464,24,57.68,58.47,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_160704.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,107342600,24,47.54,46.71,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_161312.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.0,108718856,24,56.39,56.73,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_160549.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.01,107342600,24,39.12,39.05,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_161415.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.01,108718856,24,53.04,52.86,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_161514.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.0,108915464,24,55.98,57.03,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_160850.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.01,108915464,24,56.25,56.65,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_160839.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.0,108718856,24,52.49,52.33,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_161556.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.0,108915464,24,47.19,46.32,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_161814.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.01,108718856,24,47.58,46.22,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_161710.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.0,108718856,24,47.92,46.76,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_161804.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.01,108915464,24,47.70,46.55,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_161906.pt,clstoken,False,12,linear,none,split1
