dataset,model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init,num_time_steps,decoder,train_aug,train_split,backbone_lr_mult
dfc2020,evan_base,s2_norgb,fft,0.0005,0.0,126387720,64,62.10,62.79,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260916_034041.pt,clstoken,True,12,upernet,none,split1,0.3
dfc2020,evan_base,s2_rgb,fft,0.0005,0.0,125011464,64,59.26,59.29,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_034052.pt,clstoken,True,12,upernet,none,split1,1.0
dfc2020,evan_base,s2_rgb,fft,0.0005,0.0,125011464,64,59.68,60.23,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_034056.pt,clstoken,True,12,upernet,none,split1,0.3
dfc2020,evan_base,s2_norgb,fft,0.0005,0.0,126387720,64,60.58,61.42,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260916_034056.pt,clstoken,True,12,upernet,none,split1,1.0
dfc2020,evan_base,s2,fft,0.0005,0.0,126977544,64,61.84,62.55,mIoU,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_034056.pt,clstoken,True,12,upernet,none,split1,1.0
dfc2020,evan_base,s2,fft,0.0005,0.0,126977544,64,63.42,63.65,mIoU,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_034056.pt,clstoken,True,12,upernet,none,split1,0.3
dfc2020,evan_base,s2_norgb+s1,fft,0.0005,0.0,148054536,64,64.01,64.80,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260916_034001.pt,clstoken,True,12,upernet,none,split1,0.3
dfc2020,evan_base,s2_norgb+s1,fft,0.0005,0.0,148054536,64,63.68,64.44,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260916_034017.pt,clstoken,True,12,upernet,none,split1,1.0
dfc2020,evan_base,s2_norgb,fft,0.0005,0.0,126387720,64,65.12,66.11,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260916_042132.pt,clstoken,False,12,upernet,none,split1,0.3
dfc2020,evan_base,s2_rgb,fft,0.0005,0.0,125011464,64,57.30,56.37,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_042230.pt,clstoken,False,12,upernet,none,split1,1.0
dfc2020,evan_base,s2_rgb,fft,0.0005,0.0,125011464,64,56.23,56.29,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_042356.pt,clstoken,False,12,upernet,none,split1,0.3
dfc2020,evan_base,s2_norgb,fft,0.0005,0.0,126387720,64,64.90,65.39,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260916_042420.pt,clstoken,False,12,upernet,none,split1,1.0
dfc2020,evan_base,s2,fft,0.0005,0.0,126977544,64,65.59,65.72,mIoU,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_042434.pt,clstoken,False,12,upernet,none,split1,1.0
dfc2020,evan_base,s2,fft,0.0005,0.0,126977544,64,65.97,66.57,mIoU,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_042444.pt,clstoken,False,12,upernet,none,split1,0.3
dfc2020,evan_base,s2_norgb+s1,fft,0.0005,0.0,148054536,64,67.48,68.34,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260916_043411.pt,clstoken,False,12,upernet,none,split1,0.3
dfc2020,evan_base,s2_norgb+s1,fft,0.0005,0.0,148054536,64,67.00,67.73,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260916_043421.pt,clstoken,False,12,upernet,none,split1,1.0
