dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init
eurosat,evan_base,rgb,fft,32,fft,0.0005,0.01,85677322,24,98.56,98.63,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_001701.pt,clstoken,True
eurosat,evan_base,rgb,fft,32,fft,0.001,0.01,85677322,24,98.20,98.11,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.001_20260418_001625.pt,clstoken,True
eurosat,evan_base,rgb,fft,32,fft,0.001,0.0,85677322,24,98.17,98.04,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.001_20260418_001641.pt,clstoken,True
eurosat,evan_base,rgb,fft,32,fft,0.0005,0.0,85677322,24,98.63,98.74,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,clstoken,True
eurosat,evan_large,swir,fft,32,fft,0.0005,0.0,303164426,24,95.48,94.85,Acc,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_000241.pt,clstoken,True
eurosat,evan_base,rgb,fft,32,fft,0.0001,0.01,85677322,24,98.57,98.30,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260418_003750.pt,clstoken,True
eurosat,evan_large,swir,fft,32,fft,0.0001,0.0,303164426,24,94.07,94.37,Acc,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0001_20260418_001020.pt,clstoken,True
eurosat,evan_large,swir,fft,32,fft,0.0001,0.01,303164426,24,93.24,93.93,Acc,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0001_20260418_001007.pt,clstoken,True
eurosat,evan_large,s2,fft,32,fft,0.001,0.0,305785866,24,98.15,98.26,Acc,checkpoints/sft_evan_large_eurosat_s2_fft_lr0.001_20260418_025742.pt,clstoken,True
eurosat,evan_large,s2,fft,32,fft,0.001,0.01,305785866,24,98.65,98.44,Acc,checkpoints/sft_evan_large_eurosat_s2_fft_lr0.001_20260418_025743.pt,clstoken,True
eurosat,evan_large,s2,fft,32,fft,0.0005,0.01,305785866,24,98.57,98.59,Acc,checkpoints/sft_evan_large_eurosat_s2_fft_lr0.0005_20260418_032756.pt,clstoken,True
eurosat,evan_large,s2,fft,32,fft,0.0005,0.0,305785866,24,98.54,98.67,Acc,checkpoints/sft_evan_large_eurosat_s2_fft_lr0.0005_20260418_032756.pt,clstoken,True
eurosat,evan_large,s2,fft,32,fft,0.0001,0.01,305785866,24,98.44,98.26,Acc,checkpoints/sft_evan_large_eurosat_s2_fft_lr0.0001_20260418_032756.pt,clstoken,True
eurosat,evan_large,s2,fft,32,fft,0.0001,0.0,305785866,24,98.54,98.56,Acc,checkpoints/sft_evan_large_eurosat_s2_fft_lr0.0001_20260418_033939.pt,clstoken,True
eurosat,evan_large,rgb,fft,32,fft,0.001,0.0,303164426,24,98.81,98.74,Acc,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.001_20260418_035412.pt,clstoken,True
eurosat,evan_large,rgb,fft,32,fft,0.0005,0.0,303164426,24,99.07,98.78,Acc,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260418_035424.pt,clstoken,True
eurosat,evan_large,rgb,fft,32,fft,0.0001,0.0,303164426,24,98.85,98.44,Acc,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0001_20260418_035813.pt,clstoken,True
eurosat,evan_large,vre,fft,32,fft,0.001,0.0,303164426,24,95.11,94.37,Acc,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.001_20260418_040028.pt,clstoken,True
eurosat,evan_large,vre,fft,32,fft,0.0005,0.0,303164426,24,96.35,96.26,Acc,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260418_041229.pt,clstoken,True
eurosat,evan_base,s2,fft,32,fft,0.001,0.01,87643402,24,95.28,95.15,Acc,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.001_20260418_043232.pt,clstoken,True
eurosat,evan_base,s2,fft,32,fft,0.001,0.0,87643402,24,94.76,95.07,Acc,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.001_20260418_044332.pt,clstoken,True
eurosat,evan_large,vre,fft,32,fft,0.0001,0.0,303164426,24,94.48,94.15,Acc,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0001_20260418_042309.pt,clstoken,True
eurosat,evan_base,s2,fft,32,fft,0.0005,0.0,87643402,24,96.39,96.41,Acc,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044732.pt,clstoken,True
eurosat,evan_base,s2,fft,32,fft,0.0001,0.01,87643402,24,95.20,95.22,Acc,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0001_20260418_044947.pt,clstoken,True
eurosat,evan_large,swir,fft,32,fft,0.001,0.0,303164426,24,95.81,95.48,Acc,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.001_20260418_042730.pt,clstoken,True
eurosat,evan_base,s2,fft,32,fft,0.0005,0.01,87643402,24,96.35,96.44,Acc,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt,clstoken,True
eurosat,evan_large,swir,fft,32,fft,0.0005,0.0,303164426,24,95.57,95.81,Acc,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,clstoken,True
eurosat,evan_base,s2,fft,32,fft,0.0001,0.0,87643402,24,96.44,96.33,Acc,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0001_20260418_045217.pt,clstoken,True
eurosat,evan_large,swir,fft,32,fft,0.0001,0.0,303164426,24,93.28,93.33,Acc,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0001_20260418_043004.pt,clstoken,True
eurosat,evan_base,rgb,fft,32,fft,0.0005,0.0,85677322,24,98.61,98.44,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_050514.pt,clstoken,True
eurosat,evan_base,rgb,fft,32,fft,0.001,0.0,85677322,24,97.69,98.22,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.001_20260418_050457.pt,clstoken,True
eurosat,evan_base,rgb,fft,32,fft,0.0001,0.0,85677322,24,98.80,98.41,Acc,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0001_20260418_051542.pt,clstoken,True
eurosat,evan_base,vre,fft,32,fft,0.001,0.0,85677322,24,90.46,90.33,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.001_20260418_051815.pt,clstoken,True
eurosat,evan_base,vre,fft,32,fft,0.0005,0.01,85677322,24,89.91,89.48,Acc,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051928.pt,clstoken,True
