dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,test_metric,best_test_metric(oracle),best_epoch,best_val_metric,metric_name,saved_checkpoint,global_rep
eurosat,evan_small,rgb,fft,32,fft,0.0001,22207882,5,69.65,71.31,4,71.04,Acc,checkpoints/eurosat_rgb_s0.pt,clstoken
eurosat,evan_small,rgb,fft,32,fft,0.0001,22207882,5,70.80,75.93,4,74.52,Acc,checkpoints/eurosat_rgb_s0.pt,clstoken
eurosat,evan_small,nir,fft,32,fft,0.0001,22109578,64,78.35,78.43,33,76.96,Acc,checkpoints/nir_dinoinit_fft.pt,clstoken
eurosat,evan_small,rgb,fft,32,fft,0.0001,22207882,64,98.44,98.48,43,98.44,Acc,checkpoints/rgb_dinoinit_fft.pt,clstoken
eurosat,evan_small,swir,fft,32,fft,0.0001,22207882,64,85.20,85.69,30,87.07,Acc,checkpoints/swir_dinoinit_fft.pt,clstoken
eurosat,evan_small,vre,fft,32,fft,0.0001,22207882,64,91.07,91.17,63,90.89,Acc,checkpoints/vre_dinoinit_fft.pt,clstoken
eurosat,evan_small,rgb,fft,32,fft,0.0001,22207882,64,87.04,87.44,28,85.93,Acc,checkpoints/rgb_randinit_fft.pt,clstoken
eurosat,evan_small,nir,fft,32,fft,0.0001,22109578,64,75.65,75.65,60,75.89,Acc,checkpoints/nir_randinit_fft.pt,clstoken
eurosat,evan_small,vre,fft,32,fft,0.0001,22207882,64,87.69,87.94,24,88.30,Acc,checkpoints/vre_randinit_fft.pt,clstoken
eurosat,evan_small,swir,fft,32,fft,0.0001,22207882,64,84.65,84.67,63,86.11,Acc,checkpoints/swir_randinit_fft.pt,clstoken
eurosat,evan_small,rgb,fft,32,fft,0.0001,22207882,64,98.50,98.54,44,98.37,Acc,checkpoints/rgb_dinoinit_fft.pt,clstoken
eurosat,evan_small,nir,fft,32,fft,0.0001,22109578,64,77.48,77.63,58,77.93,Acc,checkpoints/nir_dinoinit_fft.pt,clstoken
eurosat,evan_small,vre,fft,32,fft,0.0001,22207882,64,87.31,87.31,58,86.44,Acc,checkpoints/vre_dinoinit_fft.pt,clstoken
eurosat,evan_small,swir,fft,32,fft,0.0001,22207882,64,89.02,89.06,55,88.63,Acc,checkpoints/swir_dinoinit_fft.pt,clstoken
