model_type,modality,train_mode,tz_lora_rank,modality_specific_layer_augmenter,learning_rate,test_accuracy,epoch,best_test_accuracy(oracle),best_epoch,saved_checkpoint
evan_small,rgb,fft,32,lora,0.0001,98.04,5,98.04,5,checkpoints/evan_eurosat_stage0_rgb_20260117_034834.pt
evan_small,rgb,probe,32,lora,0.0001,96.93,32,97.00,25,checkpoints/evan_eurosat_stage0_rgb_20260117_040609.pt
evan_small,rgb,lora,32,lora,0.0001,95.00,32,96.67,30,checkpoints/evan_eurosat_stage0_rgb_20260117_040718.pt
evan_small,vre,probe,32,lora,0.0001,69.72,32,69.72,32,checkpoints/evan_eurosat_stage0_vre_20260117_041917.pt
evan_small,vre,lora,32,lora,0.0001,82.52,32,82.52,32,checkpoints/evan_eurosat_stage0_vre_20260117_042140.pt
evan_small,rgb,fft,32,lora,0.0001,98.24,64,98.24,56,checkpoints/evan_eurosat_stage0_rgb_20260117_042421.pt
evan_small,swir,probe,32,lora,0.0001,66.37,32,67.67,27,checkpoints/evan_eurosat_stage0_swir_20260117_043243.pt
evan_small,swir,lora,32,lora,0.0001,80.87,32,80.87,32,checkpoints/evan_eurosat_stage0_swir_20260117_043552.pt
evan_small,vre,fft,32,lora,0.0001,84.94,64,86.24,53,checkpoints/evan_eurosat_stage0_vre_20260117_045832.pt
evan_small,swir,fft,32,lora,0.0001,83.09,64,85.91,60,checkpoints/evan_eurosat_stage0_swir_20260117_052931.pt
evan_small,aw,probe,32,lora,0.0001,33.52,32,34.20,29,checkpoints/evan_eurosat_stage0_aw_20260117_125241.pt
evan_small,nir,probe,32,lora,0.0001,57.44,32,57.44,32,checkpoints/evan_eurosat_stage0_nir_20260117_130531.pt
evan_small,aw,lora,32,lora,0.0001,46.13,32,47.22,27,checkpoints/evan_eurosat_stage0_aw_20260117_130810.pt
evan_small,nir,lora,32,lora,0.0001,70.24,32,70.63,31,checkpoints/evan_eurosat_stage0_nir_20260117_131952.pt
evan_small,vre,emb+probe,32,lora,0.0001,65.57,1,65.57,1,checkpoints/evan_eurosat_stage0_vre_20260117_132051.pt
evan_small,rgb,emb+probe,32,lora,0.0001,96.00,32,96.54,29,checkpoints/evan_eurosat_stage0_rgb_20260117_133813.pt
evan_small,aw,fft,32,lora,0.0001,56.06,64,59.20,14,checkpoints/evan_eurosat_stage0_aw_20260117_133902.pt
evan_small,nir,fft,32,lora,0.0001,80.48,64,80.57,63,checkpoints/evan_eurosat_stage0_nir_20260117_134827.pt
evan_small,vre,emb+probe,32,lora,0.0001,86.24,32,86.87,30,checkpoints/evan_eurosat_stage0_vre_20260117_135319.pt
evan_small,nir,emb+probe,32,lora,0.0001,72.59,32,72.59,32,checkpoints/evan_eurosat_stage0_nir_20260117_140814.pt
evan_small,swir,emb+probe,32,lora,0.0001,83.56,32,83.89,28,checkpoints/evan_eurosat_stage0_swir_20260117_142302.pt
evan_small,aw,emb+probe,32,lora,0.0001,50.26,32,50.67,29,checkpoints/evan_eurosat_stage0_aw_20260117_143719.pt
evan_small,rgb,adaptor,8,lora,0.0001,97.00,64,97.24,28,checkpoints/evan_eurosat_stage0_rgb_20260118_133928.pt
evan_small,rgb,adaptor,64,lora,0.0001,97.30,64,97.33,44,checkpoints/evan_eurosat_stage0_rgb_20260118_134108.pt
evan_small,rgb,adaptor,32,lora,0.0001,97.00,64,97.11,51,checkpoints/evan_eurosat_stage0_rgb_20260118_134254.pt
evan_small,rgb,adaptor,32,fft,0.0001,97.80,64,97.89,13,checkpoints/evan_eurosat_stage0_rgb_20260118_134841.pt
evan_small,rgb,probe,32,lora,0.0001,96.91,64,97.02,35,checkpoints/evan_eurosat_stage0_rgb_20260118_135311.pt
evan_small,rgb,emb+probe,32,lora,0.0001,96.93,64,97.15,29,checkpoints/evan_eurosat_stage0_rgb_20260118_135424.pt
evan_small,rgb,fft,32,lora,0.0001,98.44,64,98.44,40,checkpoints/evan_eurosat_stage0_rgb_20260118_135554.pt
evan_small,vre,adaptor,8,lora,0.0001,84.87,64,84.98,59,checkpoints/evan_eurosat_stage0_vre_20260118_140950.pt
evan_small,vre,adaptor,64,lora,0.0001,86.44,64,86.56,58,checkpoints/evan_eurosat_stage0_vre_20260118_141054.pt
evan_small,vre,adaptor,32,lora,0.0001,88.15,64,88.31,56,checkpoints/evan_eurosat_stage0_vre_20260118_141332.pt
evan_small,vre,adaptor,32,fft,0.0001,88.02,64,88.94,25,checkpoints/evan_eurosat_stage0_vre_20260118_141705.pt
evan_small,vre,probe,32,lora,0.0001,74.20,64,74.35,42,checkpoints/evan_eurosat_stage0_vre_20260118_141956.pt
evan_small,vre,emb+probe,32,lora,0.0001,86.57,64,86.72,61,checkpoints/evan_eurosat_stage0_vre_20260118_142517.pt
evan_small,vre,fft,32,lora,0.0001,88.87,64,89.11,27,checkpoints/evan_eurosat_stage0_vre_20260118_142635.pt
evan_small,nir,adaptor,8,lora,0.0001,72.96,64,72.96,64,checkpoints/evan_eurosat_stage0_nir_20260118_143843.pt
evan_small,nir,adaptor,64,lora,0.0001,74.52,64,74.63,58,checkpoints/evan_eurosat_stage0_nir_20260118_144120.pt
evan_small,nir,adaptor,32,lora,0.0001,76.61,64,76.70,62,checkpoints/evan_eurosat_stage0_nir_20260118_144325.pt
evan_small,nir,adaptor,32,fft,0.0001,78.72,64,79.30,34,checkpoints/evan_eurosat_stage0_nir_20260118_144514.pt
evan_small,nir,probe,32,lora,0.0001,56.50,64,56.54,33,checkpoints/evan_eurosat_stage0_nir_20260118_144651.pt
evan_small,nir,emb+probe,32,lora,0.0001,74.26,64,74.33,62,checkpoints/evan_eurosat_stage0_nir_20260118_145515.pt
evan_small,nir,fft,32,lora,0.0001,77.19,64,77.22,51,checkpoints/evan_eurosat_stage0_nir_20260118_145652.pt
evan_small,swir,adaptor,8,lora,0.0001,82.13,64,82.28,54,checkpoints/evan_eurosat_stage0_swir_20260118_150729.pt
evan_small,swir,adaptor,64,lora,0.0001,83.87,64,84.04,47,checkpoints/evan_eurosat_stage0_swir_20260118_151036.pt
evan_small,swir,adaptor,32,lora,0.0001,82.50,64,82.72,34,checkpoints/evan_eurosat_stage0_swir_20260118_151319.pt
evan_small,swir,adaptor,32,fft,0.0001,86.81,64,87.37,30,checkpoints/evan_eurosat_stage0_swir_20260118_151324.pt
evan_small,swir,probe,32,lora,0.0001,68.61,64,68.67,59,checkpoints/evan_eurosat_stage0_swir_20260118_151452.pt
evan_small,swir,emb+probe,32,lora,0.0001,82.00,64,82.20,58,checkpoints/evan_eurosat_stage0_swir_20260118_152313.pt
evan_small,swir,fft,32,lora,0.0001,88.22,64,88.37,58,checkpoints/evan_eurosat_stage0_swir_20260118_152816.pt
evan_small,vre,adaptor,32,lora,0.0001,88.11,64,88.13,53,checkpoints/evan_eurosat_stage0_vre_20260118_153430.pt
evan_small,aw,adaptor,8,lora,0.0001,52.89,64,52.94,60,checkpoints/evan_eurosat_stage0_aw_20260118_153624.pt
evan_small,aw,adaptor,64,lora,0.0001,50.94,64,51.19,43,checkpoints/evan_eurosat_stage0_aw_20260118_153954.pt
evan_small,aw,adaptor,32,fft,0.0001,55.52,64,58.93,38,checkpoints/evan_eurosat_stage0_aw_20260118_154238.pt
evan_small,aw,probe,32,lora,0.0001,39.24,64,39.57,21,checkpoints/evan_eurosat_stage0_aw_20260118_154327.pt
evan_small,aw,adaptor,32,lora,0.0001,43.80,64,43.85,60,checkpoints/evan_eurosat_stage0_aw_20260118_154415.pt
evan_small,aw,emb+probe,32,lora,0.0001,50.78,64,51.07,63,checkpoints/evan_eurosat_stage0_aw_20260118_155218.pt
evan_small,aw,fft,32,lora,0.0001,54.26,64,55.56,19,checkpoints/evan_eurosat_stage0_aw_20260118_155806.pt
