model_type,new_modality,ssl_mode,ssl_lr,ssl_epoch,supervised_epoch,test_accuracy(afterSFT),best_test_accuracy(oracle),best_supervised_epoch,stage0_checkpoint,stage1_checkpoint]
evan_small,vre,distillrgb,3e-05,1,1,56.11,56.11,1,checkpoints/evan_eurosat_stage0_rgb_20260117_040718.pt,checkpoints/evan_eurosat_stage1_distillrgb_20260117_222234.pt
evan_small,vre,distillrgb,3e-05,32,16,76.48,76.87,15,checkpoints/evan_eurosat_stage0_rgb_20260117_042421.pt,checkpoints/evan_eurosat_stage1_distillrgb_20260117_223005.pt
evan_small,vre,distillrgb,3e-05,32,16,79.80,79.96,14,checkpoints/evan_eurosat_stage0_rgb_20260117_040718.pt,checkpoints/evan_eurosat_stage1_distillrgb_20260117_223004.pt
evan_small,vre,mae,3e-05,32,16,73.00,73.19,13,checkpoints/evan_eurosat_stage0_rgb_20260117_040718.pt,checkpoints/evan_eurosat_stage1_mae_20260117_225128.pt
evan_small,vre,mae,3e-05,32,16,67.87,68.04,15,checkpoints/evan_eurosat_stage0_rgb_20260117_042421.pt,checkpoints/evan_eurosat_stage1_mae_20260117_225126.pt
evan_small,vre,distillrgb,3e-05,64,16,82.74,82.74,16,checkpoints/evan_eurosat_stage0_rgb_20260117_040718.pt,checkpoints/evan_eurosat_stage1_distillrgb_20260118_000217.pt
evan_small,vre,mae,3e-05,64,16,73.56,74.43,15,checkpoints/evan_eurosat_stage0_rgb_20260117_040718.pt,checkpoints/evan_eurosat_stage1_mae_20260118_004354.pt
evan_small,vre,mae,3e-05,64,16,69.70,69.70,16,checkpoints/evan_eurosat_stage0_rgb_20260117_042421.pt,checkpoints/evan_eurosat_stage1_mae_20260118_004355.pt
evan_small,vre,distillrgb,3e-05,128,16,77.31,77.48,15,checkpoints/evan_eurosat_stage0_rgb_20260117_042421.pt,checkpoints/evan_eurosat_stage1_distillrgb_20260118_004405.pt
evan_small,vre,distillrgb,3e-05,128,32,81.48,82.39,31,checkpoints/evan_eurosat_stage0_rgb_20260117_040718.pt,checkpoints/evan_eurosat_stage1_distillrgb_20260118_004355.pt
evan_small,swir,distillrgb,3e-05,128,32,76.24,76.24,32,checkpoints/evan_eurosat_stage0_rgb_20260117_040718.pt,checkpoints/evan_eurosat_stage1_distillrgb_20260118_015406.pt
evan_small,swir,mae,3e-05,64,16,69.26,69.37,15,checkpoints/evan_eurosat_stage0_rgb_20260117_040718.pt,checkpoints/evan_eurosat_stage1_mae_20260118_031125.pt
